Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Travis Homer,Bears,2023,2,,"$4,000,000","$2,000,000","$1,750,000",,0.9%,,"$4,544,484","$2,272,242","$1,988,212"
Taiwan Jones,Bills,2020,1,,"$1,750,000","$1,750,000","$700,000",,0.9%,,"$2,255,045","$2,255,045","$902,018"
Anthony Dixon,Bills,2014,3,,"$3,500,000","$1,166,667","$750,000",,0.9%,,"$6,721,053","$2,240,352","$1,440,226"
Malcolm Brown,Rams,2019,1,,"$3,300,000","$1,650,000","$2,100,000",,0.9%,,"$4,478,321","$2,239,160","$2,849,841"
Darrel Williams,Chiefs,2021,1,,"$1,600,000","$1,600,000","$880,000",,0.9%,,"$2,239,123","$2,239,123","$1,231,518"
Jason Wright,Browns,2007,1,,"$952,000","$952,000","$25,000",,0.9%,,"$2,230,650","$2,230,650","$58,578"
Stevan Ridley,Jets,2015,1,,"$1,250,000","$1,250,000",$0,,0.9%,,"$2,228,155","$2,228,155",$0
Derrick Henry,Titans,2016,4,,"$5,407,930","$1,351,983","$3,278,855",,0.9%,,"$8,895,378","$2,223,845","$5,393,312"
Ty Montgomery,Patriots,2022,2,,"$3,600,000","$1,800,000","$300,000",,0.9%,,"$4,416,138","$2,208,069","$368,012"
T.J. Yeldon,Bills,2019,2,,"$3,200,000","$1,600,000","$500,000",,0.9%,,"$4,342,614","$2,171,307","$678,533"
Jeremy Hill,Patriots,2018,1,,"$1,500,000","$1,500,000","$150,000",,0.8%,,"$2,161,964","$2,161,964","$216,196"
Sony Michel,Dolphins,2022,1,,"$1,750,000","$1,750,000","$850,000",,0.8%,,"$2,146,734","$2,146,734","$1,042,699"
Boston Scott,Eagles,2022,1,,"$1,750,000","$1,750,000","$1,100,000",,0.8%,,"$2,146,734","$2,146,734","$1,349,376"
Le'Veon Bell,Steelers,2013,4,,"$4,120,600","$1,030,150","$1,376,800",,0.8%,,"$8,556,108","$2,139,027","$2,858,819"
Isaiah Pead,Rams,2012,4,,"$4,038,100","$1,009,525","$2,340,350",,0.8%,,"$8,551,665","$2,137,916","$4,956,264"
Doug Martin,Raiders,2018,1,,"$1,475,000","$1,475,000",$0,,0.8%,,"$2,125,931","$2,125,931",$0
J.D. McKissic,Commanders,2020,2,,"$3,270,000","$1,635,000","$1,000,000",,0.8%,,"$4,213,713","$2,106,857","$1,288,597"
Jonathon Brooks,Panthers,2024,4,,"$8,417,082","$2,104,271","$6,240,268",,0.8%,,"$8,417,082","$2,104,271","$6,240,268"
Buddy Howell,Texans,2021,1,,"$1,500,000","$1,500,000","$200,000",,0.8%,,"$2,099,178","$2,099,178","$279,890"
Rex Burkhead,Texans,2021,1,,"$1,500,000","$1,500,000","$125,000",,0.8%,,"$2,099,178","$2,099,178","$174,932"
Damien Williams,Bears,2021,1,,"$1,500,000","$1,500,000","$1,000,000",,0.8%,,"$2,099,178","$2,099,178","$1,399,452"
Joe Mixon,Bengals,2017,4,,"$5,450,162","$1,362,541","$2,816,487",,0.8%,,"$8,335,158","$2,083,790","$4,307,370"
Jason Wright,Cardinals,2009,2,,"$2,000,000","$1,000,000","$200,000",,0.8%,,"$4,152,846","$2,076,423","$415,285"
Matt Forte,Bears,2008,4,,"$3,766,500","$941,625","$1,533,333",,0.8%,,"$8,292,794","$2,073,198","$3,375,976"
Chris Johnson,Cardinals,2017,1,,"$1,350,000","$1,350,000","$200,000",,0.8%,,"$2,064,611","$2,064,611","$305,868"
Robert Turbin,Colts,2017,2,,"$2,700,000","$1,350,000","$500,000",,0.8%,,"$4,129,222","$2,064,611","$764,671"
Curtis Martin,Patriots,1995,3,,"$896,900","$298,967","$305,000",,0.8%,,"$6,174,347","$2,058,118","$2,099,650"
Travis Henry,Titans,2006,1,,"$820,000","$820,000","$235,000",,0.8%,,"$2,053,216","$2,053,216","$588,422"
Darren Sproles,Eagles,2018,1,,"$1,415,000","$1,415,000","$1,000,000",,0.8%,,"$2,039,453","$2,039,453","$1,441,309"
Travis Henry,Bills,2001,4,,"$2,294,000","$537,500","$980,000",,0.8%,,"$8,692,050","$2,036,607","$3,713,256"
C.J. Anderson,Lions,2019,1,,"$1,500,000","$1,500,000","$450,000",,0.8%,,"$2,035,600","$2,035,600","$610,680"
Damien Harris,Bills,2023,1,,"$1,770,000","$1,770,000","$1,000,000",,0.8%,,"$2,010,934","$2,010,934","$1,136,121"
Alexander Mattison,Raiders,2024,1,,"$2,000,000","$2,000,000","$1,650,000",,0.8%,,"$2,000,000","$2,000,000","$1,650,000"
Ezekiel Elliott,Cowboys,2024,1,,"$2,000,000","$2,000,000","$1,625,000",,0.8%,,"$2,000,000","$2,000,000","$1,625,000"
Dion Lewis,Giants,2020,1,,"$1,550,000","$1,550,000",$0,,0.8%,,"$1,997,326","$1,997,326",$0
Cam Akers,LAR/MIN,2020,4,,"$6,173,042","$1,543,261","$3,550,077",,0.8%,,"$7,954,566","$1,988,642","$4,574,620"
Ameer Abdullah,Raiders,2023,1,,"$1,750,000","$1,750,000","$500,000",,0.8%,,"$1,988,212","$1,988,212","$568,060"
Damien Williams,Falcons,2022,1,,"$1,620,000","$1,620,000","$500,000",,0.8%,,"$1,987,262","$1,987,262","$613,353"
Zach Charbonnet,Seahawks,2023,4,,"$6,876,078","$1,719,020","$3,813,333",,0.8%,,"$7,812,057","$1,953,015","$4,332,408"
