RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
330,14,Zach Evans,FA,RB92,259,336,305.2,29.3,0
331,14,Cairo Santos,CHI,K26,299,327,320.3,9.4,0
332,14,Riley Patterson,JAC,K27,291,322,305.6,12.2,0
333,14,Ka'imi Fairbairn,HOU,K28,305,326,315,8.8,0
334,14,Detroit Lions,DET,DST27,309,325,315.5,5.9,0
335,14,Sean Tucker,FA,RB93,256,331,307.2,28.5,0
336,14,Nick Westbrook-Ikhine,TEN,WR114,286,344,309.8,22.3,0
337,14,Puka Nacua,FA,WR115,212,270,241,29,0
338,14,Darnell Washington,PIT,TE42,291,325,299.5,14.7,0
339,14,Arizona Cardinals,ARI,DST28,310,346,321.3,12.1,0
340,14,DeeJay Dallas,SEA,RB94,257,352,314.8,31.2,0
341,14,Kenny McIntosh,FA,RB95,192,340,287.7,67.8,0
342,14,Justin Jackson,FA,RB96,308,357,323.5,16.8,0
343,14,Darrel Williams,FA,RB97,280,358,316.8,25.5,0
344,14,Jamison Crowder,NYG,WR116,285,301,292.7,6.5,0
345,14,Dontrell Hilliard,FA,RB98,296,383,326.8,31.3,0
346,14,Justyn Ross,KC,WR117,242,301,271.5,29.5,0
347,14,Will Levis,TEN,QB34,304,356,333.4,14.5,0
348,14,Jayden Reed,GB,WR118,243,304,273.5,30.5,0
349,14,Noah Brown,HOU,WR119,285,333,303.7,21,0
350,14,Rex Burkhead,FA,RB99,289,387,326.5,36.6,0
351,14,Malik Davis,DAL,RB100,264,310,287,23,0
352,14,Salvon Ahmed,MIA,RB101,319,377,334.8,21.6,0
353,15,Sam Darnold,SF,QB35,302,382,341.2,24.4,0
354,15,Kenny Golladay,FA,WR120,297,298,297.5,0.5,0
355,15,Myles Gaskin,MIA,RB102,311,325,318.3,5.7,0
356,15,Chicago Bears,CHI,DST29,307,334,321.3,11.1,0
357,15,Keaontay Ingram,ARI,RB103,277,354,322.7,33,0
358,15,Michael Badgley,DET,K29,317,332,323.7,6.2,0
359,15,Mark Ingram II,FA,RB104,307,388,340,29.7,0
360,15,Jauan Jennings,SF,WR121,263,368,315.5,52.5,0
361,15,Deuce Vaughn,FA,RB105,316,337,326.3,8.6,0
362,15,Jacoby Brissett,WAS,QB36,303,362,335.5,21.7,0
363,15,Marlon Mack,FA,RB106,315,359,336,16.6,0
364,15,Randy Bullock,FA,K30,308,322,315,7,0
365,15,Gardner Minshew II,IND,QB37,328,380,347,19.3,0
366,15,Ty Johnson,NYJ,RB107,319,325,322,3,0
367,15,Will Dissly,SEA,TE43,319,335,327,8,0
