Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
J.  Freeman,TB,17,26,17,25,21,3.7%,20,3.0%,29,159,15,180,0,1
B. Weeden,CLE,18,24,15,29,18,8.0%,16,12.2%,21,116,21,144,0,0
C.  Palmer,OAK,19,23,18,24,14,17.1%,13,18.6%,11,40,23,111,1,0
M. Stafford,DET,20,23,22,14,22,0.9%,24,-4.0%,30,128,14,182,4,2
R.  Fitzpatrick,BUF,21,22,20,18,23,0.6%,22,-1.8%,38,205,16,177,1,0
T.  Pryor,OAK,22,22,21,16,9,23.2%,15,13.5%,10,51,24,95,1,0
T. Taylor,BAL,23,18,19,22,15,13.8%,11,19.6%,11,76,25,91,1,0
N. Foles,PHI,24,11,25,11,16,11.7%,17,11.8%,9,38,29,57,1,1
B. Roethlisberger,PIT,25,5,27,6,25,-6.3%,25,-5.4%,17,98,26,77,0,1
B. Gabbert,JAX,26,5,26,8,26,-6.8%,23,-3.2%,15,58,27,76,0,0
M. Vick,PHI,27,3,24,12,28,-11.1%,27,-7.8%,52,329,12,207,1,4
R. Tannehill,MIA,28,2,30,0,27,-11.0%,30,-12.4%,33,226,22,143,2,4
T. Romo,DAL,29,-2,28,1,29,-14.9%,28,-11.1%,14,63,30,50,1,1
B.  Quinn,KC,30,-4,29,0,30,-17.5%,29,-12.3%,15,69,31,43,0,0
E. Manning,NYG,31,-15,32,-18,34,-40.5%,34,-45.5%,10,41,34,3,0,1
C. Henne,JAX,32,-17,31,-16,32,-33.3%,32,-31.4%,15,67,32,39,1,1
P.  Rivers,SD,33,-19,33,-19,35,-46.5%,35,-46.8%,11,56,35,-4,0,1
T. Tebow,NYJ,34,-26,35,-33,31,-26.1%,31,-29.6%,33,106,28,76,0,0
J. Flacco,BAL,35,-32,34,-31,33,-35.1%,33,-33.9%,18,30,33,27,3,3
M. Sanchez,NYJ,36,-67,36,-70,36,-85.4%,36,-88.5%,15,30,36,-90,0,3

