Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,AllPro,ProBowl,Receiving_Points,Year
James White,NWE,26,RB,16,3,123,87,70.7,751,8.6,7,38,52.8,42,6.1,5.4,46.9,0,0,0,160.60000000000002,2018
Mike Evans,TAM,25,WR,16,16,138,86,62.3,1524,17.7,8,68,61.6,72,11.0,5.4,95.3,2,0,1,243.4,2018
Robert Woods,LAR,26,WR,16,16,130,86,66.2,1219,14.2,6,66,59.2,39,9.4,5.4,76.2,0,0,0,200.9,2018
Alvin Kamara,NOR,23,RB,15,13,105,81,77.1,709,8.8,4,31,52.4,42,6.8,5.4,47.3,1,0,1,135.4,2018
Jarvis Landry,CLE,26,WR,16,14,149,81,54.4,976,12.0,4,44,40.9,51,6.6,5.1,61.0,1,0,1,162.10000000000002,2018
Brandin Cooks,LAR,25,WR,16,16,117,80,68.4,1204,15.1,5,56,57.3,57,10.3,5.0,75.3,1,0,0,190.4,2018
Odell Beckham Jr.,NYG,26,WR,12,12,124,77,62.1,1052,13.7,6,50,50.8,51,8.5,6.4,87.7,2,0,0,179.7,2018
Ezekiel Elliott,DAL,23,RB,15,15,95,77,81.1,567,7.4,3,22,41.1,38,6.0,5.1,37.8,6,0,1,113.2,2018
Tyler Boyd,CIN,24,WR,14,14,108,76,70.4,1028,13.5,7,54,63.0,49,9.5,5.4,73.4,0,0,0,182.8,2018
T.Y. Hilton,IND,29,WR,14,14,120,76,63.3,1270,16.7,6,55,60.0,68,10.6,5.4,90.7,0,0,0,201.0,2018
Adam Humphries,TAM,25,WR,16,10,105,76,72.4,816,10.7,5,48,57.1,51,7.8,4.8,51.0,2,0,0,149.60000000000002,2018
Amari Cooper,2TM,24,WR,15,15,107,75,70.1,1005,13.4,7,53,62.6,90,9.4,5.0,67.0,2,0,1,180.0,2018
Julian Edelman,NWE,32,WR,12,12,108,74,68.5,850,11.5,6,41,57.4,36,7.9,6.2,70.8,1,0,0,158.0,2018
Golden Tate,2TM,30,WR,15,7,113,74,65.5,795,10.7,4,32,46.9,67,7.0,4.9,53.0,3,0,0,140.5,2018
Tarik Cohen,CHI,23,RB,16,7,91,71,78.0,725,10.2,5,29,56.0,70,8.0,4.4,45.3,7,1,1,138.0,2018
Austin Hooper,ATL,24,TE,16,7,88,71,80.7,660,9.3,4,30,59.1,36,7.5,4.4,41.3,0,0,1,125.5,2018
Emmanuel Sanders,DEN,31,WR,12,12,98,71,72.4,868,12.2,4,37,56.1,64,8.9,5.9,72.3,1,0,0,146.3,2018
Kenny Golladay,DET,25,WR,15,13,119,70,58.8,1063,15.2,5,55,53.8,60,8.9,4.7,70.9,1,0,0,171.3,2018
Larry Fitzgerald,ARI,35,WR,16,16,112,69,61.6,734,10.6,6,39,50.9,37,6.6,4.3,45.9,0,0,0,143.9,2018
Jared Cook,OAK,31,TE,16,14,101,68,67.3,896,13.2,6,46,57.4,45,8.9,4.3,56.0,0,0,1,159.60000000000002,2018
Jalen Richard,OAK,25,RB,16,1,81,68,84.0,607,8.9,0,23,53.1,32,7.5,4.3,37.9,3,0,0,94.7,2018
Taylor Gabriel,CHI,27,WR,16,11,93,67,72.0,688,10.3,2,31,53.8,54,7.4,4.2,43.0,1,0,0,114.3,2018
Eric Ebron,IND,25,TE,16,8,110,66,60.0,750,11.4,13,39,51.8,53,6.8,4.1,46.9,1,0,1,186.0,2018
Mohamed Sanu,ATL,29,WR,16,16,94,66,70.2,838,12.7,4,40,61.7,44,8.9,4.1,52.4,2,0,0,140.8,2018
Sterling Shepard,NYG,25,WR,16,16,107,66,61.7,872,13.2,4,47,51.4,58,8.1,4.1,54.5,1,0,0,144.2,2018
Dede Westbrook,JAX,25,WR,16,9,101,66,65.3,717,10.9,5,40,50.5,61,7.1,4.1,44.8,3,0,0,134.7,2018
Cole Beasley,DAL,29,WR,16,4,87,65,74.7,672,10.3,3,39,59.8,32,7.7,4.1,42.0,0,0,0,117.7,2018
Corey Davis,TEN,23,WR,16,16,112,65,58.0,891,13.7,4,47,50.9,51,8.0,4.1,55.7,1,0,0,145.60000000000002,2018
Alshon Jeffery,PHI,28,WR,13,13,92,65,70.7,843,13.0,6,48,60.9,52,9.2,5.0,64.8,1,0,0,152.8,2018
Nelson Agholor,PHI,25,WR,16,16,97,64,66.0,736,11.5,4,28,45.4,83,7.6,4.0,46.0,1,0,0,129.60000000000002,2018
Calvin Ridley,ATL,24,WR,16,5,92,64,69.6,821,12.8,10,39,51.1,75,8.9,4.0,51.3,2,0,0,174.10000000000002,2018
Kyle Rudolph,MIN,29,TE,16,16,82,64,78.0,634,9.9,4,32,61.0,44,7.7,4.0,39.6,0,0,0,119.4,2018
Nyheim Hines,IND,22,RB,16,4,81,63,77.8,425,6.7,2,29,46.9,28,5.2,3.9,26.6,1,0,0,86.0,2018
Jordy Nelson,OAK,33,WR,15,14,88,63,71.6,739,11.7,3,36,60.2,66,8.4,4.2,49.3,1,0,0,123.4,2018
Willie Snead,BAL,26,WR,16,10,95,62,65.3,651,10.5,1,37,50.5,28,6.9,3.9,40.7,0,0,0,102.10000000000001,2018
Theo Riddick,DET,27,RB,14,3,74,61,82.4,384,6.3,0,16,39.2,20,5.2,4.4,27.4,0,0,0,68.9,2018
Danny Amendola,MIA,33,WR,15,15,79,59,74.7,575,9.7,1,27,54.4,39,7.3,3.9,38.3,2,0,0,93.0,2018
Chris Godwin,TAM,22,WR,16,5,95,59,62.1,842,14.3,7,48,58.9,48,8.9,3.7,52.6,4,0,0,155.7,2018
Todd Gurley,LAR,24,RB,14,14,81,59,72.8,580,9.8,4,26,53.1,56,7.2,4.2,41.4,1,1,1,111.5,2018
Dion Lewis,TEN,28,RB,16,7,67,59,88.1,400,6.8,1,13,41.8,37,6.0,3.7,25.0,1,0,0,75.5,2018
Demaryius Thomas,2TM,31,WR,15,15,89,59,66.3,677,11.5,5,36,49.4,45,7.6,3.9,45.1,0,0,0,127.2,2018
Tyler Lockett,SEA,26,WR,16,14,70,57,81.4,965,16.9,10,37,65.7,52,13.8,3.6,60.3,2,0,0,185.0,2018
Zay Jones,BUF,23,WR,16,15,102,56,54.9,652,11.6,7,33,42.2,57,6.4,3.5,40.8,1,0,0,135.2,2018
David Njoku,CLE,22,TE,16,14,88,56,63.6,639,11.4,4,27,45.5,66,7.3,3.5,39.9,0,0,0,115.9,2018
James Conner,PIT,23,RB,13,12,71,55,77.5,497,9.0,1,20,52.1,29,7.0,4.2,38.2,4,0,1,83.2,2018
Jimmy Graham,GNB,32,TE,16,12,89,55,61.8,636,11.6,2,32,47.2,54,7.1,3.4,39.8,0,0,0,103.1,2018
D.J. Moore,CAR,21,WR,16,10,82,55,67.1,788,14.3,2,33,53.7,82,9.6,3.4,49.3,4,0,0,118.30000000000001,2018
Allen Robinson,CHI,25,WR,13,12,94,55,58.5,754,13.7,4,36,52.1,43,8.0,4.2,58.0,1,0,0,126.9,2018
T.J. Yeldon,JAX,25,RB,14,5,78,55,70.5,487,8.9,4,20,46.2,37,6.2,3.9,34.8,1,0,0,100.2,2018
Trey Burton,CHI,27,TE,16,16,76,54,71.1,569,10.5,6,29,57.9,47,7.5,3.4,35.6,1,0,0,119.9,2018
Michael Crabtree,BAL,31,WR,16,16,100,54,54.0,607,11.2,3,35,47.0,27,6.1,3.4,37.9,0,0,0,105.7,2018
Jordan Reed,WAS,28,TE,13,8,84,54,64.3,558,10.3,2,26,50.0,34,6.6,4.2,42.9,1,0,0,94.80000000000001,2018
Kenyan Drake,MIA,24,RB,16,7,73,53,72.6,477,9.0,5,23,45.2,52,6.5,3.3,29.8,2,0,0,104.2,2018
Chester Rogers,IND,24,WR,16,10,72,53,73.6,485,9.2,2,28,54.2,34,6.7,3.3,30.3,1,0,0,87.0,2018
Doug Baldwin,SEA,30,WR,13,13,73,50,68.5,618,12.4,5,32,54.8,42,8.5,3.8,47.5,0,0,0,116.80000000000001,2018
Robbie Chosen,NYJ,25,WR,14,9,94,50,53.2,752,15.0,6,30,46.8,76,8.0,3.6,53.7,2,0,0,136.2,2018
Melvin Gordon,LAC,25,RB,12,12,66,50,75.8,490,9.8,4,21,48.5,66,7.4,4.2,40.8,1,0,1,98.0,2018
David Johnson,ARI,27,RB,16,16,76,50,65.8,446,8.9,3,22,34.2,40,5.9,3.1,27.9,3,0,0,87.6,2018
Vance McDonald,PIT,28,TE,15,14,72,50,69.4,610,12.2,4,33,55.6,75,8.5,3.3,40.7,2,0,0,110.0,2018
Donte Moncrief,JAX,25,WR,16,14,89,48,53.9,668,13.9,3,28,50.6,80,7.5,3.0,41.8,1,0,0,108.8,2018
Rob Gronkowski,NWE,29,TE,13,11,72,47,65.3,682,14.5,3,34,62.5,42,9.5,3.6,52.5,1,0,0,109.7,2018
Duke Johnson,CLE,25,RB,16,2,62,47,75.8,429,9.1,3,25,46.8,32,6.9,2.9,26.8,1,0,0,84.4,2018
A.J. Green,CIN,30,WR,9,9,77,46,59.7,694,15.1,6,37,57.1,38,9.0,5.1,77.1,2,0,0,128.4,2018
Evan Engram,NYG,24,TE,11,8,64,45,70.3,577,12.8,3,22,43.8,54,9.0,4.1,52.5,0,0,0,98.2,2018
Seth Roberts,OAK,27,WR,15,7,64,45,70.3,494,11.0,2,24,53.1,44,7.7,3.0,32.9,0,0,0,83.9,2018
Josh Doctson,WAS,26,WR,15,12,78,44,56.4,532,12.1,2,31,51.3,32,6.8,2.9,35.5,0,0,0,87.2,2018
Devin Funchess,CAR,24,WR,14,12,79,44,55.7,549,12.5,4,35,50.6,27,6.9,3.1,39.2,0,0,0,100.9,2018
Antonio Callaway,CLE,21,WR,16,11,79,43,54.4,586,13.6,5,27,44.3,71,7.4,2.7,36.6,1,0,0,110.1,2018
Christian Kirk,ARI,22,WR,12,7,68,43,63.2,590,13.7,3,21,44.1,75,8.7,3.6,49.2,0,0,0,98.5,2018
Joe Mixon,CIN,22,RB,14,13,55,43,78.2,296,6.9,1,14,50.9,21,5.4,3.1,21.1,0,0,0,57.1,2018
C.J. Uzomah,CIN,25,TE,16,15,64,43,67.2,439,10.2,3,21,57.8,29,6.9,2.7,27.4,0,0,0,83.4,2018
Mike Williams,LAC,24,WR,16,5,66,43,65.2,664,15.4,10,36,59.1,55,10.1,2.7,41.5,0,0,0,147.9,2018
Jarius Wright,CAR,29,WR,16,6,59,43,72.9,447,10.4,1,24,57.6,33,7.6,2.7,27.9,3,0,0,72.2,2018
Kendrick Bourne,SFO,23,WR,16,8,66,42,63.6,487,11.6,4,30,54.5,33,7.4,2.6,30.4,1,0,0,93.7,2018
John Brown,BAL,28,WR,16,15,97,42,43.3,715,17.0,5,28,38.1,71,7.4,2.6,44.7,0,0,0,122.5,2018
Courtland Sutton,DEN,23,WR,16,9,84,42,50.0,704,16.8,4,30,45.2,42,8.4,2.6,44.0,0,0,0,115.4,2018
Josh Gordon,2TM,27,WR,12,12,71,41,57.7,737,18.0,4,30,52.1,55,10.4,3.4,61.4,0,0,0,118.2,2018
DeSean Jackson,TAM,32,WR,12,10,74,41,55.4,774,18.9,4,31,51.4,75,10.5,3.4,64.5,0,0,0,121.9,2018
Chris Thompson,WAS,28,RB,10,0,55,41,74.5,268,6.5,1,12,40.0,23,4.9,4.1,26.8,1,0,0,53.3,2018
Tyrell Williams,LAC,26,WR,16,10,65,41,63.1,653,15.9,5,30,53.8,75,10.0,2.6,40.8,2,0,0,115.8,2018
Dalvin Cook,MIN,23,RB,11,10,49,40,81.6,305,7.6,2,15,51.0,27,6.2,3.6,27.7,2,0,0,62.5,2018
Cooper Kupp,LAR,25,WR,8,8,55,40,72.7,566,14.2,6,25,60.0,70,10.3,5.0,70.8,0,0,0,112.6,2018
Sammy Watkins,KAN,25,WR,10,9,55,40,72.7,519,13.0,3,24,65.5,50,9.4,4.0,51.9,1,0,0,89.9,2018
Austin Ekeler,LAC,23,RB,14,3,53,39,73.6,404,10.4,3,18,52.8,44,7.6,2.8,28.9,1,0,0,77.9,2018
Chris Herndon,NYJ,22,TE,16,12,56,39,69.6,502,12.9,4,25,60.7,32,9.0,2.4,31.4,2,0,0,93.7,2018
Rashard Higgins,CLE,24,WR,13,1,53,39,73.6,572,14.7,4,27,64.2,40,10.8,3.0,44.0,2,0,0,100.7,2018
Curtis Samuel,CAR,22,WR,13,8,65,39,60.0,494,12.7,5,24,49.2,53,7.6,3.0,38.0,1,0,0,98.9,2018
Devontae Booker,DEN,26,RB,16,0,51,38,74.5,275,7.2,0,9,51.0,30,5.4,2.4,17.2,1,0,0,46.5,2018
Randall Cobb,GNB,28,WR,9,6,61,38,62.3,383,10.1,2,18,45.9,75,6.3,4.2,42.6,2,0,0,69.30000000000001,2018
Keelan Cole,JAX,25,WR,16,11,70,38,54.3,491,12.9,1,25,52.9,35,7.0,2.4,30.7,2,0,0,74.1,2018
Quincy Enunwa,NYJ,26,WR,11,10,68,38,55.9,449,11.8,1,22,42.6,42,6.6,3.5,40.8,2,0,0,69.9,2018
Jacquizz Rodgers,TAM,28,RB,16,0,45,38,84.4,304,8.0,0,13,55.6,24,6.8,2.4,19.0,1,0,0,49.400000000000006,2018
Marquez Valdes-Scantling,GNB,24,WR,16,10,73,38,52.1,581,15.3,2,23,43.8,60,8.0,2.4,36.3,0,0,0,89.1,2018
Jermaine Kearse,NYJ,28,WR,14,9,76,37,48.7,371,10.0,1,20,39.5,29,4.9,2.6,26.5,0,0,0,61.6,2018
Kenny Stills,MIA,26,WR,15,15,64,37,57.8,553,14.9,6,27,53.1,75,8.6,2.5,36.9,1,0,0,109.80000000000001,2018
Taywan Taylor,TEN,23,WR,13,5,56,37,66.1,466,12.6,1,19,57.1,55,8.3,2.8,35.8,1,0,0,71.1,2018
Ryan Switzer,PIT,24,WR,16,1,44,36,81.8,253,7.0,1,15,50.0,24,5.8,2.3,15.8,2,0,0,49.3,2018
Ian Thomas,CAR,22,TE,16,6,49,36,73.5,333,9.3,2,20,53.1,31,6.8,2.3,20.8,0,0,0,63.300000000000004,2018
Javorius Allen,BAL,27,RB,14,0,43,35,81.4,196,5.6,2,11,44.2,17,4.6,2.5,14.0,1,0,0,49.1,2018
Giovani Bernard,CIN,27,RB,12,4,48,35,72.9,218,6.2,0,8,41.7,26,4.5,2.9,18.2,0,0,0,39.3,2018
Ryan Grant,IND,28,WR,14,10,52,35,67.3,334,9.5,1,18,57.7,23,6.4,2.5,23.9,0,0,0,56.9,2018
Chris Hogan,NWE,31,WR,16,7,55,35,63.6,532,15.2,3,22,56.4,63,9.7,2.2,33.3,0,0,0,88.7,2018
Marvin Jones,DET,28,WR,9,9,62,35,56.5,508,14.5,5,27,51.6,39,8.2,3.9,56.4,0,0,0,98.30000000000001,2018
Phillip Lindsay,DEN,24,RB,15,8,47,35,74.5,241,6.9,1,12,44.7,29,5.1,2.3,16.1,0,0,1,47.6,2018
Laquon Treadwell,MIN,23,WR,15,7,53,35,66.0,302,8.6,1,16,45.3,22,5.7,2.3,20.1,0,0,0,53.7,2018
Ben Watson,NOR,38,TE,16,4,46,35,76.1,400,11.4,2,21,63.0,32,8.7,2.2,25.0,0,0,0,69.5,2018
Mark Andrews,BAL,23,TE,16,3,50,34,68.0,552,16.2,3,28,64.0,74,11.0,2.1,34.5,0,0,0,90.2,2018
Mike Davis,SEA,25,RB,15,2,42,34,81.0,214,6.3,1,10,47.6,18,5.1,2.3,14.3,0,0,0,44.400000000000006,2018
O.J. Howard,TAM,24,TE,10,8,48,34,70.8,565,16.6,5,28,64.6,75,11.8,3.4,56.5,0,0,0,103.5,2018
LeSean McCoy,BUF,30,RB,14,13,46,34,73.9,238,7.0,0,10,37.0,24,5.2,2.4,17.0,0,0,0,40.8,2018
Ricky Seals-Jones,ARI,23,TE,15,5,69,34,49.3,343,10.1,1,14,39.1,40,5.0,2.3,22.9,0,0,0,57.300000000000004,2018
Gerald Everett,LAR,24,TE,16,0,50,33,66.0,320,9.7,3,16,48.0,40,6.4,2.1,20.0,0,0,0,66.5,2018
Michael Gallup,DAL,22,WR,16,8,68,33,48.5,507,15.4,2,21,41.2,49,7.5,2.1,31.7,0,0,0,79.2,2018
Dallas Goedert,PHI,23,TE,16,8,44,33,75.0,334,10.1,4,15,59.1,32,7.6,2.1,20.9,0,0,0,73.9,2018
Anthony Miller,CHI,24,WR,15,4,54,33,61.1,423,12.8,7,19,50.0,55,7.8,2.2,28.2,1,0,0,100.80000000000001,2018
Tevin Coleman,ATL,25,RB,16,14,44,32,72.7,276,8.6,5,15,52.3,39,6.3,2.0,17.3,2,0,0,73.6,2018
Chris Conley,KAN,26,WR,16,13,52,32,61.5,334,10.4,5,18,55.8,27,6.4,2.0,20.9,2,0,0,79.4,2018
Phillip Dorsett,NWE,25,WR,16,2,42,32,76.2,290,9.1,3,14,59.5,20,6.9,2.0,18.1,0,0,0,63.0,2018
Will Fuller,HOU,24,WR,7,7,45,32,71.1,503,15.7,4,22,60.0,73,11.2,4.6,71.9,0,0,0,90.30000000000001,2018
Kerryon Johnson,DET,21,RB,10,7,39,32,82.1,213,6.7,1,11,53.8,24,5.5,3.2,21.3,1,0,0,43.3,2018
Bruce Ellington,2TM,27,WR,7,3,42,31,73.8,224,7.2,1,14,40.5,23,5.3,4.4,32.0,1,0,0,43.900000000000006,2018
Jeff Heuerman,DEN,26,TE,11,10,48,31,64.6,281,9.1,2,14,54.2,36,5.9,2.8,25.5,0,0,0,55.6,2018
Cameron Brate,TAM,27,TE,16,2,49,30,61.2,289,9.6,6,18,49.0,21,5.9,1.9,18.1,1,0,0,79.9,2018
DaeSean Hamilton,DEN,23,WR,14,5,45,30,66.7,243,8.1,2,16,46.7,24,5.4,2.1,17.4,0,0,0,51.3,2018
Jesse James,PIT,24,TE,16,7,39,30,76.9,423,14.1,2,17,69.2,51,10.8,1.9,26.4,0,0,0,69.30000000000001,2018
Kyle Juszczyk,SFO,27,FB,16,14,41,30,73.2,324,10.8,1,15,51.2,56,7.9,1.9,20.3,2,0,1,53.4,2018
Jamison Crowder,WAS,25,WR,9,7,49,29,59.2,388,13.4,2,15,44.9,79,7.9,3.2,43.1,0,0,0,65.30000000000001,2018
Josh Reynolds,LAR,23,WR,16,8,53,29,54.7,402,13.9,5,23,47.2,33,7.6,1.8,25.1,0,0,0,84.7,2018
Nick Vannett,SEA,25,TE,15,9,43,29,67.4,269,9.3,3,17,58.1,32,6.3,1.9,17.9,1,0,0,59.400000000000006,2018
Keke Coutee,HOU,21,WR,6,2,41,28,68.3,287,10.3,1,13,48.8,40,7.0,4.7,47.8,0,0,0,48.7,2018
Antonio Gates,LAC,38,TE,16,1,45,28,62.2,333,11.9,2,19,53.3,27,7.4,1.8,20.8,1,0,0,59.300000000000004,2018
Maurice Harris,WAS,26,WR,12,7,47,28,59.6,304,10.9,0,12,40.4,42,6.5,2.3,25.3,1,0,0,44.400000000000006,2018
Dontrelle Inman,IND,29,WR,9,4,39,28,71.8,304,10.9,3,16,64.1,29,7.8,3.1,33.8,0,0,0,62.400000000000006,2018
Wendell Smallwood,PHI,24,RB,16,6,35,28,80.0,230,8.2,2,9,42.9,36,6.6,1.8,14.4,2,0,0,49.0,2018
Tre'Quan Smith,NOR,22,WR,15,7,44,28,63.6,427,15.3,5,23,61.4,62,9.7,1.9,28.5,0,0,0,86.7,2018
Matt Breida,SFO,23,RB,14,13,31,27,87.1,261,9.7,2,12,67.7,26,8.4,1.9,18.6,1,0,0,51.6,2018
Robert Foster,BUF,24,WR,13,3,44,27,61.4,541,20.0,3,20,52.3,75,12.3,2.1,41.6,0,0,0,85.6,2018
Blake Jarwin,DAL,24,TE,16,4,36,27,75.0,307,11.4,3,16,61.1,39,8.5,1.7,19.2,0,0,0,62.2,2018
Greg Olsen,CAR,33,TE,9,9,38,27,71.1,291,10.8,4,18,65.8,23,7.7,3.0,32.3,0,0,0,66.6,2018
Zach Pascal,IND,24,WR,16,4,46,27,58.7,268,9.9,2,15,47.8,28,5.8,1.7,16.8,0,0,0,52.3,2018
Dante Pettis,SFO,23,WR,12,7,45,27,60.0,467,17.3,5,19,44.4,75,10.4,2.3,38.9,2,0,0,90.2,2018
Ito Smith,ATL,23,RB,14,0,32,27,84.4,152,5.6,0,9,46.9,20,4.8,1.9,10.9,1,0,0,28.700000000000003,2018
Jamaal Williams,GNB,23,RB,16,8,41,27,65.9,210,7.8,0,11,48.8,26,5.1,1.7,13.1,0,0,0,34.5,2018
Jack Doyle,IND,28,TE,6,6,33,26,78.8,245,9.4,2,14,63.6,20,7.4,4.3,40.8,1,0,0,49.5,2018
Kareem Hunt,KAN,23,RB,11,11,35,26,74.3,378,14.5,7,16,62.9,67,10.8,2.4,34.4,0,0,0,92.80000000000001,2018
Aaron Jones,GNB,24,RB,12,8,35,26,74.3,206,7.9,1,12,51.4,24,5.9,2.2,17.2,1,0,0,39.6,2018
David Moore,SEA,23,WR,16,7,53,26,49.1,445,17.1,5,19,37.7,54,8.4,1.6,27.8,2,0,0,87.5,2018
Jaylen Samuels,PIT,22,RB,14,3,29,26,89.7,199,7.7,3,10,62.1,23,6.9,1.9,14.2,1,0,0,50.900000000000006,2018
Tajae Sharpe,TEN,24,WR,16,13,47,26,55.3,316,12.2,2,22,46.8,28,6.7,1.6,19.8,0,0,0,56.6,2018
Geoff Swaim,DAL,25,TE,9,9,32,26,81.3,242,9.3,1,11,46.9,43,7.6,2.9,26.9,0,0,0,43.2,2018
Trent Taylor,SFO,24,WR,14,0,41,26,63.4,215,8.3,1,11,41.5,23,5.2,1.9,15.4,1,0,0,40.5,2018
Albert Wilson,MIA,26,WR,7,3,35,26,74.3,391,15.0,4,11,45.7,75,11.2,3.7,55.9,0,0,0,76.1,2018
Kelvin Benjamin,2TM,27,WR,15,10,67,25,37.3,380,15.2,1,16,32.8,40,5.7,1.7,25.3,0,0,0,56.5,2018
Vernon Davis,WAS,34,TE,14,8,36,25,69.4,367,14.7,2,15,52.8,53,10.2,1.8,26.2,0,0,0,61.2,2018
Rhett Ellison,NYG,30,TE,14,12,34,25,73.5,272,10.9,1,13,58.8,29,8.0,1.8,19.4,0,0,0,45.7,2018
Lamar Miller,HOU,27,RB,14,14,35,25,71.4,163,6.5,1,8,34.3,16,4.7,1.8,11.6,1,0,1,34.8,2018
Ty Montgomery,2TM,25,WR,13,0,40,25,62.5,235,9.4,0,7,42.5,43,5.9,1.9,18.1,2,0,0,36.0,2018
Pierre Garcon,SFO,32,WR,8,8,46,24,52.2,286,11.9,1,14,45.7,25,6.2,3.0,35.8,0,0,0,46.6,2018
Ryan Griffin,HOU,28,TE,14,11,43,24,55.8,305,12.7,0,15,46.5,47,7.1,1.7,21.8,0,0,0,42.5,2018
Tyler Higbee,LAR,25,TE,16,16,34,24,70.6,292,12.2,2,16,64.7,36,8.6,1.5,18.3,1,0,0,53.2,2018
Matt LaCosse,DEN,26,TE,15,5,37,24,64.9,250,10.4,1,11,51.4,44,6.8,1.6,16.7,0,0,0,43.0,2018
James O'Shaughnessy,JAX,26,TE,14,9,38,24,63.2,214,8.9,0,10,44.7,17,5.6,1.7,15.3,0,0,0,33.400000000000006,2018
DeVante Parker,MIA,25,WR,11,7,47,24,51.1,309,12.9,1,14,36.2,46,6.6,2.2,28.1,0,0,0,48.900000000000006,2018
Nick Boyle,BAL,25,TE,16,13,37,23,62.2,213,9.3,0,10,51.4,25,5.8,1.4,13.3,0,0,0,32.8,2018
Marquise Goodwin,SFO,28,WR,11,8,43,23,53.5,395,17.2,4,19,53.5,67,9.2,2.1,35.9,1,0,0,75.0,2018
Tim Patrick,DEN,25,WR,16,4,41,23,56.1,315,13.7,1,15,43.9,26,7.7,1.4,19.7,2,0,0,49.0,2018
Damien Williams,KAN,26,RB,16,3,24,23,95.8,160,7.0,2,9,66.7,32,6.7,1.4,10.0,1,0,0,39.5,2018
DeAndre Carter,2TM,25,WR,14,4,25,22,88.0,216,9.8,0,10,52.0,50,8.6,1.6,15.4,5,0,0,32.6,2018
Corey Clement,PHI,24,RB,11,0,25,22,88.0,192,8.7,0,10,56.0,23,7.7,2.0,17.5,4,0,0,30.200000000000003,2018
Jason Croom,BUF,24,TE,15,3,35,22,62.9,259,11.8,1,10,48.6,26,7.4,1.5,17.3,2,0,0,42.900000000000006,2018
Leonard Fournette,JAX,23,RB,8,8,26,22,84.6,185,8.4,1,10,50.0,31,7.1,2.8,23.1,0,0,0,35.5,2018
Mike Gesicki,MIA,23,TE,16,7,32,22,68.8,202,9.2,0,9,46.9,27,6.3,1.4,12.6,1,0,0,31.200000000000003,2018
Latavius Murray,MIN,28,RB,16,6,26,22,84.6,141,6.4,0,7,42.3,16,5.4,1.4,8.8,0,0,0,25.1,2018
Demarcus Robinson,KAN,24,WR,16,5,33,22,66.7,288,13.1,4,12,54.5,89,8.7,1.4,18.0,0,0,0,63.8,2018
Charles Clay,BUF,29,TE,13,12,36,21,58.3,184,8.8,0,11,41.7,21,5.1,1.6,14.2,1,0,0,28.900000000000002,2018
Isaiah Crowell,NYJ,25,RB,13,6,28,21,75.0,152,7.2,0,7,46.4,21,5.4,1.6,11.7,0,0,0,25.700000000000003,2018
Jakeem Grant,MIA,26,WR,10,2,34,21,61.8,268,12.8,2,13,50.0,52,7.9,2.1,26.8,0,0,0,49.3,2018
Mark Ingram,NOR,29,RB,12,6,27,21,77.8,170,8.1,1,5,37.0,28,6.3,1.8,14.2,3,0,0,33.5,2018
Cordarrelle Patterson,NWE,27,WR,15,5,28,21,75.0,247,11.8,3,11,50.0,55,8.8,1.4,16.5,1,0,0,53.2,2018
John Ross,CIN,23,WR,13,10,58,21,36.2,210,10.0,7,13,25.9,39,3.6,1.6,16.2,0,0,0,73.5,2018
Equanimeous St. Brown,GNB,22,WR,12,7,36,21,58.3,328,15.6,0,13,47.2,54,9.1,1.8,27.3,0,0,0,43.300000000000004,2018
Levine Toilolo,DET,27,TE,16,10,24,21,87.5,263,12.5,1,15,75.0,39,11.0,1.3,16.4,0,0,0,42.8,2018
Geronimo Allison,GNB,24,WR,5,4,30,20,66.7,303,15.2,2,11,56.7,64,10.1,4.0,60.6,1,0,0,52.3,2018
Peyton Barber,TAM,24,RB,16,16,29,20,69.0,92,4.6,1,4,34.5,10,3.2,1.3,5.8,1,0,0,25.200000000000003,2018
Alfred Blue,HOU,27,RB,16,2,27,20,74.1,154,7.7,0,4,48.1,28,5.7,1.3,9.6,0,0,0,25.4,2018
Chris Carson,SEA,24,RB,14,14,24,20,83.3,163,8.2,0,7,50.0,27,6.8,1.4,11.6,3,0,0,26.3,2018
Nick Chubb,CLE,23,RB,16,9,29,20,69.0,149,7.5,2,5,41.4,24,5.1,1.3,9.3,0,0,0,36.9,2018
Chase Edmonds,ARI,22,RB,16,0,23,20,87.0,103,5.2,0,5,39.1,13,4.5,1.3,6.4,1,0,0,20.3,2018
Alex Erickson,CIN,26,WR,16,6,29,20,69.0,167,8.4,0,7,44.8,28,5.8,1.3,10.4,1,0,0,26.7,2018
Jordan Howard,CHI,24,RB,16,15,26,20,76.9,145,7.3,0,7,42.3,18,5.6,1.3,9.1,2,0,0,24.5,2018
Allen Hurns,DAL,27,WR,16,7,35,20,57.1,295,14.8,2,11,54.3,49,8.4,1.3,18.4,1,0,0,51.5,2018
Jordan Matthews,PHI,26,WR,14,3,28,20,71.4,300,15.0,2,14,57.1,56,10.7,1.4,21.4,0,0,0,52.0,2018
Adrian Peterson,WAS,33,RB,16,16,26,20,76.9,208,10.4,1,9,50.0,52,8.0,1.3,13.0,3,0,0,36.8,2018
Paul Richardson,WAS,26,WR,7,4,35,20,57.1,262,13.1,2,12,48.6,46,7.5,2.9,37.4,0,0,0,48.2,2018
