"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"39","Denard Robinson (FA)","135","582","4.3","41","4","4","23","31","124","5.4","0","2","13","113.6","8.7","0.2%"
"40","Terrance West (FA)","171","673","3.9","36","4","4","11","13","64","5.8","1","1","14","112.7","8.1","0.0%"
"41","Bobby Rainey (FA)","94","406","4.3","31","4","1","33","45","315","9.5","1","3","15","111.1","7.4","0.0%"
"42","Reggie Bush (FA)","76","297","3.9","26","1","2","40","56","253","6.3","0","0","11","107.0","9.7","0.0%"
"43","Ronnie Hillman (FA)","106","434","4.1","37","3","3","21","34","139","6.6","1","0","8","102.3","12.8","0.0%"
"44","LeGarrette Blount (FA)","125","547","4.4","50","5","5","10","12","54","5.4","0","1","16","98.1","6.1","0.1%"
"45","Alfred Blue (FA)","169","528","3.1","46","2","2","15","18","113","7.5","1","0","16","97.1","6.1","0.0%"
"46","Bishop Sankey (FA)","152","569","3.7","22","1","2","18","23","133","7.4","0","2","16","96.2","6.0","0.0%"
"47","Theo Riddick (FA)","20","51","2.6","9","0","0","34","50","316","9.3","4","0","14","94.7","6.8","0.0%"
"48","Jerick McKinnon (FA)","113","538","4.8","55","4","0","27","41","135","5.0","0","0","11","94.3","8.6","16.2%"
"49","Devonta Freeman (FA)","65","248","3.8","31","2","1","30","37","225","7.5","1","1","16","87.3","5.5","0.0%"
"50","Latavius Murray (BUF)","82","424","5.2","90","4","2","17","23","143","8.4","0","0","15","85.7","5.7","7.6%"
"51","Toby Gerhart (FA)","101","326","3.2","23","1","2","20","24","186","9.3","0","1","14","81.2","5.8","0.0%"
"52","Doug Martin (FA)","134","494","3.7","63","2","2","13","20","64","4.9","0","0","11","80.8","7.3","0.0%"
"53","Jacquizz Rodgers (FA)","58","217","3.7","17","0","1","29","40","173","6.0","1","0","16","80.0","5.0","0.0%"
"54","Antone Smith (FA)","23","144","6.3","48","2","2","13","15","222","17.1","3","1","10","77.6","7.8","0.0%"
"55","James Starks (FA)","85","333","3.9","41","3","2","18","29","140","7.8","0","0","16","77.3","4.8","0.0%"
"56","Ben Tate (FA)","119","371","3.1","25","1","4","9","12","60","6.7","0","0","11","76.1","6.9","0.0%"
"57","Marcel Reece (FA)","21","85","4.0","11","0","0","37","59","265","7.2","1","1","15","76.0","5.1","0.0%"
"58","Robert Turbin (FA)","74","310","4.2","17","0","0","16","20","186","11.6","2","1","16","75.6","4.7","0.0%"
"59","Jordan Todman (FA)","32","186","5.8","62","2","1","25","37","198","7.9","1","0","16","75.4","4.7","0.0%"
"60","Dan Herron (FA)","78","351","4.5","49","1","1","21","26","173","8.2","0","2","16","75.4","4.7","0.0%"
"61","Carlos Hyde (FA)","83","333","4.0","28","1","4","12","16","68","5.7","0","1","14","74.1","5.3","0.0%"
"62","Jonas Gray (FA)","89","412","4.6","20","1","5","1","3","7","7.0","0","0","8","72.9","9.1","0.0%"
"63","Travaris Cadet (FA)","10","32","3.2","8","0","0","38","51","296","7.8","1","2","15","72.8","4.9","0.0%"
"64","Donald Brown (FA)","85","223","2.6","16","0","0","29","41","211","7.3","0","0","13","72.4","5.6","0.0%"
"65","Lorenzo Taliaferro (FA)","68","292","4.3","31","3","4","8","10","114","14.3","0","1","13","70.6","5.4","0.0%"
"66","Anthony Dixon (FA)","105","432","4.1","47","3","2","8","9","49","6.1","0","0","16","68.1","4.3","0.0%"
"67","Ryan Mathews (FA)","74","330","4.5","32","3","3","9","10","69","7.7","0","0","6","66.9","11.2","0.0%"
"68","Stepfan Taylor (FA)","63","208","3.3","21","1","1","11","15","79","7.2","3","0","14","65.7","4.7","0.2%"
"69","C.J. Spiller (FA)","78","300","3.8","53","3","0","19","22","125","6.6","1","1","9","65.5","7.3","0.1%"
"70","Zac Stacy (FA)","76","293","3.9","16","0","1","18","23","152","8.4","0","2","13","64.5","5.0","0.0%"
"71","Khiry Robinson (FA)","76","362","4.8","62","2","3","8","11","63","7.9","0","2","10","64.5","6.5","0.0%"
"72","Dexter McCluster (FA)","40","131","3.3","16","0","0","26","36","197","7.6","1","1","14","62.8","4.5","0.0%"
"73","Charles Sims (FA)","66","185","2.8","20","1","1","19","27","190","10.0","0","1","8","60.5","7.6","0.0%"
"74","Damien Williams (FA)","36","122","3.4","19","0","0","21","27","187","8.9","1","0","16","57.9","3.6","0.1%"
"75","Joseph Randle (FA)","51","343","6.7","65","3","3","4","5","23","5.8","0","2","16","54.6","3.4","0.0%"
"76","Daniel Thomas (FA)","44","168","3.8","15","0","2","13","19","121","9.3","0","1","12","53.9","4.5","0.0%"
"77","Leon Washington (FA)","13","57","4.4","16","0","0","22","31","159","7.2","2","1","16","53.6","3.4","0.0%"
"78","Stevan Ridley (FA)","94","340","3.6","43","1","2","4","5","20","5.0","0","0","6","52.0","8.7","0.0%"
"79","Juwan Thompson (FA)","54","272","5.0","47","2","3","4","7","25","6.3","0","0","15","51.7","3.4","0.0%"
"80","Shonn Greene (FA)","94","392","4.2","52","2","2","1","3","13","13.0","0","1","13","51.5","4.0","0.0%"
"81","Darrel Young (FA)","9","22","2.4","14","0","3","11","14","81","7.4","2","0","16","51.3","3.2","0.0%"
"82","Bernard Pierce (FA)","93","366","3.9","28","4","2","2","6","13","6.5","0","1","13","49.9","3.8","0.0%"
"83","Lance Dunbar (FA)","29","99","3.4","14","0","0","18","22","217","12.1","0","0","16","49.6","3.1","0.0%"
"84","Chris Polk (FA)","46","172","3.7","22","1","4","2","3","16","8.0","0","0","14","44.8","3.2","0.0%"
"85","Bryce Brown (FA)","36","126","3.5","14","0","0","16","25","176","11.0","0","1","7","44.2","6.3","0.0%"
"86","Bilal Powell (FA)","33","141","4.3","15","0","1","11","15","92","8.4","0","0","15","40.3","2.7","0.0%"
"87","Kyle Juszczyk (SF)","0","0","0","0","0","0","19","27","182","9.6","1","2","16","39.2","2.5","1.4%"
"88","Fozzy Whittaker (FA)","32","145","4.5","17","0","1","5","6","60","12.0","1","0","10","37.5","3.8","0.0%"
"89","Montee Ball (FA)","55","172","3.1","23","1","1","9","13","62","6.9","0","1","5","36.4","7.3","0.0%"
"90","Silas Redd (FA)","16","75","4.7","14","0","1","8","10","107","13.4","0","0","15","32.2","2.1","0.0%"
"91","Peyton Hillis (FA)","26","115","4.4","16","0","0","10","16","87","8.7","0","0","9","30.2","3.4","0.0%"
"92","Jonathan Grimes (FA)","39","153","3.9","11","0","0","6","8","86","14.3","0","0","16","29.9","1.9","0.0%"
"93","DeAngelo Williams (FA)","62","219","3.5","17","0","0","5","6","44","8.8","0","1","6","29.3","4.9","0.1%"
"94","Mike Tolbert (FA)","37","78","2.1","15","0","0","12","17","93","7.8","0","0","8","29.1","3.6","0.0%"
"95","Maurice Jones-Drew (FA)","43","96","2.2","13","0","0","11","16","71","6.5","0","0","12","27.7","2.3","0.0%"
"96","Kerwynn Williams (FA)","53","246","4.6","19","0","0","2","6","11","5.5","0","0","5","27.7","5.5","0.0%"
"97","Ka'Deem Carey (FA)","36","158","4.4","15","0","0","5","6","57","11.4","0","0","14","26.5","1.9","0.0%"
"98","Joe McKnight (FA)","1","3","3.0","3","0","0","6","7","64","10.7","2","0","2","24.7","12.4","0.0%"
"99","Joe Banyard (FA)","21","88","4.2","16","0","0","9","11","62","6.9","0","0","15","24.0","1.6","0.0%"
"100","Anthony Sherman (FA)","2","8","4.0","4","0","0","10","14","71","7.1","1","0","16","23.9","1.5","0.0%"
"101","Robert Hughes (FA)","7","11","1.6","5","0","0","8","12","140","17.5","0","0","16","23.1","1.4","0.0%"
"102","Knowshon Moreno (FA)","31","148","4.8","15","0","1","1","1","8","8.0","0","0","3","22.6","7.5","0.0%"
"103","Patrick DiMarco (FA)","0","0","0","0","0","0","9","14","62","6.9","1","0","16","21.2","1.3","0.0%"
"104","Storm Johnson (FA)","29","86","3.0","20","1","2","1","1","-4","-4.0","0","0","6","21.2","3.5","0.0%"
"105","John Kuhn (FA)","24","85","3.5","11","0","1","4","4","23","5.8","0","0","16","20.8","1.3","0.0%"
"106","Rex Burkhead (FA)","9","27","3.0","10","0","1","7","10","49","7.0","0","0","9","20.6","2.3","10.0%"
"107","Zurlon Tipton (FA)","10","18","1.8","9","0","0","6","6","68","11.3","1","0","6","20.6","3.4","0.0%"
"108","Marion Grice (FA)","15","41","2.7","8","0","1","7","11","29","4.1","0","0","10","20.0","2.0","0.0%"
"109","Christine Michael (FA)","34","175","5.1","45","1","0","1","2","12","12.0","0","0","10","19.7","2.0","0.0%"
"110","Jamize Olawale (FA)","2","0","0.0","0","0","0","5","6","18","3.6","2","0","16","18.8","1.2","0.0%"
"111","Ryan Hewitt (FA)","1","0","0.0","0","0","0","10","15","86","8.6","0","0","16","18.6","1.2","0.0%"
"112","Orleans Darkwa (FA)","9","23","2.6","12","0","1","5","6","48","9.6","0","0","11","18.1","1.6","0.0%"
"113","Brandon Bolden (LV)","28","89","3.2","17","0","1","2","6","8","4.0","0","0","16","17.7","1.1","0.0%"
"114","Jed Collins (FA)","8","19","2.4","3","0","0","5","6","39","7.8","1","0","16","16.8","1.1","0.0%"
"115","Erik Lorig (FA)","3","4","1.3","4","0","0","9","10","27","3.0","1","1","10","16.1","1.6","0.0%"
"116","Darrin Reaves (FA)","31","78","2.5","9","0","0","5","8","31","6.2","0","0","6","15.9","2.7","0.0%"
"117","Chris Thompson (FA)","3","12","4.0","7","0","0","6","7","27","4.5","1","0","2","15.9","8.0","0.0%"
"118","Ronnie Brown (FA)","20","63","3.2","11","0","0","5","8","44","8.8","0","0","10","15.7","1.6","0.0%"
"119","Will Ta'ufo'ou (FA)","0","0","0","0","0","0","7","8","81","11.6","0","0","16","15.1","0.9","0.0%"
"120","Jackie Battle (FA)","5","9","1.8","5","0","1","5","5","28","5.6","0","0","16","14.7","0.9","0.0%"
"121","Jonathan Dwyer (FA)","16","51","3.2","20","1","1","2","3","8","4.0","0","0","2","13.9","7.0","0.0%"
"122","Frank Summers (FA)","6","17","2.8","4","0","1","5","8","9","1.8","0","0","10","13.6","1.4","0.0%"
"123","John Conner (FA)","6","20","3.3","13","0","0","2","3","35","17.5","1","0","12","13.5","1.1","0.0%"
"124","Dri Archer (FA)","10","40","4.0","15","0","0","7","10","23","3.3","0","0","12","13.3","1.1","0.0%"
"125","Danny Woodhead (FA)","15","38","2.5","13","0","0","5","6","34","6.8","0","0","3","12.2","4.1","20.6%"
"126","Austin Johnson (FA)","8","22","2.8","8","0","0","2","2","15","7.5","1","0","7","11.7","1.7","0.0%"
"127","Adrian Peterson (FA)","21","75","3.6","17","0","0","2","3","18","9.0","0","0","1","11.3","11.3","2.4%"
"128","James White (FA)","9","38","4.2","11","0","0","5","5","23","4.6","0","0","3","11.1","3.7","0.1%"
"129","Chris Ogbonnaya (FA)","14","50","3.6","9","0","1","0","1","0","0","0","0","7","11.0","1.6","0.0%"
"130","Derrick Coleman (FA)","0","0","0","0","0","0","2","2","29","14.5","1","0","5","10.9","2.2","0.1%"
"131","James Develin (FA)","3","5","1.7","5","0","0","6","8","43","7.2","0","0","16","10.8","0.7","0.0%"
"132","Will Johnson (FA)","2","0","0.0","0","0","0","6","10","41","6.8","0","0","16","10.1","0.6","0.0%"
"133","Cedric Peerman (FA)","15","43","2.9","21","1","0","3","5","27","9.0","0","0","16","10.0","0.6","0.0%"
"134","Cyrus Gray (FA)","8","31","3.9","6","0","1","0","0","0","0","0","0","9","9.1","1.0","0.0%"
"135","DuJuan Harris (FA)","16","64","4.0","12","0","0","1","2","11","11.0","0","0","15","8.5","0.6","0.0%"
"136","Trey Watts (FA)","7","30","4.3","9","0","0","3","4","18","6.0","0","0","14","7.8","0.6","0.0%"
"137","George Winn (FA)","19","73","3.8","16","0","0","0","3","0","0","0","0","12","7.3","0.6","0.0%"
"138","Jorvorskie Lane (FA)","3","58","19.3","54","1","0","1","1","3","3.0","0","0","9","7.1","0.8","0.0%"
"139","Fitzgerald Toussaint (FA)","6","12","2.0","12","0","0","3","6","27","9.0","0","0","4","6.9","1.7","0.0%"
"140","Michael Cox (FA)","4","33","8.3","17","0","0","2","3","9","4.5","0","0","4","6.2","1.6","0.0%"
"141","Alfonso Smith (FA)","7","19","2.7","12","0","0","3","4","11","3.7","0","0","6","6.0","1.0","0.0%"
"142","Tommy Bohanon (FA)","1","3","3.0","3","0","0","2","2","30","15.0","0","0","4","5.3","1.3","0.0%"
"143","Ray Agnew (FA)","2","2","1.0","2","0","0","3","9","15","5.0","0","0","12","4.7","0.4","0.0%"
"144","Mike James (FA)","19","37","1.9","9","0","0","1","1","-5","-5.0","0","0","11","4.2","0.4","0.0%"
"145","Jay Prosch (FA)","0","0","0","0","0","0","1","4","24","24.0","0","0","16","3.4","0.2","0.0%"
"146","Antonio Andrews (FA)","0","0","0","0","0","0","2","2","11","5.5","0","0","4","3.1","0.8","0.0%"
"147","Jerome Felton (FA)","4","27","6.8","21","1","0","0","2","0","0","0","0","16","2.7","0.2","0.0%"
"148","Brian Leonard (FA)","0","0","0","0","0","0","1","1","15","15.0","0","0","1","2.5","2.5","0.0%"
"149","Jeremy Stewart (FA)","6","22","3.7","16","0","0","0","0","0","0","0","0","6","2.2","0.4","0.0%"
"150","Shaun Draughn (FA)","10","19","1.9","6","0","0","0","0","0","0","0","0","10","1.9","0.2","0.0%"
"151","Josh Harris (FA)","9","16","1.8","4","0","0","0","0","0","0","0","0","5","1.6","0.3","0.0%"
"152","Will Tukuafu (FA)","1","2","2.0","2","0","0","1","2","4","4.0","0","0","9","1.6","0.2","0.0%"
"153","Henry Hynoski (FA)","7","13","1.9","4","0","0","0","0","0","0","0","0","16","1.3","0.1","0.0%"
"154","Tyler Clutts (FA)","0","0","0","0","0","0","1","1","1","1.0","0","0","16","1.1","0.1","0.0%"
"155","Senorise Perry (FA)","0","0","0","0","0","0","1","1","-1","-1.0","0","0","16","0.9","0.1","0.0%"
"156","LaMichael James (FA)","5","9","1.8","5","0","0","0","1","0","0","0","0","3","0.9","0.3","0.0%"
"157","Edwin Baker (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"158","Cordarrelle Patterson (PIT)","10","117","11.7","67","2","1","33","67","384","11.6","1","1","16","0.0","0.0","1.4%"
"159","Cory Harkey (FA)","0","0","0","0","0","0","8","11","55","6.9","1","0","16","0.0","0.0","0.2%"
"160","Mario Harvey (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"161","Marcus Thigpen (FA)","0","0","0","0","0","0","0","1","0","0","0","1","9","0.0","0.0","0.0%"
"162","Chase Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"163","Zach Line (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Phillip Tanner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Nick Bellore (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","7.0%"
"166","Evan Rodriguez (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","George Atkinson III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"168","Charcandrick West (FA)","0","0","0","0","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"169","Jerome Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Glenn Winston (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"171","Kiero Small (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"172","Keith Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"173","Jalen Parmele (FA)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Bruce Miller (FA)","6","9","1.5","4","0","0","18","25","189","10.5","2","1","16","0.0","0.0","0.0%"
"175","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","Montell Owens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"177","Tony Fiammetta (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Tauren Poole (FA)","1","0","0.0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
""
""
