"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"201",13,"Zach Ertz",ARI,"TE28","99","192","165.8","34.5","+45"
"202",13,"Rashad Jennings",FA,"RB69","119","194","158.3","26.8","+46"
"203",13,"Jason Avant",FA,"WR73","130","191","160.5","24.9","+70"
"204",13,"Kenny Stills",FA,"WR74","161","198","180.3","10.9","+10"
"205",13,"Lance Dunbar",FA,"RB70","128","197","171.8","25.4","+52"
"206",13,"Jeff Cumberland",FA,"TE29","144","196","180.9","18.5","+189"
"207",13,"LaRod Stephens-Howling",FA,"RB71","139","194","175.2","19.9","+90"
"208",13,"Marlon Brown",FA,"WR75","108","165","136.5","28.5","+149"
"209",13,"Dustin Keller",FA,"TE30","134","187","159.7","21.7","+16"
"210",13,"Davone Bess",FA,"WR76","161","198","177.2","14.6","+82"
"211",13,"Toby Gerhart",FA,"RB72","138","196","171.0","20.9","+18"
"212",13,"Zach Miller",FA,"TE31","169","197","181.7","11.0","+33"
"213",13,"Nate Washington",FA,"WR77","159","192","172.0","12.3","+41"
"214",13,"Dexter McCluster",FA,"RB73","139","196","163.7","23.9","+21"
"215",13,"Robert Turbin",FA,"RB74","128","200","181.2","27.3","+2"
"216",13,"Felix Jones",FA,"RB75","133","198","176.8","25.7","+2"
"217",13,"Stepfan Taylor",FA,"RB76","170","186","177.5","7.5","+22"
"218",13,"Delanie Walker",FA,"TE32","146","163","154.5","8.5","+76"
"219",13,"Brian Leonard",FA,"RB77","129","184","156.5","27.5","+96"
"220",13,"Brandon Lloyd",FA,"WR78","130","204","180.3","29.4","+22"
"221",13,"Matt Prater",ARI,"K1","156","160","158.0","2.0","-69"
"222",13,"Denard Robinson",FA,"RB78","164","184","173.7","8.2","-26"
"223",13,"Keenan Allen",LAC,"WR79","182","199","192.1","5.4","+17"
"224",13,"Charles Clay",FA,"TE33","142","191","174.3","22.9","+153"
"225",13,"Leonard Hankerson",FA,"WR80","167","196","181.8","12.1","+66"
"226",13,"Quinton Patton",FA,"WR81","171","197","186.0","9.4","0"
"227",13,"New England Patriots",NE,"DST7","172","195","186.0","8.6","-101"
"228",13,"Terrelle Pryor Sr.",FA,"WR82","135","200","182.3","27.3","+31"
"229",13,"Brian Quick",FA,"WR83","178","199","189.2","7.5","+7"
"230",13,"Danario Alexander",FA,"WR84","151","199","183.3","18.9","+14"
"231",13,"Jake Locker",FA,"QB28","169","200","189.0","11.2","+35"
"232",13,"Donald Brown",FA,"RB79","160","194","181.0","15.0","+84"
"233",13,"Geno Smith",SEA,"QB29","145","215","186.0","29.8","+42"
"234",13,"Justin Tucker",BAL,"K2","172","173","172.5","0.5","-59"
"235",13,"Green Bay Packers",GB,"DST8","172","174","173.0","1.0","-72"
"236",13,"Phil Dawson",FA,"K3","160","188","174.0","14.0","-76"
"237",13,"Brandon Gibson",FA,"WR85","152","197","174.5","22.5","+77"
"238",13,"Blair Walsh",FA,"K4","151","199","175.0","24.0","-100"
"239",13,"Mike Goodson",FA,"RB80","186","216","196.2","10.0","+65"
"240",13,"Matt Bryant",FA,"K5","167","187","177.0","10.0","-92"
"241",14,"A.J. Jenkins",FA,"WR86","172","188","180.0","8.0","+89"
"242",14,"Stephen Gostkowski",FA,"K6","178","202","188.7","10.0","-110"
"243",14,"Jarrett Boykin",FA,"WR87","165","199","182.0","17.0","+143"
"244",14,"Jarius Wright",FA,"WR88","190","200","195.4","3.7","+81"
"245",14,"Jon Baldwin",FA,"WR89","187","194","190.7","2.9","+41"
"246",14,"Doug Baldwin",FA,"WR90","179","199","191.0","8.6","+106"
"247",14,"Jacob Tamme",FA,"TE34","167","220","193.5","26.5","+30"
"248",14,"Scott Chandler",FA,"TE35","177","200","191.3","10.2","+5"
"249",14,"Jake Ballard",FA,"TE36","181","224","200.3","15.5","+11"
"250",14,"Arizona Cardinals",ARI,"DST9","181","195","188.0","7.0","-74"
"251",14,"Los Angeles Rams",LAR,"DST10","187","190","188.5","1.5","-89"
"252",14,"Christian Ponder",FA,"QB30","177","207","192.0","15.0","+15"
"253",14,"Baltimore Ravens",BAL,"DST11","191","196","193.5","2.5","-86"
"254",14,"Pittsburgh Steelers",PIT,"DST12","188","200","194.0","6.0","-90"
"255",14,"Latavius Murray",BUF,"RB81","193","197","195.0","2.0","+73"
"256",14,"David Ausberry",FA,"TE37","196","197","196.5","0.5","+92"
"257",14,"Santana Moss",FA,"WR91","194","203","198.5","4.5","-26"
"258",14,"Minnesota Vikings",MIN,"DST13","198","199","198.5","0.5","-11"
"259",14,"Sebastian Janikowski",FA,"K7","198","210","204.0","6.0","-81"
"260",14,"Chris Polk",FA,"RB82","198","222","210.0","12.0","+42"
