"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Kirk Cousins","MIN","30.6","21.6","9","30.6","21.6","9","1","44","31","29.7","0","1.04","364","328.14","4","2.39","0","0","0","0","0","0","0","0"
"Mac Jones","NE","14.7","19.8","-5.100000000000001","14.7","19.8","-5.1","1","42","31","27.77","1","1.13","231","307.4","1","1.49","18","14.7963","0","0","7","9.8388","0","0.03"
"C.J. Stroud","HST","23.5","22.6","0.8999999999999986","23.5","22.6","0.9","1","47","30","29.06","0","1.39","384","368.11","2","2.12","2","7.9608","0","0.0095","-1","-1","0","0"
"Bryce Young","CAR","13.5","13.9","-0.40000000000000036","13.5","13.9","-0.4","1","33","22","22.61","0","0.58","153","235.05","1","0.91","34","14.8335","0","0","0","0","0","0"
"Dak Prescott","DAL","19.6","18.2","1.4000000000000021","19.6","18.2","1.4","1","38","31","27.02","0","0.66","255","234.94","2","2.17","15","5.5893","0","0.038","-1","-0.5014","0","0.01"
"Russell Wilson","DEN","28.9","20.2","8.7","28.9","20.2","8.7","1","32","18","17.77","1","0.79","308","226.3","3","1.66","38","20.8227","0","0","18","7.7028","0","0.41"
"Jalen Hurts","PHI","26.2","21.6","4.599999999999998","26.2","21.6","4.6","1","23","18","15.78","1","0.56","193","176.18","1","0.63","15","28.6905","0","0","20","26.1864","2","1.18"
"Sam Howell","WAS","21.3","18.4","2.900000000000002","21.3","18.4","2.9","1","39","27","24.21","0","0.68","299","233.63","2","1.89","13","22.1898","0","0","0","0","0","0"
"Justin Fields","CHI","16.7","15","1.6999999999999993","16.7","15","1.7","1","29","16","17.99","2","0.61","211","195.33","1","0.41","1","1","1","0.76","2","14.2884","0","0.01"
"Desmond Ridder","ATL","22.4","24.2","-1.8000000000000007","22.4","24.2","-1.8","1","32","19","19.98","1","0.89","237","219.65","1","2.35","23","33.1917","0","0.0285","16","11.2402","1","0.38"
"Jared Goff","DET","23.9","17.7","6.199999999999999","23.9","17.7","6.2","1","35","28","24.07","1","0.71","323","261.36","3","1.99","0","0","0","0","0","0","0","0"
"Derek Carr","NO","7.7","15.5","-7.8","7.7","15.5","-7.8","1","36","21","21.31","1","0.78","228","239.53","0","1.74","0","0","0","0","-4","-3","0","0"
"Joe Burrow","CIN","16.4","23","-6.600000000000001","16.4","23","-6.6","1","41","27","26.25","1","0.8","222","233.81","2","3.43","5","7.3935","0","0","0","0","0","0"
"Patrick Mahomes","KC","22.2","20.2","2","22.2","20.2","2","1","41","28","27.31","1","0.94","306","274.25","2","1.73","35","29.5647","0","0.0095","-5","1.8902","0","0"
"Deshaun Watson","CLV","14.6","25.2","-10.6","14.6","25.2","-10.6","1","40","22","24.72","1","1.07","235","299.18","1","1.26","22","36.8378","0","0.6935","0","13.132","0","0.01"
"Josh Allen","BUF","23.7","28.3","-4.600000000000001","23.7","28.3","-4.6","1","37","31","26.09","0","0.58","274","217.21","3","3.72","0","6.7425","0","0.019","7","6.1642","0","0.65"
"Justin Herbert","LAC","20.2","22.8","-2.6000000000000014","20.2","22.8","-2.6","1","41","27","23.57","0","1.04","305","286.81","2","3.01","0","0","0","0","0","3.6162","0","0"
