"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Adam Trautman","DEN","16","TE","34","21","0","183","0","3","0","1","61.8","8.5","5.38","8.71","4.19","14","6","3","41.2","28.6","100","7","3","20.6","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.8","0.06","2.23"
"Tucker Kraft","GB","16","TE","36","28","1","324","0","2","0","1","77.8","5.42","9","11.57","7.68","9","6","2","25","21.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.4","0.1","2.09"
"Brenton Strange","JAX","13","TE","9","5","0","35","0","1","0","0","55.6","6.33","3.89","7","6","3","2","1","33.3","40","100","1","1","11.1","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0.04","2.4"
"Sam LaPorta","DET","16","TE","111","81","2","860","1","9","1","6","73","7.66","7.75","10.62","4.2","23","15","9","20.7","18.5","100","6","3","5.4","3.7","33.3","1","0","4","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","2","2","180.9","0.19","2.21"
"Davis Allen","LA","14","TE","7","6","0","70","0","1","0","1","85.7","1.71","10","11.67","10.17","2","2","1","28.6","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0.11","2.67"
"Luke Musgrave","GB","10","TE","44","33","0","341","0","1","0","1","75","7.45","7.75","10.33","5.18","10","6","1","22.7","18.2","100","1","0","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.6","0.12","1.72"
"Jesper Horsted","LV","3","TE","1","1","0","4","0","0","0","0","100","1","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.11","0.9"
"Julian Hill","MIA","14","TE","7","5","0","46","0","0","0","0","71.4","3.71","6.57","9.2","6.6","2","1","0","28.6","20","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","7.1","0.02","1.42"
"Pat Freiermuth","PIT","11","TE","42","30","0","287","1","2","0","0","71.4","7.1","6.83","9.57","4.83","8","5","2","19","16.7","100","5","2","11.9","6.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","55.7","0.13","1.86"
"Cole Fotheringham","LV","2","TE","1","1","0","6","0","0","0","0","100","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.05","1.1"
