Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Nick Foles *,24,10,8.5,0.6,63,10.5,14.2,222.4,69.5,7.88,9.18,1,1,FoleNi00
Jay Cutler,30,11,5.4,3.4,67,6.9,11.7,238.3,70.1,6.66,6.23,3,3,CutlJa00
Mike Glennon,24,13,4.6,2.2,85,6.2,10.6,200.6,55.2,5.03,4.98,2,2,GlenMi00
Aaron Rodgers,30,9,5.9,2.1,83,9.0,13.1,281.8,61.6,7.78,8.00,1,1,RodgAa00
Ryan Fitzpatrick,31,9,4.0,3.4,77,6.3,11.3,223.1,58.7,6.32,5.62,2,2,FitzRy00
Matt Schaub,32,8,2.8,3.9,46,5.3,10.5,231.0,38.3,5.67,4.53,2,2,SchaMa00
Jason Campbell,32,8,3.5,2.5,80,5.9,11.2,223.9,43.3,5.74,5.32,,,CampJa00
EJ Manuel,23,10,3.6,2.9,45,5.8,11.0,197.2,38.2,5.43,4.87,1,2,ManuEJ00
Josh McCown,34,5,5.8,0.4,80,9.1,12.3,228.6,82.4,7.63,8.54,1,1,McCoJo01
Matt Cassel,31,6,4.3,3.5,79,6.4,11.8,200.8,52.3,6.38,5.69,2,2,CassMa00
Terrelle Pryor,24,9,2.6,4.0,73,5.3,11.5,163.5,40.5,5.26,4.09,,,PryoTe00
Case Keenum,25,8,3.6,2.4,66,6.6,12.8,220.0,48.6,5.73,5.40,,,KeenCa00
Brandon Weeden,30,5,3.4,3.4,95,5.6,12.3,216.4,34.4,5.28,4.51,0,1,WeedBr00
Sam Bradford,26,7,5.3,1.5,73,6.8,10.6,241.0,56.9,5.74,6.10,1,1,BradSa00
Kellen Clemens,30,9,3.3,2.9,81,6.3,11.8,167.3,43.4,5.84,5.25,,,ClemKe00
Christian Ponder,25,9,2.9,3.8,47,5.8,10.8,183.1,42.2,5.75,4.75,1,0,PondCh00
Matt McGloin,24,6,3.8,3.8,52,6.4,13.1,221.0,46.0,6.88,5.96,,,McGlMa01
Matt Flynn,28,5,4.0,2.5,56,6.6,11.2,198.9,,5.61,5.32,3,2,FlynMa00
Jake Locker,25,7,4.4,2.2,66,6.8,11.3,179.4,55.2,5.78,5.68,1,2,LockJa00
Michael Vick,33,6,3.5,2.1,70,8.4,15.8,173.6,53.5,7.15,6.93,,,VickMi00
Thaddeus Lewis,28,5,2.5,1.9,57,6.6,11.7,182.0,21.0,5.67,5.35,1,1,LewiTh01
Kirk Cousins,25,3,2.6,4.5,62,4.0,10.5,170.8,36.5,5.14,3.67,,,CousKi00
Josh Freeman,25,4,1.4,2.7,39,4.2,12.1,190.3,24.2,4.52,3.61,,,FreeJo00
Scott Tolzien,26,2,1.1,5.6,52,5.7,13.0,239.0,25.5,7.43,5.23,,,TolzSc00
Brian Hoyer,28,3,5.2,3.1,47,6.0,10.8,205.0,51.1,5.56,5.22,1,1,HoyeBr00
Blaine Gabbert,24,3,1.2,8.1,67,2.2,11.5,160.3,4.0,4.22,1.21,,,GabbBl00
Kyle Orton,31,1,3.9,3.9,39,6.8,12.1,132.7,47.2,7.80,6.82,,,OrtoKy00
Jeff Tuel,22,1,1.7,5.1,59,3.3,11.9,154.5,11.7,4.89,3.00,,,TuelJe00
Matt Barkley,23,0,0.0,8.2,26,2.4,10.0,100.0,18.9,5.31,1.85,,,BarkMa00
Chase Daniel,27,1,2.6,2.6,48,5.9,9.9,49.6,70.0,5.93,5.30,,,DaniCh00
Matt Simms,25,0,3.2,3.2,25,4.2,9.8,52.0,6.5,3.80,3.09,,,SimmMa00
Tarvaris Jackson,30,0,7.7,0.0,35,13.2,15.1,50.3,97.4,11.62,13.15,,,JackTa00
Seneca Wallace,33,1,0.0,4.2,17,3.9,8.7,69.5,9.2,4.07,2.46,,,WallSe00
Matt Hasselbeck,38,0,0.0,8.3,57,7.1,18.6,43.3,25.0,10.83,7.08,,,HassMa00
T.J. Yates,26,0,0.0,9.1,20,1.0,7.5,37.7,25.1,4.42,0.67,,,YateT.00
Brock Osweiler,23,0,0.0,0.0,19,5.9,8.6,23.8,39.0,4.83,4.83,,,OsweBr00
Curtis Painter,28,0,0.0,12.5,9,-2.1,7.1,19.0,0.5,3.00,-2.29,,,PainCu00
Matt Moore,29,0,0.0,33.3,50,-6.2,26.5,53.0,2.7,8.83,-6.17,,,MoorMa01
Josh Cribbs,30,0,0.0,0.0,25,12.7,19.0,6.3,,12.67,12.67,,,CribJo01
Dominique Davis,24,0,0.0,0.0,14,4.9,6.8,34.0,68.1,4.86,4.86,,,DaviDo02
Mat McBriar,34,0,0.0,0.0,30,30.0,30.0,3.3,,30.00,30.00,,,McBrMa20
Bilal Powell,25,11,0.0,0.0,30,30.0,30.0,1.9,15.1,30.00,30.00,,,PoweBi00
Mohamed Sanu,24,14,0.0,0.0,25,25.0,25.0,1.6,88.6,25.00,25.00,,,SanuMo00
Marcel Reece*,28,15,0.0,0.0,22,22.0,22.0,1.4,2.4,22.00,22.00,,,ReecMa00
Ace Sanders,22,4,100.0,0.0,21,41.0,21.0,1.4,100.0,21.00,41.00,,,SandAc00
Patrick Peterson*+,23,16,0.0,0.0,17,17.0,17.0,1.1,67.0,17.00,17.00,,,PetePa00
Darren McFadden,26,7,100.0,0.0,16,36.0,16.0,1.6,99.8,16.00,36.00,,,McFaDa00
Antonio Brown*,25,14,0.0,0.0,15,15.0,15.0,0.9,17.5,4.00,4.00,,,BrowAn04
Colt McCoy,27,0,0.0,0.0,13,13.0,13.0,3.3,4.1,13.00,13.00,,,McCoCo00
Spencer Lanning,25,0,100.0,0.0,11,31.0,11.0,0.7,,11.00,31.00,,,LannSp00
Maurice Jones-Drew,28,15,100.0,0.0,8,28.0,8.0,0.5,100.0,8.00,28.00,,,DrewMa00
Mike James,22,3,100.0,0.0,2,22.0,2.0,0.3,89.7,2.00,22.00,,,JameMi00
Tyrod Taylor,24,0,0.0,20.0,2,-8.6,2.0,0.7,70.8,0.40,-8.60,,,TaylTy00
Tavon Austin,23,3,0.0,0.0,0,0.0,,0.0,0.7,0.00,0.00,,,AustTa00
Josh Bush,24,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,BushJo00
Larry Fitzgerald*,30,16,0.0,0.0,0,0.0,,0.0,5.1,0.00,0.00,,,FitzLa00
Johnny Hekker*+,23,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,HekkJo00
Jeremy Kerley,25,8,0.0,0.0,0,0.0,,0.0,0.1,0.00,0.00,,,KerlJe00
Michael Koenen,31,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,koenemic01
Luke McCown,32,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,McCoLu00
Bobby Rainey,26,6,0.0,0.0,0,0.0,,0.0,1.9,0.00,0.00,,,RainBo00
Denard Robinson,23,0,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,RobiDe00
Brad Smith,30,0,0.0,0.0,0,0.0,,0.0,4.5,0.00,0.00,,,SmitBr01
Shann Schillinger,27,0,0.0,0.0,0,-8.0,-8.0,-1.3,,-8.00,-8.00,,,SchiSh99
