Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Nick Vannett,Broncos,2020,2,,"$5,700,000","$2,850,000","$2,500,000",,1.4%,,"$7,345,005","$3,672,503","$3,221,493"
Greg Olsen,Bears,2007,5,,"$7,774,450","$1,554,890","$5,248,750",,1.4%,,"$18,216,464","$3,643,293","$12,298,447"
David Njoku,Browns,2017,4,,"$9,525,345","$2,381,336","$8,191,434",,1.4%,,"$14,567,504","$3,641,876","$12,527,498"
Cethan Carter,Dolphins,2021,3,,"$7,800,000","$2,600,000","$2,700,000",,1.4%,,"$10,915,726","$3,638,575","$3,778,521"
Luke Willson,Lions,2018,1,,"$2,500,000","$2,500,000","$1,400,000",,1.4%,,"$3,603,273","$3,603,273","$2,017,833"
Antonio Gates,Chargers,2018,1,,"$2,500,000","$2,500,000","$1,000,000",,1.4%,,"$3,603,273","$3,603,273","$1,441,309"
Niles Paul,Commanders,2015,3,,"$6,000,000","$2,000,000","$2,250,000",,1.4%,,"$10,695,142","$3,565,047","$4,010,678"
Andrew Beck,Texans,2023,2,,"$6,250,000","$3,125,000","$4,000,000",,1.4%,,"$7,100,756","$3,550,378","$4,544,484"
Drew Sample,Bengals,2024,3,,"$10,500,000","$3,500,000","$2,350,000",,1.4%,,"$10,500,000","$3,500,000","$2,350,000"
Geoff Swaim,Titans,2021,1,,"$2,500,000","$2,500,000","$2,250,000",,1.4%,,"$3,498,630","$3,498,630","$3,148,767"
Ben Watson,Saints,2013,3,,"$4,950,000","$1,650,000","$1,200,000",,1.3%,,"$10,278,293","$3,426,098","$2,491,707"
Niles Paul,Jaguars,2018,2,,"$4,750,000","$2,375,000","$1,500,000",,1.3%,,"$6,846,219","$3,423,109","$2,161,964"
Chris Manhertz,Broncos,2023,2,,"$6,000,000","$3,000,000","$3,340,000",,1.3%,,"$6,816,726","$3,408,363","$3,794,644"
Jacob Tamme,Broncos,2014,1,,"$1,700,000","$1,700,000",$0,,1.3%,,"$3,264,511","$3,264,511",$0
Harrison Bryant,Raiders,2024,1,,"$3,250,000","$3,250,000","$2,878,000",,1.3%,,"$3,250,000","$3,250,000","$2,878,000"
MyCole Pruitt,Titans,2020,1,,"$2,500,000","$2,500,000","$2,350,000",,1.3%,,"$3,221,493","$3,221,493","$3,028,204"
Pharaoh Brown,Seahawks,2024,1,,"$3,200,000","$3,200,000","$2,690,000",,1.3%,,"$3,200,000","$3,200,000","$2,690,000"
Ben Watson,Patriots,2019,1,,"$2,350,000","$2,350,000","$600,000",,1.2%,,"$3,189,107","$3,189,107","$814,240"
Maxx Williams,Cardinals,2019,2,,"$7,000,000","$2,333,333","$3,000,000",,1.2%,,"$9,499,469","$3,166,489","$4,071,201"
Rob Housler,Browns,2015,1,,"$1,760,000","$1,760,000","$750,000",,1.2%,,"$3,137,242","$3,137,242","$1,336,893"
Craig Stevens,Titans,2016,1,,"$1,900,000","$1,900,000",$0,,1.2%,,"$3,125,266","$3,125,266",$0
Cory Harkey,Rams,2016,3,,"$5,700,000","$1,900,000","$2,500,000",,1.2%,,"$9,375,797","$3,125,266","$4,112,192"
Adam Shaheen,MIA/HOU,2020,2,,"$4,850,000","$2,425,000","$3,247,635",,1.2%,,"$6,249,697","$3,124,849","$4,184,894"
Austin Hooper,Raiders,2023,1,,"$2,750,000","$2,750,000","$2,165,000",,1.2%,,"$3,124,333","$3,124,333","$2,459,702"
Brandon Myers,Buccaneers,2014,2,,"$3,250,000","$1,625,000","$500,000",,1.2%,,"$6,240,977","$3,120,489","$960,150"
