Player,Tm,Age,Pos,G_x,GS,Tgt,Rec,Ctch%,Yds_x,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,AllPro,ProBowl,Receiving_Points,Year,Career_Passing_Points,Career_Rushing_Points,Career_Receiving_Points,Pick,Kmeans,PF,Yds_y,Ply,Y/P,TO,FL,1stD,Cmp,Att_Pass,Yds_Pass,TD_Pass,Int,NY/A,1stD_Pass,Att_Rush,Yds_Rush,TD_Rush,YdsPer_Rush,1stD_Rush,Pen,Yds_Pen,1stPy,Sc%,TO%,EXP,Future_Receiving_Points
Calvin Ridley,ATL,24.0,WR,16.0,5.0,92.0,64.0,69.6,821.0,12.8,10.0,39.0,51.1,75.0,8.9,4.0,51.3,2.0,RidlCa00,0.0,0.0,174.10000000000002,2018,,,,26.0,0,414,6226,1010,6.2,18,11,352,428,617,4653,36,7,7.1,238,351,1573,11,4.5,84,101,899,30,42.9,10.7,155.08,160.10000000000002
Calvin Ridley,ATL,25.0,WR,13.0,10.0,93.0,63.0,67.7,866.0,13.7,7.0,47.0,59.1,36.0,9.3,4.8,66.6,0.0,RidlCa00,0.0,0.0,160.10000000000002,2019,,-1.2999999999999998,174.10000000000002,26.0,0,381,6075,1096,5.5,25,10,383,459,684,4714,29,15,6.4,258,362,1361,10,3.8,84,119,956,41,40.8,13.2,95.51,236.4
Calvin Ridley,ATL,26.0,WR,15.0,15.0,143.0,90.0,62.9,1374.0,15.3,9.0,65.0,56.6,63.0,9.6,6.0,91.6,1.0,RidlCa00,0.0,0.0,236.4,2020,,1.0500000000000003,167.10000000000002,26.0,0,396,5895,1078,5.5,18,7,366,408,628,4363,27,11,6.5,243,409,1532,13,3.7,86,83,736,37,44.8,10.3,129.77,55.6
Carlos Hyde,SFO,26.0,RB,13.0,13.0,33.0,27.0,81.8,163.0,6.0,3.0,7.0,48.5,19.0,4.9,2.1,12.5,5.0,HydeCa00,0.0,0.0,47.8,2016,,59.15,,57.0,15,309,4930,996,4.9,25,15,287,287,491,2911,21,10,5.4,152,458,2019,15,4.4,116,99,831,19,27.4,10.7,-75.71,64.5
Cecil Shorts,JAX,25.0,WR,14.0,9.0,105.0,55.0,52.4,979.0,17.8,7.0,37.0,44.8,80.0,9.3,3.9,69.9,1.0,ShorCe00,0.0,0.0,167.4,2012,,,,114.0,14,255,4788,994,4.8,26,9,269,328,586,3419,20,17,5.4,157,358,1369,5,3.8,76,101,955,36,25.5,12.8,-192.09,128.7
Cecil Shorts,JAX,26.0,WR,13.0,13.0,123.0,66.0,53.7,777.0,11.8,3.0,41.0,43.1,59.0,6.3,5.1,59.8,0.0,ShorCe00,0.0,0.0,128.7,2013,,-2.4,167.4,114.0,14,247,4701,1020,4.6,27,6,271,349,592,3441,16,21,5.4,176,378,1260,7,3.3,71,96,797,24,23.6,13.8,-130.11,88.2
Cecil Shorts,JAX,27.0,WR,13.0,12.0,110.0,53.0,48.2,557.0,10.5,1.0,27.0,40.9,53.0,5.1,4.1,42.8,1.0,ShorCe00,0.0,0.0,88.2,2014,,-2.4,148.05,114.0,14,249,4634,988,4.7,26,8,271,325,557,3001,15,18,4.8,154,360,1633,9,4.5,86,73,573,31,22.6,12.8,-120.53,81.4
CeeDee Lamb,DAL,21.0,WR,16.0,14.0,111.0,74.0,66.7,935.0,12.6,5.0,46.0,51.4,52.0,8.4,4.6,58.4,2.0,LambCe00,0.0,0.0,160.5,2020,,,,17.0,15,395,5949,1113,5.3,26,13,371,413,639,4161,25,13,6.1,231,430,1788,14,4.2,115,96,849,25,40.6,14.4,58.97,185.7
CeeDee Lamb,DAL,22.0,WR,16.0,13.0,120.0,79.0,65.8,1102.0,13.9,6.0,54.0,53.3,49.0,9.2,4.9,68.9,0.0,LambCe00,0.0,1.0,185.7,2021,0.0,10.2,160.5,17.0,15,530,6919,1153,6.0,20,9,390,444,647,4800,40,11,7.1,248,473,2119,15,4.5,111,127,1103,31,43.8,9.9,158.06,243.4
CeeDee Lamb,DAL,23.0,WR,17.0,17.0,156.0,107.0,68.6,1359.0,12.7,9.0,67.0,55.1,39.0,8.7,6.3,79.9,0.0,LambCe00,0.0,1.0,243.4,2022,0.0,8.899999999999999,173.1,17.0,15,467,6034,1114,5.4,23,5,347,355,556,3736,28,18,6.4,194,531,2298,24,4.3,129,104,842,24,41.5,10.8,112.34,314.4
Charles Clay,MIA,23.0,FB,14.0,9.0,33.0,18.0,54.5,212.0,11.8,2.0,8.0,39.4,31.0,6.4,1.3,15.1,0.0,ClayCh00,0.0,0.0,42.2,2012,,,,174.0,6,288,4984,981,5.1,26,13,288,293,504,3182,13,13,5.9,158,440,1802,15,4.1,93,82,724,37,27.4,12.9,-88.66,146.4
Charles Clay,MIA,24.0,TE,16.0,15.0,102.0,69.0,67.6,759.0,11.0,6.0,36.0,56.9,67.0,7.4,4.3,47.4,0.0,ClayCh00,0.0,0.0,146.4,2013,,,42.2,174.0,6,317,5007,1001,5.0,26,7,278,357,594,3567,24,19,5.5,205,349,1440,8,4.1,61,70,598,12,29.9,13.4,-18.67,107.5
Charles Clay,MIA,25.0,TE,14.0,14.0,84.0,58.0,69.0,605.0,10.4,3.0,31.0,50.0,41.0,7.2,4.1,43.2,0.0,ClayCh00,0.0,0.0,107.5,2014,,7.5,94.30000000000001,174.0,6,388,5601,1040,5.4,23,11,361,394,595,3729,27,12,5.8,226,399,1872,12,4.7,99,81,635,36,37.6,10.5,74.78,96.3
Charles Clay,BUF,26.0,TE,13.0,13.0,77.0,51.0,66.2,528.0,10.4,3.0,26.0,46.8,40.0,6.9,3.9,40.6,1.0,ClayCh00,0.0,0.0,96.3,2015,,7.5,98.7,174.0,6,379,5775,1016,5.7,19,10,297,295,465,3343,23,9,6.6,155,509,2432,19,4.8,122,143,1249,20,34.9,8.6,37.71,107.7
Charles Clay,BUF,27.0,TE,15.0,15.0,87.0,57.0,65.5,552.0,9.7,4.0,22.0,47.1,40.0,6.3,3.8,36.8,0.0,ClayCh00,0.0,0.0,107.7,2016,,7.5,98.10000000000001,174.0,6,399,5666,1012,5.6,12,5,328,286,474,3036,17,7,5.8,155,492,2630,29,5.3,146,112,960,27,36.7,6.8,60.85,92.3
Charles Clay,BUF,28.0,TE,13.0,13.0,74.0,49.0,66.2,558.0,11.4,2.0,29.0,52.7,44.0,7.5,3.8,42.9,1.0,ClayCh00,0.0,0.0,92.3,2017,,7.5,100.02000000000001,174.0,6,302,4842,1010,4.8,16,6,278,289,476,2825,16,10,5.4,149,487,2017,12,4.1,105,98,872,24,31.7,8.9,-156.16,28.9
