Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Ahmad Bradshaw,Colts,RB,855000,855000,0,0.60,1445143,1445143,0
Richie Brockel,Panthers,RB,1610000,805000,150000,0.60,2721263,1360632,253534
Charles Sims,Buccaneers,RB,3103092,775773,684092,0.60,5244925,1311231,1156270
Tre Mason,Rams,RB,2980938,745235,637500,0.60,5038458,1259615,1077519
Michael Bush,Cardinals,RB,730000,730000,0,0.50,1233865,1233865,0
Justin Forsett,Ravens,RB,730000,730000,0,0.50,1233865,1233865,0
Terrance West,CLE/TEN,RB,2783400,695850,527400,0.50,4704574,1176143,891425
Jerick McKinnon,Vikings,RB,2765000,691250,515000,0.50,4673474,1168368,870466
Dri Archer,Steelers,RB,2748016,687004,506016,0.50,4644767,1161192,855281
Devonta Freeman,Falcons,RB,2704424,676106,484424,0.50,4571087,1142772,818786
Andre Williams,NYG/LAC,RB,2673600,668400,453600,0.50,4518987,1129747,766686
Ka'Deem Carey,Bears,RB,2663380,665845,443380,0.50,4501713,1125428,749412
James White,Patriots,RB,2617088,654272,397088,0.50,4423469,1105867,671168
Andre Brown,Texans,RB,645000,645000,0,0.50,1090195,1090195,0
Daniel Thomas,Dolphins,RB,645000,645000,0,0.50,1090195,1090195,0
Jordan Todman,Jaguars,RB,645000,645000,0,0.50,1090195,1090195,0
Lorenzo Taliaferro,Ravens,RB,2520584,630146,300584,0.50,4260356,1065089,508055
Evan Rodriguez,Buccaneers,RB,1230000,615000,0,0.50,2078977,1039489,0
Anthony Allen,Bills,RB,1230000,615000,0,0.50,2078977,1039489,0
Jeremy Stewart,Broncos,RB,1230000,615000,0,0.50,2078977,1039489,0
Dion Lewis,Colts,RB,1230000,615000,0,0.50,2078977,1039489,0
Shaun Chapas,Jaguars,RB,1230000,615000,0,0.50,2078977,1039489,0
Michael Cox,Giants,RB,1755000,585000,0,0.40,2966346,988782,0
Alfred Blue,Texans,RB,2337932,584483,117932,0.40,3951632,987908,199332
Lache Seastrunk,Commanders,RB,2330500,582625,110500,0.40,3939071,984768,186770
Marion Grice,Chargers,RB,2318896,579724,98896,0.40,3919457,979864,167157
Tyler Gaffney,CAR/NE,RB,2316600,579150,96600,0.40,3915577,978894,163276
Bradie Ewing,JAX/ATL,RB,2284192,571048,184192,0.40,3860800,965200,311326
Storm Johnson,Jaguars,RB,2282728,570682,62728,0.40,3858325,964581,106024
Ryan Williams,Cowboys,RB,570000,570000,0,0.40,963429,963429,0
Shaun Chapas,Ravens,RB,570000,570000,0,0.40,963429,963429,0
LaMichael James,Dolphins,RB,570000,570000,0,0.40,963429,963429,0
Chris Thompson,Commanders,RB,1080000,540000,0,0.40,1825444,912722,0
Bryce Brown,Bills,RB,2150880,537720,50880,0.40,3635472,908868,85999
Isaiah Crowell,Browns,RB,1540000,513333,10000,0.40,2602947,867649,16902
Damien Williams,Dolphins,RB,1533500,511167,3500,0.40,2591961,863988,5916
Glenn Winston,Browns,RB,1530000,510000,0,0.40,2586045,862015,0
Edwin Baker,Saints,RB,495000,495000,0,0.40,836662,836662,0
Michael Smith,Jets,RB,495000,495000,0,0.40,836662,836662,0
Jawan Jamison,Steelers,RB,495000,495000,0,0.40,836662,836662,0
Chandler Harnish,Colts,QB,2145896,536474,45896,0.4,3999979,999995,85551
B.J. Coleman,Packers,QB,2145896,536474,45896,0.4,3999979,999995,85551
Case Keenum,Texans,QB,1452000,484000,12000,0.4,2706547,902182,22368
Austin Davis,Rams,QB,1445000,481667,17500,0.4,2693499,897834,32620
Kirk Cousins,Commanders,QB,2572688,643172,472688,0.5,4795525,1198881,881097
Ryan Lindley,Cardinals,QB,2205308,551327,105308,0.5,4110723,1027681,196296
Russell Wilson,Seahawks,QB,2996774,749194,619472,0.6,5586026,1396508,1154704
Nick Foles,Eagles,QB,2768520,692130,543520,0.6,5160558,1290140,1013128
Brock Osweiler,Broncos,QB,3516678,879170,997584,0.7,6555134,1638785,1859510
Josh Johnson,49ers,QB,2115000,1057500,350000,0.9,3942388,1971194,652405
Charlie Whitehurst,Chargers,QB,3050000,1525000,1000000,1.3,5685240,2842620,1864013
Brandon Weeden,Browns,QB,8083596,2020899,7511288,1.7,15067930,3766983,14001140
Tim Tebow,Jets,QB,6054375,2018125,2531875,1.7,11285435,3761812,4719449
Shaun Hill,Lions,QB,5500000,2750000,1000000,2.3,10252073,5126036,1864013
Ryan Tannehill,Dolphins,QB,12668512,3167128,12668512,2.6,23614274,5903569,23614274
Chad Henne,Jaguars,QB,6750000,3375000,4075000,2.8,12582090,6291045,7595854
Kyle Orton,Cowboys,QB,10500000,3500000,5000000,2.9,19572139,6524046,9320066
Robert Griffin III,Commanders,QB,21119098,5279775,21119098,4.4,39366279,9841571,39366279
Andrew Luck,Colts,QB,22107998,5527000,22107998,4.6,41209602,10302401,41209602
Matt Flynn,Seahawks,QB,19500000,6500000,10000000,5.4,36348259,12116086,18640133
Alex Smith,KC/SF,QB,24000000,8000000,15500000,6.6,44736318,14912106,28892206
Mark Sanchez,Jets,QB,40475000,13491667,19500000,11.2,75445937,25148646,36348259
Matt Schaub,Texans,QB,62000000,15500000,24250000,12.9,115568823,28892206,45202322
Peyton Manning,Broncos,QB,96000000,19200000,58000000,15.9,178945274,35789055,108112769
Drew Brees,Saints,QB,100000000,20000000,60500000,16.6,186401327,37280265,112772803
Tyrod Taylor,Ravens,QB,2145308,536327,105308,0.4,4006357,1001589,196662
Greg McElroy,Jets,QB,2105152,526288,65152,0.4,3931366,982841,121671
Ricky Stanzi,Chiefs,QB,2251052,562763,211052,0.5,4203834,1050958,394139
T.J. Yates,HOU/ATL,QB,2225000,556250,185000,0.5,4155182,1038795,345487
Nathan Enderle,Bears,QB,2208860,552215,168860,0.5,4125040,1031260,315346
Ryan Mallett,HOU/NE,QB,2947828,736957,1018876,0.6,5505061,1376265,1902748
Andy Dalton,Bengals,QB,5214198,1303550,4028171,1.1,9737501,2434376,7522599
Colin Kaepernick,49ers,QB,5124296,1281074,3800000,1.1,9569609,2392402,7096490
Christian Ponder,Vikings,QB,10158698,2539675,10158698,2.1,18971342,4742836,18971342
Blaine Gabbert,JAX/SF,QB,12001646,3000412,12001646,2.5,22413043,5603262,22413043
Jake Locker,Titans,QB,12586002,3146501,12586002,2.6,23504326,5876082,23504326
Cam Newton,Panthers,QB,22025498,5506375,22025498,4.6,41132560,10283141,41132560
Matt Hasselbeck,Titans,QB,20000000,6666667,6000000,5.5,37349948,12449983,11204984
Ryan Fitzpatrick,Bills,QB,59000000,9833333,24000000,8.2,110182347,18363724,44819938
Carson Palmer,Raiders,QB,43000000,10750000,5000000,8.9,80302388,20075597,9337487
Kevin Kolb,Cardinals,QB,62108000,12421600,20000000,10.3,115986529,23197306,37349948
Michael Vick,Eagles,QB,80000000,16000000,35500000,13.3,149399792,29879958,66296158
Peyton Manning,Colts,QB,90000000,18000000,20000000,15.0,168074766,33614953,37349948
Joe Webb,Vikings,QB,2032515,508129,0,0.4,3541933,885484,0
Colt McCoy,Browns,QB,2541000,635250,751000,0.5,4428037,1107009,1308719
Tim Tebow,Broncos,QB,11250000,2250000,7690000,1.7,19604651,3920930,13400868
Sam Bradford,Rams,QB,78000000,13000000,50000000,10.1,135925581,22654264,87131783
Donovan McNabb,Commanders,QB,74250000,14850000,18081250,11.5,129390698,25878140,31509031
Tom Brady,Patriots,QB,72000000,18000000,40050000,14.0,125469767,31367442,69792558
Josh Freeman,Buccaneers,QB,13500000,2700000,9540000,2.2,24673171,4934634,17435707
Mark Sanchez,Jets,QB,47500000,9500000,28000000,7.7,86813008,17362602,51173984
