Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
S. Ehlinger,IND,-211,-248,-39.1%,-44.0%,32,115,485,320,3,0,1,3,63.4%,1/30,-1.0
M. Willis,TEN,-228,-234,-67.6%,-69.2%,12.6,71,227,19,0,0,0,2,50.8%,0/0,-2.8
T. McSorley,ARI,-244,-277,-58.6%,-65.0%,11.3,85,374,82,0,0,1,5,55.6%,0/0,1.3
K. Allen,HOU,-273,-262,-62.2%,-60.1%,3.2,83,373,60,2,2,0,4,59.0%,0/0,-0.9
N. Foles,IND,-293,-313,-101.9%,-108.2%,7.3,50,176,-139,0,0,0,4,59.5%,0/0,3.0

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM
J. Allen,BUF,1,227,3,196,5,25.7%,4,20.6%,107,784,2,965,7,7
L. Jackson,BAL,2,221,2,200,2,27.8%,1,23.9%,99,771,5,921,3,2
D. Jones,NYG,3,217,1,205,8,23.5%,2,21.5%,107,723,3,950,7,2
J. Fields,CHI,4,169,5,174,12,8.3%,12,8.9%,150,1134,1,996,8,8
J. Hurts,PHI,5,133,4,175,16,3.2%,13,8.0%,144,765,4,939,13,5
J. Brissett,CLE,6,107,6,89,3,27.1%,5,20.4%,44,246,9,448,2,1
J. Burrow,CIN,7,103,8,79,9,17.8%,11,10.9%,53,278,7,491,5,0
P. Mahomes,KC,8,97,7,82,6,24.3%,7,18.9%,52,360,10,418,4,4
M. Mariota,ATL,9,67,11,61,15,3.7%,15,2.2%,75,447,8,465,4,4
R. Wilson,DEN,10,60,10,62,10,12.6%,10,13.3%,48,280,12,314,3,2
T. Hill,NO,11,55,9,76,19,-2.1%,16,1.9%,96,575,6,523,7,1
D. Watson,CLE,12,49,14,41,7,24.2%,8,18.2%,27,180,17,211,1,1
G. Smith,SEA,13,48,12,54,14,4.1%,14,6.3%,56,374,11,326,1,3
J. Stidham,LV,14,29,17,24,4,26.4%,6,20.1%,14,83,19,123,0,1
T. Lawrence,JAX,15,26,16,25,21,-4.7%,23,-5.0%,55,283,13,314,5,5
R. Tannehill,TEN,16,25,15,35,11,8.8%,9,16.6%,20,107,18,148,2,1
D. Prescott,DAL,17,25,19,21,18,-1.7%,19,-3.5%,36,189,16,233,1,1
K. Pickett,PIT,18,20,18,21,22,-5.4%,22,-4.9%,50,237,14,262,3,3
D. Carr,LV,19,20,21,12,13,6.5%,18,-0.5%,19,100,20,122,0,1
J. Dobbs,TEN,20,19,20,14,1,30.9%,3,20.8%,8,44,27,76,0,0
Z. Wilson,NYJ,21,14,25,4,17,-0.3%,26,-9.1%,20,110,22,118,1,0
K. Murray,ARI,22,10,13,42,25,-8.8%,17,1.7%,61,414,15,247,3,5
K. Cousins,MIN,23,10,22,9,20,-3.7%,21,-4.3%,20,109,23,110,2,2
C. Wentz,WAS,24,3,29,-3,24,-8.7%,29,-15.7%,17,87,28,75,1,2
B. Perkins,LAR,25,3,23,6,23,-8.5%,20,-4.1%,17,93,30,63,0,0
M. Trubisky,PIT,26,1,27,0,26,-11.0%,27,-12.2%,14,43,26,79,2,0
A. Rodgers,GB,27,-1,26,3,28,-13.5%,25,-9.0%,19,107,29,74,1,2
M. Jones,NE,28,-2,33,-15,27,-13.2%,31,-20.8%,30,128,21,121,1,2
J. Garoppolo,SF,29,-3,24,6,29,-14.8%,24,-7.5%,17,38,25,85,2,1
S. Ehlinger,IND,30,-5,31,-10,30,-18.1%,33,-22.9%,16,86,33,52,0,1
B. Purdy,SF,31,-8,32,-10,33,-22.1%,34,-24.8%,11,25,38,38,1,0
D. Mills,HOU,32,-9,42,-27,31,-20.3%,39,-37.5%,24,116,31,56,2,3
C. McCoy,ARI,33,-9,40,-20,36,-26.2%,41,-43.1%,13,35,39,26,0,2
J. Driskel,HOU,34,-10,34,-17,32,-21.4%,36,-27.8%,20,75,32,55,0,0
C. Streveler,NYJ,35,-14,37,-20,44,-48.7%,48,-63.0%,9,54,43,-5,0,1
A. Dalton,NO,36,-16,38,-20,35,-26.2%,37,-30.0%,18,61,35,45,0,1
T. McSorley,ARI,37,-17,41,-24,42,-37.5%,42,-49.0%,14,59,42,9,0,1
T. Tagovailoa,MIA,38,-17,35,-17,41,-36.7%,38,-36.9%,14,66,41,11,0,2
T. Lance,SF,39,-18,28,-1,39,-32.5%,28,-13.6%,16,67,40,22,0,1
T. Heinicke,WAS,40,-19,30,-7,38,-28.2%,30,-18.6%,23,94,37,41,1,1
M. Willis,TEN,41,-21,36,-18,37,-27.3%,35,-25.2%,25,125,34,52,1,2
J. Herbert,LAC,42,-27,39,-20,34,-24.2%,32,-21.1%,37,164,24,101,0,3
D. Ridder,ATL,43,-38,45,-44,45,-51.9%,47,-58.8%,15,62,45,-19,0,2
T. Brady,TB,44,-39,44,-40,47,-55.8%,46,-57.4%,12,12,46,-26,1,2
J. Goff,DET,45,-44,43,-37,48,-62.1%,45,-53.8%,19,71,48,-39,0,2
T. Huntley,BAL,46,-50,48,-60,40,-34.6%,40,-39.2%,39,137,36,41,1,3
M. Ryan,IND,47,-50,47,-56,43,-48.2%,44,-52.3%,21,66,44,-16,1,3
S. Darnold,CAR,48,-55,46,-54,46,-53.3%,43,-52.1%,23,99,47,-31,2,4
B. Mayfield,2TM,49,-94,49,-83,49,-94.5%,49,-84.8%,26,76,49,-134,1,6

