"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"370","Jake Browning","CIN","qb","12","@CLV","0","0","0","0","0","0","0","0.0412","0.0334","0.0022","0","0","0","0","0.0006","0.0002","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"371","Mason Rudolph","TEN","qb","5","@BUF","0","0","0","0","0","0","0","0.0459","0.031","0.0018","0","0","0","0","0.0006","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"372","Davis Mills","HST","qb","14","@GB","0","0","0","0","0","0","0","0.0736","0.0386","0.002","0","0","0","0","0.001","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"373","Mac Jones","JAX","qb","12","NE","0","0","0","0","0","0","0","0.0469","0.0158","0.0023","0","0","0","0","0.0006","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"374","Malik Willis","GB","qb","10","HST","0","0","0","0","0","0","0","0.0495","0.199","0.0023","0","0","0","0","0.0007","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","Skylar Thompson","MIA","qb","6","@IND","0","0","0","0","0","0","0","0.0555","0.0772","0.0018","0","0","0","0","0.0008","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","Kenny Pickett","PHI","qb","5","@NYG","0","0","0","0","0","0","0","0.0774","0.0285","0.0038","0","0","0","0","0.001","0.0005","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377","Hendon Hooker","DET","qb","5","@MIN","0","0","0","0","0","0","0","0.0502","0.0861","0.002","0","0","0","0","0.0007","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"378","Jake Haener","NO","qb","12","DEN","0","0","0","0","0","0","0","0.0496","0.0504","0.0019","0","0","0","0","0.0007","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","Clayton Tune","ARZ","qb","11","LAC","0","0","0","0","0","0","0","0.0743","0.0792","0.0037","0","0","0","0","0.001","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","Michael Penix Jr.","ATL","qb","12","SEA","0","0","0","0","0","0","0","0.0456","0.1979","0.0021","0","0","0","0","0.0006","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","Sam Howell","SEA","qb","10","@ATL","0","0","0","0","0","0","0","0.0611","0.0625","0.0033","0","0","0","0","0.0008","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"382","Bryce Young","CAR","qb","11","@WAS","0","0","0","0","0","0","0","0.0416","0.0344","0.0022","0","0","0","0","0.0006","0.0002","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"383","Will Reichard","MIN","k","6","DET","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.453","0.459","0.5397","0.5692","0.4822","0.5773","0.3067","0.4172","2.6605","2.7763","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"384","Justin Tucker","BLT","k","14","@TB","8.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.456","0.4619","0.544","0.5727","0.488","0.5809","0.3114","0.4198","2.3722","2.4719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","Younghoe Koo","ATL","k","12","SEA","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4552","0.4618","0.5408","0.5726","0.479","0.5808","0.3023","0.4198","2.4009","2.5136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"386","Harrison Butker","KC","k","6","@SF","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4324","0.438","0.5158","0.5432","0.4622","0.5509","0.2948","0.3982","2.5672","2.6759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"387","Chase McLaughlin","TB","k","11","BLT","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4295","0.4352","0.512","0.5396","0.4579","0.5473","0.2915","0.3956","2.5928","2.7046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"388","Brandon McManus","GB","k","10","HST","8.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.455","0.4618","0.5396","0.5726","0.4757","0.5808","0.299","0.4198","2.172","2.278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","Anders Carlson","SF","k","9","KC","8.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.451","0.459","0.5309","0.5692","0.4579","0.5773","0.2825","0.4172","2.4169","2.5561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"390","Cameron Dicker","LAC","k","5","@ARZ","8.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4548","0.4607","0.5428","0.5712","0.4872","0.5794","0.3111","0.4187","2.1467","2.2364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","Ka'imi Fairbairn","HST","k","14","@GB","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4296","0.4352","0.5121","0.5397","0.4583","0.5474","0.2919","0.3956","2.3933","2.496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"392","Greg Joseph","NYG","k","11","PHI","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4276","0.4352","0.5033","0.5396","0.4342","0.5473","0.2679","0.3956","2.6182","2.7688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393","Daniel Carlson","LV","k","10","@LA","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.427","0.433","0.5076","0.5369","0.4506","0.5446","0.285","0.3936","2.516","2.6318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394","Chris Boswell","PIT","k","9","NYJ","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4324","0.4377","0.5169","0.5428","0.4662","0.5505","0.299","0.3979","2.2193","2.3078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"395","Jason Myers","SEA","k","10","@ATL","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4289","0.4352","0.509","0.5397","0.4495","0.5474","0.283","0.3956","2.3238","2.4355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"396","Jake Elliott","PHI","k","5","@NYG","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4559","0.4619","0.5436","0.5727","0.4866","0.5809","0.31","0.4198","1.8676","1.9475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","Austin Seibert","WAS","k","14","CAR","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4545","0.4619","0.5373","0.5727","0.4693","0.5809","0.2926","0.4198","2.0692","2.1779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","Evan McPherson","CIN","k","12","@CLV","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4558","0.4619","0.5434","0.5727","0.4861","0.5809","0.3095","0.4198","1.9493","2.0333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","Greg Zuerlein","NYJ","k","12","@PIT","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4513","0.4587","0.533","0.5688","0.4643","0.5769","0.2888","0.417","2.0705","2.1814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","Dustin Hopkins","CLV","k","10","CIN","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4291","0.435","0.5107","0.5394","0.4547","0.5471","0.2883","0.3954","2.2666","2.3683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","Matt Gay","IND","k","14","MIA","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4544","0.4618","0.5368","0.5726","0.468","0.5808","0.2914","0.4198","2.0437","2.1524","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","Eagles DST","PHI","dst","5","@NYG","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.702","0.0242","0.7297","1.0998","0.5451","0.1093","102.0753","0.0378","0.0144","0.034","0.1963","0.275","0.2504","0.1663","0.0637","0","0","0","0","0","0","0","0","0","0"
"403","Bills DST","BUF","dst","12","TEN","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3875","0.0216","0.8338","0.9766","0.4847","0.1155","97.5429","0.0374","0.0155","0.0476","0.2012","0.2678","0.2438","0.1619","0.062","0","0","0","0","0","0","0","0","0","0"
"404","Jaguars DST","JAX","dst","12","NE","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5681","0.0219","0.7577","1.0278","0.5061","0.1093","92.3947","0.0357","0.0157","0.0481","0.1931","0.2705","0.2463","0.1636","0.0627","0","0","0","0","0","0","0","0","0","0"
"402","Joshua Karty","LA","k","6","LV","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4543","0.4619","0.5365","0.5727","0.4669","0.5809","0.2903","0.4198","1.9312","2.0353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","Cam Little","JAX","k","12","NE","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.455","0.4619","0.5395","0.5727","0.4752","0.5809","0.2984","0.4198","1.8345","1.9246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Nick Folk","TEN","k","5","@BUF","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.39","0.3945","0.4674","0.4891","0.4248","0.4961","0.2744","0.3586","2.4123","2.5016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","Wil Lutz","DEN","k","14","@NO","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4525","0.4604","0.5328","0.5709","0.4601","0.579","0.2842","0.4185","1.8358","1.9405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Jason Sanders","MIA","k","6","@IND","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4288","0.4352","0.5085","0.5397","0.4481","0.5474","0.2815","0.3956","2.0507","2.151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","Joey Slye","NE","k","14","@JAX","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4277","0.4348","0.5049","0.5392","0.4393","0.5469","0.273","0.3953","2.1772","2.295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","Tyler Bass","BUF","k","12","TEN","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4539","0.4619","0.5344","0.5727","0.4614","0.5809","0.2849","0.4198","1.7373","1.8366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","Eddy Pineiro","CAR","k","11","@WAS","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3894","0.3945","0.4643","0.4891","0.4157","0.4961","0.2649","0.3586","2.4781","2.5839","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","Chad Ryland","ARZ","k","11","LAC","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4277","0.4364","0.4998","0.5411","0.4226","0.5489","0.2565","0.3967","2.1985","2.3436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","Jake Bates","DET","k","5","@MIN","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4317","0.438","0.5127","0.5432","0.4534","0.5509","0.2858","0.3982","1.9558","2.0486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","Broncos DST","DEN","dst","14","@NO","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0428","0.0217","0.8047","0.9515","0.4697","0.111","85.0326","0.0368","0.0157","0.0481","0.1931","0.2705","0.2463","0.1636","0.0627","0","0","0","0","0","0","0","0","0","0"
