"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"CeeDee Lamb","DAL","WR","13.3","17.8","-4.5","13.3","17.8","-4.5","1","4","4.7","53","84.29","1","1.0848","0","4.8412","0","0"
"Christian Watson","GB","WR","17.9","11.2","6.699999999999999","17.9","11.2","6.7","1","5","2.88","94","54.29","1","0.72","0","0","0","0"
"Jalen Tolbert","DAL","WR","5.9","5.1","0.8000000000000007","5.9","5.1","0.8","1","2","1.3","49","37.73","0","0.1152","0","0","0","0"
"Tony Pollard","DAL","RB","19.3","14.3","5","19.3","14.3","5","1","6","5.25","24","40.98","0","0.0288","79","58.604","1","0.25"
"Gus Edwards","BLT","RB","4.2","4.8","-0.5999999999999996","4.2","4.8","-0.6","1","1","0.82","11","8.68","0","0","26","34.4176","0","0.01"
"Quentin Johnston","LAC","WR","1.2","2.6","-1.4000000000000001","1.2","2.6","-1.4","1","1","1.76","7","17.44","0","0","0","0","0","0"
"Marquise Brown","ARZ","WR","11.8","15.2","-3.3999999999999986","11.8","15.2","-3.4","1","6","7.12","88","107.13","0","0.1536","0","0","0","0"
"Ray-Ray McCloud III","SF","WR","2.8","1.5","1.2999999999999998","2.8","1.5","1.3","1","1","0.73","23","11.58","0","0","0","0","0","0"
"Rondale Moore","ARZ","WR","4.5","3.3","1.2000000000000002","4.5","3.3","1.2","1","2","1.81","35","22.32","0","0.0192","0","0","0","0"
"Daniel Bellinger","NYG","TE","1.3","1.1","0.19999999999999996","1.3","1.1","0.2","1","1","0.84","8","6.6","0","0","0","0","0","0"
"Terry McLaurin","WAS","WR","7","15.1","-8.1","7","15.1","-8.1","1","4","7.25","50","106.62","0","0.1344","0","0","0","0"
"Brandin Cooks","DAL","WR","15.2","9.6","5.6","15.2","9.6","5.6","1","4","3.06","72","52.18","1","0.4704","0","0","0","0"
"Van Jefferson","ATL","WR","1.8","3.6","-1.8","1.8","3.6","-1.8","1","1","1.23","13","27.37","0","0.048","0","0","0","0"
"Brandon Powell","MIN","WR","6.2","4.4","1.7999999999999998","6.2","4.4","1.8","1","3","2.22","45","28.39","0","0","2","4.5472","0","0"
"Jeremy Ruckert","NYJ","TE","2.8","3.7","-0.9000000000000004","2.8","3.7","-0.9","1","2","3.08","18","21.42","0","0","0","0","0","0"
"Ty Chandler","MIN","RB","1.6","3.9","-2.3","1.6","3.9","-2.3","1","1","1.91","3","11.67","0","0","8","18.0614","0","0"
"Tyquan Thornton","NE","WR","3.2","5.2","-2","3.2","5.2","-2","1","2","2.96","19","27.45","0","0.0672","3","3.7632","0","0.03"
"Tyler Boyd","CIN","WR","3.8","5","-1.2000000000000002","3.8","5","-1.2","1","3","3.37","23","31.84","0","0.0192","0","0","0","0"
"Tanner Hudson","CIN","TE","3.8","4.2","-0.40000000000000036","3.8","4.2","-0.4","1","4","2.98","18","27.37","0","0","0","0","0","0"
"Cooper Kupp","LA","WR","3.3","6.8","-3.5","3.3","6.8","-3.5","1","3","3.57","18","29.83","0","0.336","0","0","0","0"
"Joshua Kelley","LAC","RB","2.4","3.6","-1.2000000000000002","2.4","3.6","-1.2","1","2","1.87","6","6.26","0","0.1248","8","11.1524","0","0.03"
"Chase Edmonds","TB","RB","1.1","0.5","0.6000000000000001","1.1","0.5","0.6","1","0","0","0","0","0","0","11","4.8412","0","0"
"Jason Brownlee","NYJ","WR","3","4.7","-1.7000000000000002","3","4.7","-1.7","1","2","1.76","20","24.86","0","0.2304","0","0","0","0"
"Isaiah Likely","BLT","TE","6","4","2","6","4","2","1","4","3.51","40","22.25","0","0","0","0","0","0"
"Isiah Pacheco","KC","RB","23.4","19.1","4.299999999999997","23.4","19.1","4.3","1","5","4.58","34","22.47","0","0.1056","55","56.8212","2","1.37"
"Chris Moore","TEN","WR","5.7","6.2","-0.5","5.7","6.2","-0.5","1","3","2.4","41","45.79","0","0","1","4.3806","0","0"
"Chuba Hubbard","CAR","RB","17.7","16.1","1.5999999999999979","17.7","16.1","1.6","1","5","4.34","47","31.64","0","0.0096","45","55.2818","1","0.86"
"Kyle Pitts","ATL","TE","3.2","2.9","0.30000000000000027","3.2","2.9","0.3","1","2","1.45","22","21.34","0","0.0096","0","0","0","0"
"Demarcus Robinson","LA","WR","2.3","1.8","0.4999999999999998","2.3","1.8","0.5","1","2","1.34","13","11.6","0","0","0","0","0","0"
"Mo Alie-Cox","IND","TE","3.5","1.9","1.6","3.5","1.9","1.6","1","1","0.71","30","14.79","0","0.0192","0","0","0","0"
"Latavius Murray","BUF","RB","6.3","9","-2.7","6.3","9","-2.7","1","3","3.79","18","28.69","0","0.0096","30","38.7786","0","0.05"
"Miles Sanders","CAR","RB","2.8","7.7","-4.9","2.8","7.7","-4.9","1","0","0.96","0","5.07","0","0.0192","28","64.9348","0","0.02"
"Ihmir Smith-Marsette","CAR","WR","1.9","1.2","0.7","1.9","1.2","0.7","1","1","0.86","14","7.42","0","0","0","0","0","0"
