"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"33","Kylen Granson (IND)","30","50","368","12.3","46","9","1","1","2","0","0","15","73.0","4.9","0.7%"
"34","Durham Smythe (MIA)","35","43","366","10.5","22","3","0","0","0","0","0","16","71.6","4.5","0.7%"
"35","Michael Mayer (LV)","27","40","304","11.3","32","3","2","0","0","0","0","14","71.4","5.1","5.5%"
"36","Noah Gray (KC)","28","41","305","10.9","34","6","2","1","1","0","0","17","70.6","4.2","1.0%"
"37","Mike Gesicki (CIN)","29","45","244","8.4","18","0","2","0","0","0","0","17","65.4","3.8","2.6%"
"38","Colby Parkinson (LAR)","25","34","247","9.9","27","5","2","0","0","0","0","17","61.7","3.6","0.6%"
"39","Adam Trautman (DEN)","22","35","204","9.3","24","2","3","0","0","0","0","17","60.4","3.6","0.3%"
"40","Tommy Tremble (CAR)","23","32","194","8.4","30","3","3","0","0","0","0","16","60.4","3.8","0.5%"
"41","Dawson Knox (BUF)","22","36","186","8.5","17","0","2","0","0","0","0","12","54.6","4.6","5.0%"
"42","Josh Oliver (MIN)","22","28","213","9.7","33","4","2","0","0","0","1","17","53.3","3.1","0.6%"
"43","Zach Ertz (WAS)","27","43","187","6.9","17","0","1","0","0","0","0","7","51.7","7.4","4.2%"
"44","Brevin Jordan (HOU)","17","21","219","12.9","27","3","2","0","0","0","0","13","50.9","3.9","5.2%"
"45","Daniel Bellinger (NYG)","25","28","255","10.2","26","4","0","0","0","0","0","17","50.5","3.0","0.7%"
"46","Drew Sample (CIN)","22","27","163","7.4","22","1","2","0","0","0","0","17","50.3","3.0","0.1%"
"47","Mo Alie-Cox (IND)","13","22","161","12.4","35","4","3","0","0","0","0","17","49.1","2.9","0.1%"
"48","Austin Hooper (NE)","25","31","234","9.4","21","2","0","0","0","0","0","17","48.4","2.8","0.4%"
"49","Foster Moreau (NO)","21","25","193","9.2","23","1","1","0","0","0","0","15","46.3","3.1","0.2%"
"50","Hayden Hurst (LAC)","18","32","184","10.2","48","3","1","0","0","0","0","10","42.4","4.2","2.3%"
"51","Johnny Mundt (MIN)","17","23","172","10.1","32","3","1","0","0","0","0","17","40.2","2.4","0.4%"
"52","Will Dissly (LAC)","17","22","172","10.1","21","2","1","0","0","0","0","16","40.2","2.5","0.3%"
"53","Connor Heyward (PIT)","23","34","167","7.3","13","0","0","1","0","0","0","17","39.7","2.3","0.3%"
"54","Andrew Beck (HOU)","11","13","55","5.0","26","1","2","5","3","1","1","15","38.8","2.6","0.1%"
"55","Will Mallory (IND)","18","26","207","11.5","43","3","0","0","0","0","0","12","38.7","3.2","0.1%"
"56","Harrison Bryant (LV)","13","20","81","6.2","23","1","3","5","8","0","1","17","37.9","2.2","0.1%"
"57","Pharaoh Brown (SEA)","13","15","208","16.0","58","8","1","0","0","0","1","17","37.8","2.2","0.1%"
"58","Elijah Higgins (ARI)","14","19","163","11.6","26","3","1","0","0","0","0","11","36.3","3.3","0.3%"
"59","Drew Ogletree (IND)","9","21","147","16.3","33","5","2","0","0","0","0","12","35.7","3.0","0.1%"
"60","John Bates (WAS)","19","28","151","7.9","35","2","0","0","0","0","0","17","34.1","2.0","0.1%"
"61","Jimmy Graham (NO)","6","7","39","6.5","12","0","4","0","0","0","0","13","33.9","2.6","0.0%"
"62","Irv Smith Jr. (KC)","18","26","115","6.4","14","0","1","0","0","0","1","12","33.5","2.8","1.7%"
"63","Stone Smartt (LAC)","11","21","155","14.1","51","6","1","0","0","0","0","16","32.5","2.0","0.1%"
"64","Jeremy Ruckert (NYJ)","16","22","151","9.4","23","1","0","0","0","0","0","15","31.1","2.1","0.3%"
"65","Luke Farrell (JAC)","13","15","155","11.9","42","4","0","0","0","0","0","17","28.5","1.7","0.1%"
"66","Jordan Akins (CLE)","15","23","132","8.8","28","1","0","0","0","0","0","17","28.2","1.7","0.1%"
"67","Brock Wright (DET)","13","14","91","7.0","25","1","1","0","0","0","0","14","28.1","2.0","0.3%"
"68","Luke Schoonmaker (DAL)","8","15","65","8.1","18","0","2","0","0","0","0","17","26.5","1.6","0.5%"
"69","MyCole Pruitt (PIT)","9","12","110","12.2","22","2","1","0","0","0","0","17","26.0","1.5","0.1%"
"70","Davis Allen (LAR)","10","11","95","9.5","21","1","1","0","0","0","0","15","25.5","1.7","0.2%"
"71","Stephen Sullivan (CAR)","12","24","125","10.4","20","1","0","0","0","0","0","11","24.5","2.2","0.2%"
"72","Josh Whyle (TEN)","9","15","94","10.4","24","1","1","0","0","0","0","11","24.4","2.2","0.1%"
"73","Lucas Krull (DEN)","8","14","95","11.9","35","2","1","0","0","0","0","7","23.5","3.4","0.1%"
"74","Cole Turner (WAS)","11","15","120","10.9","29","2","0","0","0","0","0","12","23.0","1.9","0.1%"
"75","Robert Tonyan (CHI)","11","17","112","10.2","24","1","0","0","0","0","0","17","22.2","1.3","0.1%"
"76","Charlie Kolar (BAL)","7","9","87","12.4","19","0","1","0","0","0","0","14","21.7","1.6","0.1%"
"77","C.J. Uzomah (PHI)","8","12","58","7.3","19","0","1","0","0","0","0","12","19.8","1.7","0.1%"
"78","Geoff Swaim (ARI)","10","11","94","9.4","26","1","0","0","0","0","0","14","19.4","1.4","0.0%"
"79","Mitchell Wilcox (NE)","9","12","56","6.2","12","0","0","0","0","0","0","17","14.6","0.9","0.1%"
"80","Brenton Strange (JAC)","5","9","35","7.0","17","0","1","0","0","0","0","14","14.5","1.0","0.2%"
"81","Josiah Deguara (JAC)","8","8","65","8.1","19","0","0","0","0","0","0","15","14.5","1.0","0.1%"
"82","Darnell Washington (PIT)","7","10","61","8.7","12","0","0","0","0","0","0","17","13.1","0.8","0.4%"
"83","Marcedes Lewis (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","17","12.9","0.8","0.1%"
"84","Brycen Hopkins (LAR)","5","7","78","15.6","29","2","0","0","0","0","0","15","12.8","0.9","0.0%"
"85","Ben Sims (GB)","4","6","21","5.3","12","0","1","0","0","0","0","16","12.1","0.8","0.1%"
"86","Blake Bell (KC)","5","9","26","5.2","8","0","1","0","0","0","1","17","11.6","0.7","0.0%"
"87","Payne Durham (TB)","5","7","58","11.6","25","1","0","0","0","0","0","13","10.8","0.8","0.1%"
"88","Ian Thomas (CAR)","5","9","56","11.2","28","1","0","0","0","0","0","12","10.6","0.9","0.1%"
"89","Quintin Morris (BUF)","2","3","26","13.0","15","0","1","0","0","0","0","15","10.6","0.7","0.1%"
"90","Julian Hill (MIA)","6","9","48","8.0","18","0","0","0","0","0","1","15","8.8","0.6","0.1%"
"91","Jack Stoll (NYG)","5","8","38","7.6","14","0","0","0","0","0","0","17","8.8","0.5","0.0%"
"92","Grant Calcaterra (PHI)","4","4","39","9.8","12","0","0","0","0","0","0","14","7.9","0.6","0.1%"
"93","Peyton Hendershot (DAL)","4","7","38","9.5","24","1","0","1","0","0","0","8","7.8","1.0","0.1%"
"94","Ko Kieft (TB)","1","5","2","2.0","2","0","1","0","0","0","0","16","7.2","0.5","0.1%"
"95","Charlie Woerner (ATL)","3","3","32","10.7","20","1","0","0","0","0","0","17","6.2","0.4","0.2%"
"96","Nate Adkins (DEN)","4","5","22","5.5","11","0","0","0","0","0","0","10","6.2","0.6","0.1%"
"97","Greg Dulcich (DEN)","3","4","25","8.3","13","0","0","0","0","0","0","2","5.5","2.8","4.0%"
"98","Teagan Quitoriano (HOU)","2","3","33","16.5","22","1","0","0","0","0","0","7","5.3","0.8","0.0%"
"99","James Mitchell (DET)","2","2","28","14.0","24","1","0","0","0","0","0","14","4.8","0.3","0.1%"
"100","Kenny Yeboah (NYJ)","2","4","28","14.0","20","1","0","0","0","0","0","5","4.8","1.0","0.1%"
"101","Eric Saubert (SF)","3","3","12","4.0","5","0","0","0","0","0","0","8","4.2","0.5","0.1%"
"102","Chris Manhertz (NYG)","2","4","16","8.0","10","0","0","0","0","0","0","16","3.6","0.2","0.1%"
"103","Nick Muse (MIN)","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.1%"
"104","Trevon Wesco (TEN)","1","3","21","21.0","21","1","0","0","0","0","0","15","3.1","0.2","0.0%"
"105","Ross Dwelley (SF)","1","2","12","12.0","12","0","0","0","0","0","0","12","2.2","0.2","0.0%"
"106","John FitzPatrick (ATL)","1","1","12","12.0","12","0","0","0","0","0","0","7","2.2","0.3","0.1%"
"107","Tucker Fisk (ATL)","1","1","9","9.0","9","0","0","0","0","0","0","6","1.9","0.3","0.1%"
"108","Kevin Rader (TEN)","1","3","6","6.0","6","0","0","0","0","0","0","14","1.6","0.1","0.0%"
"109","Cole Fotheringham (LV)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"110","Jesper Horsted (LV)","1","1","4","4.0","4","0","0","0","0","0","0","5","1.4","0.3","0.0%"
"111","Nick Vannett (LAC)","1","1","3","3.0","3","0","0","0","0","0","0","8","1.3","0.2","0.0%"
"112","Giovanni Ricci (CLE)","1","1","2","2.0","2","0","0","0","0","0","0","6","1.2","0.2","0.1%"
"113","David Wells (TB)","2","2","-10","-5.0","1","0","0","0","0","0","0","5","1.0","0.2","0.0%"
"114","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"115","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"117","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"118","Devin Asiasi (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"120","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"122","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"123","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"124","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"126","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","0.0","0.0","0.0%"
"128","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Sean McKeon (DAL)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"130","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"132","Nick Bowers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Cade Stover (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"136","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"137","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"139","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"142","Patrick Murtagh (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.1%"
"144","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Johnny Lumpkin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Chris Pierce Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Leroy Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"148","Dallin Holker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jaheim Bell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"150","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Rodney Williams (PIT)","0","2","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"152","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"154","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Mason Fairchild (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"157","Jacob Warren (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Jack Westover (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Brenden Bates (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"162","Luke Benson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Steven Stilianos (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Treyton Welch (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Alec Holler (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Jjay Mcafee (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Dylan Leonard (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Thomas Yassmin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Neal Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Kevin Foelsch (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Lincoln Sefcik (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Mike Rigerman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Riley Sharp (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Joshua Lingenfelter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Treyton Pickering (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Alex Larson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Easton Dean (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Isaac Rex (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Zach Heins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Brevyn Spann-Ford (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","McCallan Castles (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"192","AJ Barner (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"193","Ben Sinnott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"194","La'Michael Pettway (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"196","Trey Knox (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.1%"
"198","Austin Stogner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Theo Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"200","Malcolm Epps (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Baylor Cupp (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Tre' McKitty (BUF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.1%"
"204","Albert Okwuegbunam Jr. (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"205","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"206","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"207","Erick All (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"208","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"210","Gerrit Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"213","Ja'Tavion Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"214","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Anthony Firkser (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Darrell Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"236","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"238","Jordan Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Troy Fumagalli (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Tyler Kroft (MIA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"241","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"242","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"245","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"246","Eric Tomlinson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","David Martin-Robinson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
