"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Gardner Minshew","IND","9.6","11","-1.4000000000000004","9.6","11","-1.4","1","26","17","16.85","0","0.41","127","153.62","1","0.51","7","7.1145","0","0.0095","-2","-1.3634","0","0.44"
"Kenny Pickett","PIT","10.3","15.2","-4.899999999999999","10.3","15.2","-4.9","1","30","19","21.12","0","0.41","160","187.65","1","2.04","0","0","0","0","-1","-1","0","0"
"Joshua Dobbs","MIN","26.9","21.7","5.199999999999999","26.9","21.7","5.2","1","30","20","20.62","0","0.52","158","186.77","2","2.48","67","32.8011","1","0.19","-1","2.724","0","0.03"
"Daniel Jones","NYG","1.9","4.7","-2.8000000000000003","1.9","4.7","-2.8","1","9","4","5.81","0","0.27","25","76.4","0","0.18","9","7.4586","0","0","0","3.4594","0","0.01"
"Tyson Bagent","CHI","20.9","18","2.8999999999999986","20.9","18","2.9","1","30","18","17.97","3","0.65","223","189.87","2","1.48","57","32.3826","0","0.095","13","12.9066","0","0.01"
"C.J. Stroud","HST","39.8","23.4","16.4","39.8","23.4","16.4","1","42","30","25.48","0","1.19","470","338.09","5","2.76","0","0","0","0","10","0","0","0"
"Mac Jones","NE","12.1","16.3","-4.200000000000001","12.1","16.3","-4.2","1","44","24","26.89","1","1.05","220","312.26","1","0.86","5","14.9637","0","0.0095","-2","-1","0","0"
"Bryce Young","CAR","12","17.4","-5.399999999999999","12","17.4","-5.4","1","39","24","27.23","3","0.62","173","239.07","1","1.25","41","33.2568","0","0.019","0","0","0","0"
"Dak Prescott","DAL","28.4","35.8","-7.399999999999999","28.4","35.8","-7.4","1","44","29","27.3","0","1.22","374","314.19","3","3.5","14","25.7708","0","1.254","0","1.4402","0","0.03"
"Jalen Hurts","PHI","25.9","19.5","6.399999999999999","25.9","19.5","6.4","1","23","17","14.79","0","0.42","207","161.63","2","1.08","29","40.8084","0","0.1425","7","12.7012","1","0.49"
"Sam Howell","WAS","18.7","24.5","-5.800000000000001","18.7","24.5","-5.8","1","45","29","29.49","1","1.09","325","320.62","1","2.52","30","22.5153","0","0.0285","-3","1.5676","0","0.02"
"Derek Carr","NO","16.7","15.7","1","16.7","15.7","1","1","34","25","23.39","0","0.52","211","205.81","2","1.74","4","7.3098","0","0","-1","1.5676","0","0.02"
"Joe Burrow","CIN","22.3","20.9","1.4000000000000021","22.3","20.9","1.4","1","44","31","28.32","0","0.83","348","287.72","2","2.21","7","11.8203","0","0.0095","-3","-0.0697999999999999","0","0.02"
"Patrick Mahomes","KC","17.8","15.1","2.700000000000001","17.8","15.1","2.7","1","30","20","19.38","0","0.56","185","191.34","2","0.91","27","43.9332","0","0.038","-3","-3","0","0"
"Clayton Tune","ARZ","3.1","9.2","-6.1","3.1","9.2","-6.1","1","20","11","13.95","2","0.33","58","120.89","0","0.03","28","44.6958","0","0.0095","0","0","0","0"
"Deshaun Watson","CLV","19","17.1","1.8999999999999986","19","17.1","1.9","1","30","19","21.06","0","0.58","219","212.77","2","1.76","22","21.5295","0","0","0","0","0","0"
"Josh Allen","BUF","23.7","22.5","1.1999999999999993","23.7","22.5","1.2","1","38","26","23.77","1","0.79","258","261.39","1","1.11","30","28.9142","1","0.6935","14","11.27","0","0.03"
"Jaren Hall","MIN","4.2","9.5","-5.3","4.2","9.5","-5.3","1","6","5","4.42","0","0.1","78","31.88","0","1","11","10.4718","0","0.551","0","0","0","0"
"Justin Herbert","LAC","7.1","10.6","-3.5","7.1","10.6","-3.5","1","30","16","17.24","0","0.52","136","170.7","0","0.73","17","14.0151","0","0.0095","0","-1","0","0"
