Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
12,Derek Carr,OAK,27,QB,16,16,4-12-0,381,553,68.9,4049,19,3.4,10,1.8,197,48.5,66,7.3,7.2,10.6,253.1,93.9,46.5,51,299,8.4,6.21,6.09,3,3,CarrDe02
13,Drew Brees*,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1.0,197,57.3,72,8.2,9.0,11.0,266.1,115.7,79.2,17,121,3.4,7.65,8.47,6,7,BreeDr00
14,Case Keenum,DEN,30,QB,16,16,6-10-0,365,586,62.3,3890,18,3.1,15,2.6,179,44.5,64,6.6,6.1,10.7,243.1,81.2,44.5,34,235,5.5,5.90,5.39,3,4,KeenCa00
15,Dak Prescott*,DAL,25,QB,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,184,45.2,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3,5,PresDa01
16,Matthew Stafford,DET,30,QB,16,16,6-10-0,367,555,66.1,3777,21,3.8,11,2.0,197,45.7,67,6.8,6.7,10.3,236.1,89.9,51.3,40,255,6.7,5.92,5.79,0,1,StafMa00
17,Baker Mayfield,CLE,23,QB,14,13,6-7-0,310,486,63.8,3725,27,5.6,14,2.9,171,46.0,71,7.7,7.5,12.0,266.1,93.7,51.2,25,173,4.9,6.95,6.77,3,4,MayfBa00
18,Russell Wilson*,SEA,30,QB,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,156,44.1,66,8.1,9.0,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,2,4,WilsRu00
19,Cam Newton,CAR,29,QB,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,180,49.8,82,7.2,7.0,10.6,242.5,94.2,53.2,29,213,5.8,6.36,6.15,2,2,NewtCa00
20,Mitchell Trubisky*,CHI,24,QB,14,14,11-3-0,289,434,66.6,3223,24,5.5,12,2.8,151,48.9,70,7.4,7.3,11.2,230.2,95.4,71.0,24,143,5.2,6.72,6.59,1,2,TrubMi00
21,Carson Wentz,PHI,26,QB,11,11,5-6-0,279,401,69.6,3074,21,5.2,7,1.7,159,50.7,58,7.7,7.9,11.0,279.5,102.2,62.0,31,202,7.2,6.65,6.89,2,2,WentCa00
