"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"51","Andre Brown (FA)","139","492","3.5","23","1","3","20","29","103","5.2","0","3","8","93.5","11.7","0.0%"
"52","James Starks (FA)","89","493","5.5","41","6","3","10","13","89","8.9","1","0","13","92.2","7.1","0.0%"
"53","Jason Snelling (FA)","44","164","3.7","17","0","1","29","34","216","7.4","3","0","14","91.0","6.5","0.0%"
"54","Bernard Pierce (FA)","152","436","2.9","28","2","2","20","25","104","5.2","0","0","16","86.0","5.4","0.0%"
"55","Brandon Bolden (LV)","55","271","4.9","46","2","3","21","29","152","7.2","0","0","12","81.3","6.8","0.0%"
"56","Jordan Todman (FA)","76","256","3.4","33","1","2","14","26","116","8.3","1","0","16","69.2","4.3","0.0%"
"57","Doug Martin (FA)","127","456","3.6","28","2","1","12","24","66","5.5","0","1","6","68.2","11.4","0.0%"
"58","Brian Leonard (FA)","47","182","3.9","24","1","0","29","37","179","6.2","0","0","16","65.1","4.1","0.0%"
"59","Knile Davis (FA)","70","242","3.5","20","1","4","11","15","75","6.8","0","1","16","64.7","4.0","0.0%"
"60","Shonn Greene (FA)","77","295","3.8","29","2","4","6","7","39","6.5","0","0","11","63.4","5.8","0.0%"
"61","Bryce Brown (FA)","75","314","4.2","65","2","2","8","13","84","10.5","0","0","16","61.8","3.9","0.0%"
"62","Toby Gerhart (FA)","36","283","7.9","41","4","2","13","19","88","6.8","0","1","14","60.1","4.3","0.0%"
"63","Mark Ingram II (FA)","78","386","4.9","34","3","1","7","11","68","9.7","0","0","11","58.4","5.3","0.1%"
"64","Willis McGahee (FA)","138","377","2.7","16","0","2","8","11","20","2.5","0","1","12","57.7","4.8","0.0%"
"65","Peyton Hillis (FA)","73","247","3.4","27","1","2","13","21","96","7.4","0","1","7","57.3","8.2","0.0%"
"66","Fozzy Whittaker (FA)","28","79","2.8","11","0","0","21","35","155","7.4","2","0","14","56.4","4.0","0.0%"
"67","Kendall Hunter (FA)","78","358","4.6","45","5","3","2","4","13","6.5","0","1","16","55.1","3.4","0.0%"
"68","Michael Bush (FA)","63","197","3.1","40","1","3","4","8","48","12.0","1","0","15","52.5","3.5","0.0%"
"69","Ronnie Hillman (FA)","55","218","4.0","19","0","1","12","14","119","9.9","0","1","10","49.7","5.0","0.0%"
"70","Brandon Jacobs (FA)","58","238","4.1","37","1","4","2","7","13","6.5","0","1","7","49.1","7.0","0.0%"
