"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Sam Howell","WAS","10.5","20.3","-9.8","10.5","20.3","-9.8","1","42","22","23.57","1","0.86","249","257.41","0","2.4","11","7.2633","0","0","4","4.9","0","0.01"
"Desmond Ridder","ATL","19.8","21.3","-1.5","19.8","21.3","-1.5","1","25","19","14.72","0","0.59","250","155.62","0","1.58","24","14.3592","0","0","14","8.3304","1","1.18"
"Jared Goff","DET","10.4","19","-8.6","10.4","19","-8.6","1","53","33","35.04","1","1.09","284","365.97","0","1.37","0","0","0","0","0","0","0","0"
"Derek Carr","NO","16.4","25.6","-9.200000000000003","16.4","25.6","-9.2","1","55","33","36.1","1","1.06","301","352.26","1","2.61","14","19.0092","0","0.038","0","0","0","0"
"Brian Hoyer","LV","3.2","13.7","-10.5","3.2","13.7","-10.5","1","32","17","22.19","2","0.69","129","231.3","0","1.28","0","0","0","0","0","0","0","0"
"Patrick Mahomes","KC","34.9","21.7","13.2","34.9","21.7","13.2","1","42","32","28.37","1","1.18","424","341.63","4","2","31","14.1174","0","0","-2","-2","0","0"
"Deshaun Watson","CLV","-0.8","1.6","-2.4000000000000004","-0.8","1.6","-2.4","1","5","1","3.36","1","0.15","5","43.69","0","0","0","0","0","0","0","0","0","0"
"Josh Allen","BUF","25.3","30.5","-5.199999999999999","25.3","30.5","-5.2","1","41","27","24.26","1","1.12","265","288.68","2","2.57","14","27.7233","0","0.076","3","5.773","1","0.99"
"P.J. Walker","CLV","5.5","13.4","-7.9","5.5","13.4","-7.9","1","32","15","19.45","1","0.83","178","210.23","0","1.2","4","7.6074","0","0","-10","2.8514","0","0"
"Justin Herbert","LAC","12.9","18","-5.1","12.9","18","-5.1","1","30","17","17.85","2","0.93","259","252.6","1","2.05","6","7.3284","0","0","-1","-1","0","0"
