"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"69","Ronnie Hillman (FA)","85","330","3.9","31","3","1","10","12","62","6.2","0","1","14","53.2","3.8","0.0%"
"70","Justin Forsett (FA)","63","374","5.9","81","3","1","3","5","38","12.7","0","0","16","50.2","3.1","0.0%"
"71","Cedric Peerman (FA)","36","258","7.2","48","3","1","9","9","85","9.4","0","0","14","49.3","3.5","0.0%"
"72","Peyton Hillis (FA)","85","309","3.6","18","0","1","10","14","62","6.2","0","2","13","49.1","3.8","0.0%"
"73","Montell Owens (FA)","42","209","5.0","32","1","1","8","10","113","14.1","0","0","13","48.2","3.7","0.0%"
"74","Evan Royster (FA)","23","88","3.8","12","0","2","15","23","109","7.3","0","0","16","46.7","2.9","0.0%"
"75","Vonta Leach (FA)","9","32","3.6","6","0","1","21","24","143","6.8","0","0","16","44.5","2.8","0.0%"
"76","Chris Ogbonnaya (FA)","8","30","3.8","9","0","0","24","32","187","7.8","0","1","15","43.7","2.9","0.0%"
"77","Kevin Smith (FA)","37","134","3.6","19","0","1","10","16","79","7.9","1","0","12","43.3","3.6","0.0%"
"78","Michael Robinson (FA)","12","49","4.1","29","1","0","13","15","126","9.7","2","0","16","42.5","2.7","0.0%"
"79","Brandon Bolden (LV)","56","274","4.9","27","4","2","2","2","11","5.5","0","0","10","42.5","4.3","0.0%"
"80","John Kuhn (FA)","23","63","2.7","9","0","1","15","18","148","9.9","0","0","14","42.1","3.0","0.0%"
"81","Lamar Miller (FA)","51","250","4.9","28","2","1","6","9","45","7.5","0","0","13","41.5","3.2","0.0%"
"82","Chris Rainey (FA)","26","102","3.9","19","0","2","14","22","60","4.3","0","1","16","40.2","2.5","0.0%"
"83","Lance Ball (FA)","42","158","3.8","22","1","1","7","11","61","8.7","1","1","15","38.9","2.6","0.0%"
"84","James Starks (FA)","71","255","3.6","22","1","1","4","6","31","7.8","0","0","6","38.6","6.4","0.0%"
"85","Jorvorskie Lane (FA)","13","13","1.0","4","0","2","11","12","79","7.2","1","1","16","38.2","2.4","0.0%"
"86","Rashard Mendenhall (FA)","51","182","3.6","20","1","0","9","11","62","6.9","1","1","6","37.4","6.2","0.0%"
"87","Chris Ivory (FA)","40","217","5.4","56","3","2","2","3","15","7.5","0","0","6","37.2","6.2","0.0%"
"88","Darrel Young (FA)","14","60","4.3","16","0","0","8","9","109","13.6","2","0","16","36.9","2.3","0.0%"
"89","Montario Hardesty (FA)","65","271","4.2","25","1","1","2","5","16","8.0","0","0","13","36.7","2.8","0.0%"
"90","Will Johnson (FA)","2","7","3.5","5","0","0","15","26","137","9.1","1","0","16","35.4","2.2","0.0%"
"91","Delone Carter (FA)","32","122","3.8","20","1","3","1","2","13","13.0","0","0","10","32.5","3.3","0.0%"
"92","DuJuan Harris (FA)","34","157","4.6","21","1","2","2","2","17","8.5","0","0","4","31.4","7.9","0.0%"
"93","Curtis Brinkley (FA)","39","115","2.9","13","0","0","12","15","77","6.4","0","0","9","31.2","3.5","0.0%"
"94","Jed Collins (FA)","0","0","0","0","0","0","14","16","70","5.0","2","1","15","31.0","2.1","0.0%"
"95","Tashard Choice (FA)","47","193","4.1","22","1","1","4","9","9","2.3","0","0","12","30.2","2.5","0.0%"
"96","D.J. Ware (FA)","11","51","4.6","17","0","0","14","20","100","7.1","0","0","14","29.1","2.1","0.0%"
"97","LeGarrette Blount (FA)","41","151","3.7","35","1","2","1","2","2","2.0","0","0","13","28.3","2.2","0.1%"
"98","Brian Leonard (FA)","33","106","3.2","11","0","0","11","15","67","6.1","0","0","15","28.3","1.9","0.0%"
"99","Ryan Grant (FA)","32","132","4.1","18","0","2","1","2","34","34.0","0","1","5","27.6","5.5","0.0%"
"100","Jalen Parmele (FA)","40","143","3.6","28","1","0","7","9","60","8.6","0","0","11","27.3","2.5","0.0%"
"101","Erik Lorig (FA)","0","0","0","0","0","0","12","19","83","6.9","1","0","16","26.3","1.6","0.0%"
"102","Lawrence Vickers (FA)","3","11","3.7","13","0","0","13","15","104","8.0","0","0","16","24.5","1.5","0.0%"
"103","Jeremy Stewart (FA)","25","101","4.0","14","0","0","8","8","62","7.8","0","0","4","24.3","6.1","0.0%"
"104","Henry Hynoski (FA)","5","20","4.0","5","0","0","11","15","50","4.5","1","0","16","24.0","1.5","0.0%"
"105","Ryan Williams (FA)","58","164","2.8","25","2","0","7","10","44","6.3","0","2","5","23.8","4.8","0.0%"
"106","Jamie Harper (FA)","19","30","1.6","13","0","3","1","1","8","8.0","0","0","7","22.8","3.3","0.0%"
"107","Armando Allen (FA)","27","124","4.6","46","1","1","2","3","16","8.0","0","0","15","22.0","1.5","0.0%"
"108","Jacob Hester (FA)","17","81","4.8","18","0","2","1","1","7","7.0","0","0","3","21.8","7.3","0.0%"
"109","Anthony Dixon (FA)","21","78","3.7","9","0","2","0","0","0","0","0","0","16","19.8","1.2","0.0%"
"110","Mewelde Moore (FA)","13","20","1.5","6","0","0","6","8","77","12.8","1","1","9","19.7","2.2","0.0%"
"111","Stanley Havili (FA)","6","22","3.7","8","0","1","7","12","43","6.1","0","0","15","19.5","1.3","0.0%"
"112","Leon Washington (FA)","23","83","3.6","14","0","1","4","8","31","7.8","0","1","16","19.4","1.2","0.0%"
"113","Joe McKnight (FA)","30","179","6.0","61","2","0","1","2","18","18.0","0","1","15","18.7","1.2","0.0%"
"114","LaMichael James (FA)","27","125","4.6","26","1","0","3","5","29","9.7","0","0","4","18.4","4.6","0.0%"
"115","Greg Jones (FA)","5","8","1.6","4","0","0","11","14","64","5.8","0","0","12","18.2","1.5","0.0%"
"116","Baron Batch (FA)","25","49","2.0","10","0","1","4","5","31","7.8","0","0","12","18.0","1.5","0.0%"
"117","Dion Lewis (FA)","13","69","5.3","17","0","1","2","2","24","12.0","0","0","9","17.3","1.9","2.0%"
"118","Lance Dunbar (FA)","21","75","3.6","18","0","0","6","12","33","5.5","0","0","12","16.8","1.4","0.0%"
"119","Anthony Allen (FA)","16","61","3.8","20","1","1","2","4","12","6.0","0","0","16","15.3","1.0","0.0%"
"120","Le'Ron McClain (FA)","14","42","3.0","17","0","0","8","10","29","3.6","0","0","16","15.1","0.9","0.0%"
"121","Keith Toston (FA)","17","74","4.4","14","0","0","3","4","41","13.7","0","0","3","14.5","4.8","0.0%"
"122","Phillip Tanner (FA)","25","61","2.4","9","0","0","4","5","41","10.3","0","0","14","14.2","1.0","0.0%"
"123","Darius Reynaud (FA)","16","33","2.1","11","0","0","5","9","35","7.0","0","0","16","11.8","0.7","0.0%"
"124","Roy Helu (FA)","2","2","1.0","1","0","0","7","7","45","6.4","0","0","3","11.7","3.9","0.0%"
"125","Lex Hilliard (FA)","9","33","3.7","9","0","0","4","9","23","5.8","0","0","14","9.6","0.7","0.0%"
"126","Quinn Johnson (FA)","4","5","1.3","3","0","0","5","8","40","8.0","0","0","16","9.5","0.6","0.0%"
"127","Brandon Jackson (FA)","8","54","6.8","25","1","0","2","4","20","10.0","0","0","2","9.4","4.7","0.0%"
"128","Richard Murphy (FA)","23","92","4.0","14","0","0","0","1","0","0","0","0","5","9.2","1.8","0.0%"
"129","Kahlil Bell (FA)","29","76","2.6","18","0","0","2","2","13","6.5","0","1","5","8.9","1.8","0.0%"
"130","Anthony Sherman (FA)","0","0","0","0","0","0","5","8","39","7.8","0","0","13","8.9","0.7","0.0%"
"131","Cyrus Gray (FA)","7","44","6.3","15","0","0","2","3","18","9.0","0","0","10","8.2","0.8","0.0%"
"132","Isaiah Pead (FA)","10","54","5.4","19","0","0","3","4","16","5.3","0","1","15","8.0","0.5","0.0%"
"133","Travaris Cadet (FA)","1","5","5.0","5","0","0","5","8","44","8.8","0","1","13","7.9","0.6","0.0%"
"134","Chris Pressley (FA)","0","0","0","0","0","0","1","3","1","1.0","1","0","14","7.1","0.5","0.0%"
"135","Jerome Felton (FA)","0","0","0","0","0","0","3","4","35","11.7","0","0","16","6.5","0.4","0.0%"
"136","Stefan Logan (FA)","3","17","5.7","13","0","0","6","7","28","4.7","0","2","16","6.5","0.4","0.0%"
"137","Evan Rodriguez (FA)","0","0","0","0","0","0","4","8","21","5.3","0","0","12","6.1","0.5","0.0%"
"138","Javon Ringer (FA)","2","14","7.0","9","0","0","3","5","12","4.0","0","0","2","5.6","2.8","0.0%"
"139","Taiwan Jones (FA)","6","21","3.5","7","0","0","2","2","11","5.5","0","0","14","5.2","0.4","0.0%"
"140","Mike Cox (FA)","0","0","0","0","0","0","3","3","22","7.3","0","0","8","5.2","0.7","0.0%"
"141","Nate Eachus (FA)","5","18","3.6","7","0","0","1","3","19","19.0","0","0","3","4.7","1.6","0.0%"
"142","Alfonso Smith (FA)","0","0","0","0","0","0","2","3","21","10.5","0","0","11","4.1","0.4","0.0%"
"143","Bernard Scott (FA)","8","35","4.4","29","1","0","0","0","0","0","0","0","2","3.5","1.8","0.0%"
"144","Johnny White (FA)","8","34","4.3","9","0","0","0","0","0","0","0","0","3","3.4","1.1","0.0%"
"145","Jonathan Grimes (FA)","2","6","3.0","5","0","0","2","2","7","3.5","0","0","9","3.3","0.4","0.0%"
"146","Keiland Williams (FA)","2","3","1.5","2","0","0","2","2","9","4.5","0","0","14","3.2","0.2","0.0%"
"147","Kregg Lumpkin (FA)","9","42","4.7","22","1","0","0","2","0","0","0","1","5","2.2","0.4","0.0%"
"148","Chris Gronkowski (FA)","0","0","0","0","0","0","1","1","11","11.0","0","0","14","2.1","0.2","0.0%"
"149","Matt Asiata (FA)","3","9","3.0","5","0","0","1","1","2","2.0","0","0","16","2.1","0.1","0.0%"
"150","Corey McIntyre (FA)","0","0","0","0","0","0","1","2","9","9.0","0","0","6","1.9","0.3","0.0%"
"151","Collin Mooney (FA)","5","19","3.8","8","0","0","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"152","Robert Hughes (FA)","1","5","5.0","5","0","0","1","1","3","3.0","0","0","5","1.8","0.4","0.0%"
"153","Jordan Todman (FA)","3","8","2.7","6","0","0","1","1","0","0.0","0","0","1","1.8","1.8","0.0%"
"154","Lousaka Polite (FA)","0","0","0","0","0","0","1","7","8","8.0","0","0","5","1.8","0.4","0.0%"
"155","Reagan Maui'a (FA)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","1.7","1.7","0.0%"
"156","Shaun Chapas (FA)","0","0","0","0","0","0","1","2","6","6.0","0","0","3","1.6","0.5","0.0%"
"157","Will Ta'ufo'ou (FA)","0","0","0","0","0","0","1","1","5","5.0","0","0","6","1.5","0.3","0.0%"
"158","Da'Rel Scott (FA)","6","9","1.5","5","0","0","0","0","0","0","0","0","4","0.9","0.2","0.0%"
"159","Legedu Naanee (FA)","0","0","0","0","0","0","1","5","19","19.0","0","1","4","0.9","0.2","0.0%"
"160","Brandon Jacobs (FA)","5","7","1.4","3","0","0","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"161","Dan Herron (FA)","4","5","1.3","6","0","0","0","1","0","0","0","0","3","0.5","0.2","0.0%"
"162","Owen Schmitt (FA)","2","1","0.5","2","0","0","0","0","0","0","0","0","3","0.1","0.0","0.0%"
"163","Patrick DiMarco (FA)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"164","James Develin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Kerwynn Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"166","Emil Igwenagu (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"167","Michael Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Terrance Ganaway (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"169","Chris Polk (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"170","Will Tukuafu (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"171","Marcus Thigpen (FA)","1","8","8.0","8","0","0","1","2","15","15.0","0","1","16","0.0","0.0","0.0%"
"172","John Griffin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Cory Harkey (FA)","0","0","0","0","0","0","1","2","21","21.0","0","0","5","0.0","0.0","0.2%"
"174","Mario Harvey (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"175","Jamize Olawale (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"176","Antone Smith (FA)","0","0","0","0","0","0","0","1","0","0","0","0","13","0.0","0.0","0.0%"
"177","John Conner (FA)","0","0","0","0","0","0","0","2","0","0","0","0","5","0.0","0.0","0.0%"
"178","Ryan Torain (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","Deji Karim (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"180","Tyler Clutts (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"181","Nick Bellore (FA)","0","0","0","0","0","0","1","1","23","23.0","0","0","16","0.0","0.0","7.0%"
"182","Armond Smith (FA)","3","0","0.0","3","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"183","Brandon Saine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"184","Bruce Miller (FA)","5","18","3.6","9","0","0","12","13","84","7.0","0","0","16","0.0","0.0","0.0%"
"185","Owen Marecic (FA)","0","0","0","0","0","0","0","5","0","0","0","0","10","0.0","0.0","0.0%"
"186","Brit Miller (FA)","0","0","0","0","0","0","0","3","0","0","0","1","6","-2.0","-0.3","0.0%"
""
""
