Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Tim Masthay,25,0,50.0,0.0,27,23.5,27.0,1.7,5.7,13.50,23.50,,,MastTi99
Sidney Rice,26,16,0.0,0.0,25,12.5,25.0,1.6,100.0,12.50,12.50,,,RiceSi01
Golden Tate,24,15,100.0,0.0,23,43.0,23.0,1.5,100.0,23.00,43.00,,,TateGo00
Graham Harrell,27,0,0.0,0.0,11,5.0,10.0,5.0,0.0,5.00,5.00,,,HarrGr00
David Carr,33,0,0.0,0.0,15,6.3,9.5,9.5,2.3,3.25,3.25,,,CarrDa00
Ryan Mallett,24,0,0.0,25.0,17,-7.0,17.0,4.3,0.5,4.25,-7.00,,,MallRy00
Trent Edwards,29,0,0.0,0.0,8,7.0,7.0,14.0,98.1,7.00,7.00,,,EdwaTr01
Brock Osweiler,22,0,0.0,0.0,7,3.0,6.0,2.4,85.3,3.00,3.00,,,OsweBr00
Chase Daniel,26,0,0.0,0.0,10,10.0,10.0,0.6,99.9,10.00,10.00,,,DaniCh00
Shane Lechler,36,0,0.0,0.0,4,4.0,4.0,0.3,0.3,4.00,4.00,,,LechSh20
Danario Alexander,26,6,0.0,0.0,0,0.0,,0.0,27.5,0.00,0.00,,,AlexDa00
Antonio Brown,24,10,0.0,50.0,0,-22.5,,0.0,0.0,0.00,-22.50,,,BrowAn04
Armanti Edwards,24,0,0.0,0.0,0,0.0,,0.0,2.5,0.00,0.00,,,EdwaAr00
Brandon Fields,28,0,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,FielBr20
Peyton Hillis,26,2,0.0,0.0,0,0.0,,0.0,1.0,0.00,0.00,,,HillPe00
T.Y. Hilton,23,1,0.0,0.0,0,0.0,,0.0,4.9,0.00,0.00,,,HiltT.00
Josh Morgan,27,15,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,MorgJo00
Matt Prater,28,0,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,PratMa20
Brad Smith,29,2,0.0,100.0,0,-45.0,,0.0,84.3,0.00,-45.00,,,SmitBr01
