Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed",Contract Years,Year Signed,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year End
Chris Johnson,Jets,RB,8000000,4000000,3000000,3.00,13521805,6760902,5070677,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Darren Sproles,Eagles,RB,7000000,3500000,5500000,2.60,11831579,5915789,9296241,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Donald Brown,Chargers,RB,10500000,3500000,4000000,2.60,17747368,5915789,6760902,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Toby Gerhart,Jaguars,RB,10500000,3500000,4500000,2.60,17747368,5915789,7606015,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Joique Bell,Lions,RB,9300000,3100000,4300000,2.30,15719098,5239699,7267970,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Dexter McCluster,Titans,RB,9000000,3000000,4500000,2.30,15212030,5070677,7606015,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Danny Woodhead,Chargers,RB,5500000,2750000,3000000,2.10,9296241,4648120,5070677,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Maurice Jones-Drew,Raiders,RB,7500000,2500000,1200000,1.90,12676692,4225564,2028271,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Rashad Jennings,Giants,RB,10000000,2500000,2980000,1.90,16902256,4225564,5036872,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Pierre Thomas,Saints,RB,6900000,2300000,2400000,1.70,11662556,3887519,4056541,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
LeGarrette Blount,Steelers,RB,3850000,1925000,950000,1.40,6507368,3253684,1605714,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
James Starks,Packers,RB,3250000,1625000,725000,1.20,5493233,2746617,1225414,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Taiwan Jones,Raiders,RB,4355000,1451667,855000,1.10,7360932,2453645,1445143,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Anthony Dixon,Bills,RB,3500000,1166667,750000,0.90,5915789,1971930,1267669,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Bishop Sankey,Titans,RB,3843496,960874,1709976,0.70,6496375,1624094,2890245,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Jeremy Hill,Bengals,RB,3753602,938401,1640510,0.70,6344434,1586109,2772832,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Carlos Hyde,49ers,RB,3681678,920420,1954933,0.70,6222866,1555717,3304278,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
LeGarrette Blount,Patriots,RB,1730000,865000,0,0.70,2924090,1462045,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Richie Brockel,Panthers,RB,1610000,805000,150000,0.60,2721263,1360632,253534,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Charles Sims,Buccaneers,RB,3103092,775773,684092,0.60,5244925,1311231,1156270,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Tre Mason,Rams,RB,2980938,745235,637500,0.60,5038458,1259615,1077519,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Terrance West,CLE/TEN,RB,2783400,695850,527400,0.50,4704574,1176143,891425,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Jerick McKinnon,Vikings,RB,2765000,691250,515000,0.50,4673474,1168368,870466,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Dri Archer,Steelers,RB,2748016,687004,506016,0.50,4644767,1161192,855281,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Devonta Freeman,Falcons,RB,2704424,676106,484424,0.50,4571087,1142772,818786,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Andre Williams,NYG/LAC,RB,2673600,668400,453600,0.50,4518987,1129747,766686,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Ka'Deem Carey,Bears,RB,2663380,665845,443380,0.50,4501713,1125428,749412,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
James White,Patriots,RB,2617088,654272,397088,0.50,4423469,1105867,671168,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Lorenzo Taliaferro,Ravens,RB,2520584,630146,300584,0.50,4260356,1065089,508055,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Evan Rodriguez,Buccaneers,RB,1230000,615000,0,0.50,2078977,1039489,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Anthony Allen,Bills,RB,1230000,615000,0,0.50,2078977,1039489,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Jeremy Stewart,Broncos,RB,1230000,615000,0,0.50,2078977,1039489,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Dion Lewis,Colts,RB,1230000,615000,0,0.50,2078977,1039489,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Shaun Chapas,Jaguars,RB,1230000,615000,0,0.50,2078977,1039489,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Michael Cox,Giants,RB,1755000,585000,0,0.40,2966346,988782,0,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Alfred Blue,Texans,RB,2337932,584483,117932,0.40,3951632,987908,199332,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
