"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"166",10,"Fred Jackson",FA,"RB53","105","209","159.6","22.8","+2"
"167",10,"Jerick McKinnon",KC,"RB54","125","249","161.0","22.9","+50"
"168",10,"Denard Robinson",FA,"RB55","104","293","158.6","27.7","+5"
"169",11,"Dwayne Bowe",FA,"WR61","103","220","162.0","23.3","+45"
"170",11,"Allen Hurns",FA,"WR62","79","198","149.8","30.0","+15"
"171",11,"Dorial Green-Beckham",FA,"WR63","121","289","168.2","25.7","-9"
"172",11,"Carolina Panthers",CAR,"DST7","131","200","171.8","17.5","+2"
"173",11,"Jared Cook",FA,"TE27","93","240","166.9","24.5","+68"
"174",11,"David Cobb",FA,"RB56","113","324","147.5","35.3","-28"
"175",11,"Miami Dolphins",MIA,"DST8","124","200","167.5","20.4","-26"
"176",11,"Cecil Shorts",FA,"WR64","119","255","171.4","22.3","+61"
"177",11,"Cameron Artis-Payne",FA,"RB57","128","272","168.8","25.9","-5"
"178",11,"Cody Latimer",FA,"WR65","122","225","166.7","18.5","-12"
"179",11,"Lance Dunbar",FA,"RB58","120","254","166.3","25.1","+56"
"180",11,"New England Patriots",NE,"DST9","133","198","171.3","14.8","-4"
"181",11,"DeAngelo Williams",FA,"RB59","135","247","172.9","20.3","-31"
"182",11,"Phillip Dorsett II",DEN,"WR66","85","262","165.4","31.0","-17"
"183",11,"Terrance West",FA,"RB60","129","205","167.0","18.4","+33"
"184",11,"James White",FA,"RB61","107","259","165.6","26.4","+34"
"185",11,"Christine Michael",FA,"RB62","103","265","148.8","32.4","-4"
"186",11,"Theo Riddick",FA,"RB63","126","235","171.6","22.9","+34"
"187",11,"Benjamin Watson",FA,"TE28","103","246","160.2","33.6","+163"
"188",11,"Kenny Britt",FA,"WR67","115","203","172.5","21.0","+19"
"189",11,"Malcom Floyd",FA,"WR68","113","212","174.1","20.0","+42"
"190",11,"Khiry Robinson",FA,"RB64","112","211","166.4","22.5","+10"
"191",11,"New York Jets",NYJ,"DST10","120","197","170.4","17.3","-46"
"192",11,"Danny Amendola",FA,"WR69","86","251","158.7","33.1","+54"
"193",11,"Alex Smith",FA,"QB22","133","202","175.6","18.7","+18"
"194",11,"Dion Lewis",FA,"RB65","117","220","160.8","28.1","+57"
"195",11,"Javorius Allen",FA,"RB66","132","233","174.8","20.5","+45"
"196",11,"James Jones",FA,"WR70","100","278","156.8","34.1","-7"
"197",11,"Marcus Mariota",PHI,"QB23","111","204","174.0","23.3","-26"
"198",11,"Mychal Rivera",FA,"TE29","119","291","170.4","28.6","+122"
"199",11,"Jameis Winston",NO,"QB24","132","210","175.3","19.3","-12"
"200",11,"Green Bay Packers",GB,"DST11","138","200","179.7","16.6","-1"
"201",11,"James Starks",FA,"RB67","135","214","177.0","18.3","-9"
"202",12,"Maxx Williams",FA,"TE30","133","284","179.0","25.8","+30"
"203",12,"Tyler Lockett",SEA,"WR71","114","260","165.3","29.9","-19"
"204",12,"Derek Carr",NO,"QB25","146","240","177.8","19.9","-37"
"205",12,"Cole Beasley",FA,"WR72","142","261","175.9","24.4","+40"
"206",12,"Ty Montgomery II",NE,"RB68","98","306","167.8","39.0","-29"
"207",12,"Andrew Hawkins",FA,"WR73","127","258","177.5","22.8","+87"
"208",12,"Donte Moncrief",FA,"WR74","154","296","183.0","24.5","+5"
"209",12,"Chris Polk",FA,"RB69","124","300","177.3","32.2","+19"
"210",12,"Lorenzo Taliaferro",FA,"RB70","148","281","183.5","22.7","+37"
"211",12,"Baltimore Ravens",BAL,"DST12","142","200","181.6","16.4","-29"
"212",12,"Josh Robinson",FA,"RB71","115","234","159.6","25.9","+37"
"213",12,"Jeff Janis",FA,"WR75","116","397","180.3","50.2","-18"
"214",12,"Marquess Wilson",FA,"WR76","117","283","176.0","34.6","+137"
"215",12,"Jacob Tamme",FA,"TE31","129","279","177.1","28.0","+129"
"216",12,"Leonard Hankerson",FA,"WR77","122","266","171.7","30.9","+28"
"217",12,"Karlos Williams",FA,"RB72","138","307","175.9","33.8","+39"
"218",12,"Jay Ajayi",FA,"RB73","133","358","176.8","45.7","-20"
"219",12,"Branden Oliver",FA,"RB74","139","299","181.3","30.7","+3"
"220",12,"Benny Cunningham Jr.",FA,"RB75","124","211","174.4","23.1","+125"
"221",12,"Damien Williams",FA,"RB76","130","227","165.2","27.3","+104"
"222",12,"Blake Bortles",FA,"QB26","149","271","185.7","25.1","-7"
"223",12,"Marqise Lee",FA,"WR78","151","316","186.1","32.6","+15"
"224",12,"Stedman Bailey",FA,"WR79","160","280","189.1","24.6","+34"
