"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Kyle Trask","TB","-0.1","-0.1","0","-0.1","-0.1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0"
"Kenny Pickett","PIT","6.6","8.8","-2.200000000000001","6.6","8.8","-2.2","1","23","14","16.34","0","0.34","126","141.32","0","0.3","15","14.4522","0","0.0095","1","7.6244","0","0"
"Joshua Dobbs","MIN","25.1","22.8","2.3000000000000007","25.1","22.8","2.3","1","34","23","22.05","0","0.66","268","245.42","1","1.63","33","40.4085","1","0.38","11","8.0164","0","0"
"Tyson Bagent","CHI","7.7","16.2","-8.5","7.7","16.2","-8.5","1","33","20","23.12","0","0.56","162","225.61","0","1.12","15","27.4164","0","0.038","-3","2.7142","0","0"
"C.J. Stroud","HST","24","27.5","-3.5","24","27.5","-3.5","1","39","23","25.3","1","1.16","356","366.94","1","2.62","8","5.0871","1","0.323","0","2.009","0","0.15"
"Mac Jones","NE","8.3","11","-2.6999999999999993","8.3","11","-2.7","1","20","15","14.23","1","0.34","170","124.14","0","1.08","23","15.2799","0","0.0095","2","3.087","0","0.02"
"Bryce Young","CAR","9.2","14.9","-5.700000000000001","9.2","14.9","-5.7","1","38","21","24.01","0","0.69","185","258.31","0","0.64","18","26.7654","0","0","0","0","0","0"
"Dak Prescott","DAL","38.9","31.3","7.599999999999998","38.9","31.3","7.6","1","35","26","21.59","1","1.12","404","280.21","4","4.64","17","11.4297","1","0.2565","0","0","0","0"
"Sam Darnold","SF","-0.1","2.1","-2.2","-0.1","2.1","-2.2","1","2","1","1.35","0","0.02","6","3.6","0","0.57","0","0","0","0","-3","-3","0","0"
"Russell Wilson","DEN","18.9","18.6","0.29999999999999716","18.9","18.6","0.3","1","29","24","22.46","0","0.37","198","188.93","2","1.63","29","44.3331","0","0","1","4.6538","0","0"
"Sam Howell","WAS","26.2","13.2","13","26.2","13.2","13","1","44","29","29.54","0","0.71","312","264.05","3","0.63","0","0","0","0","17","8.4574","0","0"
"Desmond Ridder","ATL","8.7","6","2.6999999999999993","8.7","6","2.7","1","6","4","3.83","0","0.2","39","70.31","0","0.16","0","7.5888","0","0","11","9.3786","1","0.18"
"Jared Goff","DET","21.1","15.4","5.700000000000001","21.1","15.4","5.7","1","33","23","23.19","0","0.74","333","248.47","2","1.63","0","0","0","0","-2","-3","0","0"
"Derek Carr","NO","5.4","5.8","-0.39999999999999947","5.4","5.8","-0.4","1","18","13","12.82","0","0.39","110","126.12","0","0.1","10","7.4679","0","0","0","0","0","0"
"Joe Burrow","CIN","21.9","21.9","0","21.9","21.9","0","1","40","27","27.26","2","1.16","347","329.07","2","1.79","20","22.0875","0","0","0","3.067","0","0.04"
"Clayton Tune","ARZ","6.1","3","3.0999999999999996","6.1","3","3.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0.49"
"Cooper Rush","DAL","2.2","5","-2.8","2.2","5","-2.8","1","9","7","5.92","1","0.23","68","62.71","0","0.59","6","4.8732","0","0","-1","-1","0","0"
"Deshaun Watson","CLV","15.2","24.5","-9.3","15.2","24.5","-9.3","1","33","20","19.85","1","0.7","213","227.54","1","1.63","38","52.5641","0","0.741","-1","-1","0","0"
"Josh Allen","BUF","16","13.4","2.5999999999999996","16","13.4","2.6","1","26","15","16.9","2","0.63","178","196.11","1","0.39","6","4.4547","1","0.4275","3","13.0732","0","0.05"
"P.J. Walker","CLV","0","0.9","-0.9","0","0.9","-0.9","1","1","0","0.26","0","0.12","0","10.92","0","0.14","0","0","0","0","0","0","0","0"
"Justin Herbert","LAC","29.4","27.6","1.7999999999999972","29.4","27.6","1.8","1","40","27","27.91","1","0.76","323","267.69","4","2.62","13","6.7704","0","0","2","5.332","0","0.99"
"Jameis Winston","NO","10.9","12.4","-1.5","10.9","12.4","-1.5","1","25","13","14.41","2","1.08","122","209.17","2","1.27","0","0","0","0","0","0","0","0"
