"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"119",8,"Raheem Mostert",MIA,"RB39","10","3 out of 5 stars","+11"
"120",8,"Jamaal Williams",NO,"RB40","11","4 out of 5 stars","-23"
"121",8,"Zay Jones",JAC,"WR55","9","3 out of 5 stars","+45"
"122",8,"Tyler Higbee",LAR,"TE11","10","2 out of 5 stars","+9"
"123",8,"Odell Beckham Jr.",BAL,"WR56","13","3 out of 5 stars","-22"
"124",8,"Jared Goff",DET,"QB17","9","3 out of 5 stars","+12"
"125",8,"Tyler Boyd",CIN,"WR57","7","3 out of 5 stars","+27"
"126",8,"Jaylen Warren",PIT,"RB41","6","4 out of 5 stars","+31"
"127",8,"Adam Thielen",CAR,"WR58","7","3 out of 5 stars","+7"
"128",9,"Dalton Schultz",HOU,"TE12","7","2 out of 5 stars","-12"
"129",9,"Darnell Mooney",CHI,"WR59","13","4 out of 5 stars","+38"
"130",9,"Russell Wilson",DEN,"QB18","9","4 out of 5 stars","+14"
"131",9,"De'Von Achane",MIA,"RB42","10","3 out of 5 stars","+2"
"132",9,"Rondale Moore",ARI,"WR60","14","2 out of 5 stars","+44"
"133",9,"Rashaad Penny",PHI,"RB43","10","3 out of 5 stars","+5"
"134",9,"Damien Harris",BUF,"RB44","13","3 out of 5 stars","+25"
"135",9,"Kenneth Gainwell",PHI,"RB45","10","3 out of 5 stars","+43"
"136",9,"Chigoziem Okonkwo",TEN,"TE13","7","2 out of 5 stars","+14"
"137",9,"Elijah Mitchell",SF,"RB46","9","2 out of 5 stars","+2"
"138",9,"Tank Bigsby",JAC,"RB47","9","3 out of 5 stars","+27"
"139",9,"Dalton Kincaid",BUF,"TE14","13","4 out of 5 stars","-17"
"140",9,"Tyler Allgeier",ATL,"RB48","11","4 out of 5 stars","+14"
"141",9,"Michael Gallup",DAL,"WR61","7","4 out of 5 stars","+39"
"142",9,"Van Jefferson",ATL,"WR62","11","4 out of 5 stars","+97"
"143",9,"Jameson Williams",DET,"WR63","9","3 out of 5 stars","+6"
"144",9,"Ezekiel Elliott",NE,"RB49","11","4 out of 5 stars","-15"
"145",9,"Gerald Everett",LAC,"TE15","5","3 out of 5 stars","+11"
"146",9,"Derek Carr",NO,"QB19","11","4 out of 5 stars","+12"
"147",9,"Cole Kmet",CHI,"TE16","13","3 out of 5 stars","-21"
"148",9,"Kenny Pickett",PIT,"QB20","6","2 out of 5 stars","+16"
"149",9,"DJ Chark Jr.",CAR,"WR64","7","3 out of 5 stars","+44"
"150",9,"Devin Singletary",HOU,"RB50","7","4 out of 5 stars","+3"
"151",9,"Marvin Mims Jr.",DEN,"WR65","9","3 out of 5 stars","+58"
"152",9,"Jonathan Mingo",CAR,"WR66","7","3 out of 5 stars","+29"
"153",9,"Donovan Peoples-Jones",DET,"WR67","9","3 out of 5 stars","+61"
"154",9,"Jordan Love",GB,"QB21","6","4 out of 5 stars","+25"
"155",9,"K.J. Osborn",MIN,"WR68","13","3 out of 5 stars","+29"
"156",9,"Greg Dulcich",DEN,"TE17","9","4 out of 5 stars","+13"
"157",9,"Juwan Johnson",NO,"TE18","11","3 out of 5 stars","-14"
"158",9,"Brock Purdy",SF,"QB22","9","3 out of 5 stars","+4"
"159",9,"Matthew Stafford",LAR,"QB23","10","3 out of 5 stars","+11"
"160",9,"Jayden Reed",GB,"WR69","6","3 out of 5 stars","+71"
"161",9,"Sam LaPorta",DET,"TE19","9","3 out of 5 stars","+2"
"162",10,"Isaiah Hodgins",NYG,"WR70","13","4 out of 5 stars","+82"
"163",10,"Curtis Samuel",WAS,"WR71","14","3 out of 5 stars","+77"
"164",10,"Alec Pierce",IND,"WR72","11","1 out of 5 stars","+74"
"165",10,"Roschon Johnson",CHI,"RB51","13","3 out of 5 stars","+22"
"166",10,"San Francisco 49ers",SF,"DST1","9","3 out of 5 stars","-85"
"167",10,"Sam Howell",WAS,"QB24","14","4 out of 5 stars","+27"
"168",10,"Hunter Renfrow",LV,"WR73","13","3 out of 5 stars","+51"
"169",10,"Dallas Cowboys",DAL,"DST2","7","4 out of 5 stars","-56"
"170",10,"Rashid Shaheed",NO,"WR74","11","3 out of 5 stars","+100"
"171",10,"DeVante Parker",NE,"WR75","11","5 out of 5 stars","+78"
"172",10,"Philadelphia Eagles",PHI,"DST3","10","3 out of 5 stars","-74"
"173",10,"Marquez Valdes-Scantling",KC,"WR76","10","3 out of 5 stars","+29"
"174",10,"Kendre Miller",NO,"RB52","11","4 out of 5 stars","+26"
"175",10,"Justin Tucker",BAL,"K1","13","2 out of 5 stars","-89"
