Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Joe Flacco,33,9,3.2,1.6,71,6.4,10.6,273.9,54.8,6.04,5.96,,,FlacJo00
Ryan Fitzpatrick,36,7,6.9,4.9,75,8.8,14.4,295.8,61.0,8.81,8.04,,,FitzRy00
Josh Rosen,21,13,2.8,3.6,75,4.8,10.5,162.7,24.1,4.47,3.53,1,2,RoseJo01
Nick Mullens,23,8,4.7,3.6,85,7.6,12.9,284.6,51.7,7.39,6.74,0,1,MullNi00
Alex Smith,34,10,3.0,1.5,52,6.6,10.6,218.0,46.9,5.88,5.81,,,SmitAl03
Josh Allen,22,11,3.1,3.8,75,5.4,12.3,172.8,49.8,5.35,4.37,2,3,AlleJo02
Ryan Tannehill,30,11,6.2,3.3,75,7.0,11.2,179.9,33.2,5.50,5.29,3,3,TannRy00
Nick Foles,29,5,3.6,2.1,83,7.0,10.0,282.6,65.4,6.70,6.50,2,2,FoleNi00
C.J. Beathard,25,5,4.7,4.1,82,6.5,12.3,208.7,41.5,5.86,5.03,,,BeatC.00
Brock Osweiler,28,5,3.4,2.2,75,6.7,11.0,178.1,34.5,5.73,5.42,1,1,OsweBr00
Lamar Jackson,21,7,3.5,1.8,74,7.0,12.1,75.1,42.6,6.08,5.99,0,1,JackLa00
Jeff Driskel,25,5,3.4,1.1,37,5.9,9.6,111.4,29.7,4.59,4.74,,,DrisJe00
Jimmy Garoppolo,27,3,5.6,3.4,56,7.7,13.5,239.3,27.5,6.09,5.75,,,GaroJi00
Cody Kessler,25,4,1.5,1.5,35,5.0,8.3,141.8,25.9,3.66,3.33,,,KessCo00
Blaine Gabbert,29,3,4.0,4.0,35,5.2,10.3,78.3,27.0,5.56,4.61,2,2,GabbBl00
Josh Johnson,32,3,3.3,4.4,79,5.2,11.3,147.5,47.4,5.23,4.03,1,1,JohnJo05
Josh McCown,39,3,0.9,3.6,41,3.4,9.0,134.8,33.8,4.31,2.94,,,McCoJo01
Chase Daniel,32,2,3.9,2.6,46,6.4,9.7,103.0,27.5,5.59,5.24,1,0,DaniCh00
Tyrod Taylor,29,3,2.4,2.4,47,5.0,11.3,118.3,27.0,4.00,3.49,1,0,TaylTy00
Derek Anderson,35,2,0.0,5.7,40,4.1,11.1,232.5,26.6,5.76,3.36,,,AndeDe00
Sam Bradford,31,3,2.5,5.0,35,3.3,8.0,133.3,27.9,4.27,2.64,,,BradSa00
Colt McCoy,32,2,5.6,5.6,53,5.5,10.9,124.0,38.8,5.60,4.35,,,McCoCo00
Taylor Heinicke,25,1,1.8,5.3,33,3.6,9.1,53.3,18.3,5.14,3.19,,,HeinTa00
Nathan Peterman,24,2,1.2,8.6,26,0.0,6.7,74.0,8.0,2.98,-0.38,,,PeteNa00
Kyle Allen,22,1,6.5,0.0,53,9.9,13.3,133.0,95.2,8.58,9.87,,,AlleKy00
Matt Barkley,28,1,8.0,0.0,47,10.9,15.5,232.0,85.8,8.62,10.15,,,BarkMa00
DeShone Kizer,22,0,0.0,4.8,29,2.3,9.4,62.3,25.5,3.24,1.28,,,KizeDe00
Mike Glennon,29,0,4.8,0.0,26,9.2,11.6,87.0,75.0,7.55,8.45,,,GlenMi00
Mark Sanchez,32,1,0.0,8.6,20,0.1,7.3,69.0,4.5,2.29,-0.93,,,SancMa00
Teddy Bridgewater,26,1,4.3,4.3,18,4.0,8.4,23.6,31.3,4.40,3.40,,,BridTe00
Odell Beckham Jr.,26,12,100.0,0.0,57,73.0,53.0,8.8,100.0,53.00,73.00,,,BeckOd00
Kevin Byard,25,16,100.0,0.0,66,86.0,66.0,4.1,,66.00,86.00,,,ByarKe01
Taysom Hill,28,4,0.0,14.3,44,2.7,21.3,4.0,40.9,7.63,2.00,,,HillTa00
Jarvis Landry*,26,14,0.0,0.0,63,31.5,63.0,3.9,100.0,31.50,31.50,,,LandJa00
Matt Cassel,36,0,0.0,5.9,11,0.8,8.4,29.5,9.6,2.56,0.06,,,CassMa00
Albert Wilson,26,3,100.0,0.0,52,72.0,52.0,7.4,99.6,52.00,72.00,,,WilsAl02
Christian McCaffrey,22,16,100.0,0.0,50,70.0,50.0,3.1,100.0,50.00,70.00,,,McCaCh01
Joshua Dobbs,23,0,0.0,8.3,22,-0.2,7.2,8.6,51.0,3.58,-0.17,,,DobbJo00
Julian Edelman,32,12,0.0,0.0,37,21.5,21.5,3.6,93.9,21.50,21.50,,,EdelJu00
Garrett Gilbert,27,0,0.0,0.0,31,13.3,20.0,40.0,40.4,8.75,8.75,,,GilbGa01
Larry Fitzgerald,35,16,100.0,0.0,32,52.0,32.0,2.0,100.0,32.00,52.00,,,FitzLa00
Chad Henne,33,0,0.0,0.0,22,9.7,14.5,29.0,69.6,9.67,9.67,,,HennCh01
Danny Amendola,33,15,100.0,0.0,28,48.0,28.0,1.9,100.0,28.00,48.00,,,AmenDa00
Emmanuel Sanders,31,12,100.0,0.0,28,48.0,28.0,2.3,100.0,28.00,48.00,,,SandEm00
Sean Mannion,26,0,0.0,0.0,18,7.7,11.5,7.7,5.8,7.67,7.67,,,MannSe00
Nate Sudfeld,25,0,50.0,0.0,22,21.0,22.0,11.0,28.9,11.00,21.00,0,0,SudfNa00
Robert Griffin III,28,0,0.0,0.0,14,3.5,10.5,7.0,2.0,3.50,3.50,,,GrifRo01
Darius Jennings,26,0,0.0,0.0,21,21.0,21.0,1.3,99.9,21.00,21.00,,,JennDa00
Sam Koch,36,0,0.0,0.0,21,21.0,21.0,1.3,10.7,21.00,21.00,,,KochSa20
Matt Schaub,37,0,0.0,0.0,9,2.9,4.0,6.7,63.2,2.86,2.86,,,SchaMa00
Johnny Hekker,28,0,0.0,0.0,12,4.8,9.5,1.2,,4.75,4.75,,,HekkJo00
Nelson Agholor,25,16,0.0,0.0,15,15.0,15.0,0.9,100.0,15.00,15.00,,,AghoNe00
Logan Thomas,27,3,0.0,0.0,15,15.0,15.0,1.3,,15.00,15.00,,,ThomLo00
Derrick Henry,24,12,0.0,0.0,8,4.7,7.0,0.9,58.2,4.67,4.67,,,HenrDe00
Colby Wadman,23,0,0.0,0.0,12,12.0,12.0,1.0,,12.00,12.00,,,WadmCo00
A.J. McCarron,28,0,0.0,0.0,8,2.7,8.0,4.0,0.4,0.25,0.25,,,McCaA.00
Anthony Miller,24,4,0.0,0.0,8,8.0,8.0,0.5,82.3,8.00,8.00,,,MillAn02
Matt Prater,34,0,100.0,0.0,8,28.0,8.0,0.5,,8.00,28.00,,,PratMa20
Geno Smith,28,0,0.0,0.0,8,2.0,8.0,1.6,0.7,-1.60,-1.60,,,SmitGe00
Brian Hoyer,33,0,0.0,0.0,7,3.5,7.0,1.4,0.5,3.50,3.50,,,HoyeBr00
Tress Way,28,0,0.0,0.0,7,7.0,7.0,0.4,,7.00,7.00,,,WayxTr00
Mohamed Sanu,29,16,50.0,0.0,5,12.5,5.0,0.3,32.3,2.50,12.50,,,SanuMo00
Logan Cooke,23,0,0.0,0.0,4,4.0,4.0,0.3,,4.00,4.00,,,CookLo00
Kenny Stills,26,15,100.0,0.0,3,23.0,3.0,0.2,100.0,3.00,23.00,,,StilKe00
Chris Boswell,27,0,100.0,0.0,2,22.0,2.0,0.1,,2.00,22.00,,,BoswCh00
Jacoby Brissett,26,0,0.0,0.0,4,0.5,1.0,0.5,100.0,0.50,0.50,,,BrisJa00
Tarik Cohen,23,7,100.0,0.0,1,21.0,1.0,0.1,100.0,1.00,21.00,,,CoheTa00
Bryan Anger,30,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,AngeBr00
Cole Beasley,29,4,0.0,0.0,0,0.0,,0.0,28.6,0.00,0.00,,,BeasCo00
Corey Bojorquez,22,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,BojoCo00
Tyler Boyd,24,14,0.0,0.0,0,0.0,,0.0,3.5,0.00,0.00,,,BoydTy00
Antonio Brown,30,15,0.0,0.0,0,0.0,,0.0,2.7,0.00,0.00,,,BrowAn04
Eric Ebron,25,8,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,EbroEr00
Bruce Ellington,27,3,0.0,0.0,0,0.0,,0.0,1.6,0.00,0.00,,,ElliBr00
Dontrell Hilliard,23,0,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,HillDo00
DeAndre Hopkins,26,16,0.0,0.0,0,0.0,,0.0,3.7,0.00,0.00,,,HopkDe00
Zay Jones,23,15,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,JoneZa00
Kyle Lauletta,23,0,0.0,20.0,0,-9.0,,0.0,0.1,0.00,-9.00,,,LaulKy00
JK Scott,23,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,ScotJK00
Dede Westbrook,25,9,0.0,0.0,0,0.0,,0.0,9.1,0.00,0.00,,,WestDe00
