Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Cordarrelle Patterson,WR,22,4,4,4,40,16,156,0,1,0,0,0,464,2330,22,289,2757,15,17,,
Justin Jefferson,WR,21,1,3,3,39,39,50,4,6,69,0,0,11,40,1,324,4825,25,2,,
Daron Payne,DT,21,0,1,5,39,39,81,0,0,0,0,0,0,0,0,0,0,0,161,1,26
D.J. Moore,WR,21,0,0,5,39,39,80,0,1,0,0,0,39,335,0,364,5201,21,4,,
Mark Andrews,TE,23,1,3,1,39,39,77,0,0,0,0,0,4,8,0,336,4313,34,5,,
JuJu Smith-Schuster,WR,20,0,1,4,39,30,79,0,0,0,0,0,4,22,1,401,4788,29,2,,
Jarran Reed,DT,23,0,0,6,39,28,106,0,0,0,0,0,0,0,0,0,0,0,152,,27
Elandon Roberts,ILB,22,0,0,5,39,18,107,0,0,0,0,0,0,0,0,1,38,1,262,1,11
D.J. Humphries,T,21,0,1,6,39,39,83,0,0,0,0,0,0,0,0,0,0,0,,,
A.J. Cann,G,23,0,0,7,39,35,111,0,0,0,0,0,0,0,0,0,0,0,2,,
Daryl Williams,G,23,0,0,5,39,22,89,0,0,0,0,0,0,0,0,0,0,0,,,
Mark Glowinski,G,23,0,0,6,39,9,111,0,0,0,0,0,0,0,0,0,0,0,1,,
Zach Fulton,G,22,0,0,6,39,21,107,0,0,0,0,0,0,0,0,0,0,0,,,
Ezekiel Ansah,DE,24,0,1,5,39,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5
Joe Burrow,QB,23,0,1,3,38,38,42,1044,1530,11774,82,31,152,517,10,0,0,0,1,,
Daniel Jones,QB,22,0,0,4,38,38,54,1113,1740,11603,60,34,292,1708,12,1,16,0,,,
Saquon Barkley,RB,21,0,2,4,38,38,60,0,0,0,0,0,954,4249,29,247,1820,8,,,
Leonard Fournette,RB,22,0,0,5,38,19,79,0,2,0,0,1,1132,4478,34,312,2219,7,1,,
Maliek Collins,DT,21,0,0,7,38,25,103,0,0,0,0,0,0,0,0,0,0,0,107,1,20.5
Blake Martinez,LB,22,0,0,5,38,29,84,0,0,0,0,0,0,0,0,0,0,0,442,4,13
Byron Jones,CB,22,0,1,7,38,29,109,0,0,0,0,0,0,0,0,0,0,0,345,4,
Quandre Diggs,CB,22,0,3,4,38,11,120,0,0,0,0,0,0,0,0,0,0,0,365,23,1
Trent Brown,G,22,0,1,5,38,11,89,0,0,0,0,0,0,0,0,0,0,0,,,
Stephon Tuitt,DE,21,0,0,6,38,38,91,0,0,0,0,0,0,0,0,0,0,0,176,1,34.5
Michael Schofield,OL,23,0,0,5,38,10,113,0,0,0,0,0,0,0,0,0,0,0,1,,
Avery Williamson,LB,22,0,0,5,38,25,96,0,0,0,0,0,0,0,0,0,0,0,392,4,15.5
Jeffery Simmons,DT,22,0,2,4,37,37,56,0,0,0,0,0,0,0,0,0,0,0,109,,21
D.K. Metcalf,WR,21,0,1,4,37,37,66,0,0,0,0,0,3,17,0,306,4218,35,2,,
Brian O'Neill,T,22,0,1,5,37,37,79,0,0,0,0,0,0,0,0,0,0,0,1,,
Marshon Lattimore,CB,21,0,4,5,37,37,80,0,0,0,0,0,0,0,0,0,0,0,265,14,
Haason Reddick,LB,22,0,1,4,37,15,97,0,0,0,0,0,0,0,0,0,0,0,234,,47
