Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Gerald Everett,TE,23,0,0,2,20,10,92,0,0,0,0,0,9,51,1,233,2422,16,1,,
Marlon Mack,RB,21,0,0,2,20,19,55,0,0,0,0,0,583,2568,21,65,547,3,,,
Harrison Butker,K,22,0,0,1,20,,90,0,0,0,0,0,0,0,0,0,0,0,2,,
Carl Nassib,DE,23,0,0,1,20,7,99,0,0,0,0,0,0,0,0,0,0,0,128,1,25.5
B.J. Goodson,OLB,23,0,0,4,20,9,67,0,0,0,0,0,0,0,0,0,0,0,168,4,1
Nick Kwiatkoski,ILB,23,0,0,1,20,14,89,0,0,0,0,0,0,0,0,0,0,0,208,2,7
Andrew Billings,NT,21,0,0,3,20,15,67,0,0,0,0,0,0,0,0,0,0,0,67,,4.5
T.J. Yeldon,RB,21,0,0,2,20,19,60,0,0,0,0,0,492,2005,6,185,1448,7,,,
Devin Funchess,TE,21,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,
Mike Davis,RB,22,0,0,2,20,1,87,0,0,0,0,0,558,2052,14,171,1066,4,3,,
Christian Covington,DT,21,0,0,1,20,8,102,0,0,0,0,0,0,0,0,0,0,0,106,,9.5
Austin Reiter,C,23,0,0,2,20,,65,0,0,0,0,0,0,0,0,0,0,0,,,
Ross Cockrell,DB,23,0,0,3,20,0,97,0,0,0,0,0,0,0,0,0,0,0,205,7,
Terrance Mitchell,DB,22,0,0,3,20,0,94,0,0,0,0,0,0,0,0,0,0,0,256,9,1
Manti Te'o,LB,22,0,0,4,20,14,62,0,0,0,0,0,0,0,0,0,0,0,212,2,1.5
David Amerson,DB,21,0,0,4,20,7,74,0,0,0,0,0,0,0,0,0,0,0,234,9,
Chris Thompson,RB,22,0,0,0,20,19,74,0,0,0,0,0,257,1214,5,232,1918,11,,,
Jaylen Waddle,WR,22,0,0,2,19,19,33,0,0,0,0,0,5,29,1,179,2371,14,4,,
Chase Young,DE,21,0,1,1,19,19,27,0,0,0,0,0,0,0,0,0,0,0,50,,9
Derrick Brown,DT,22,0,0,3,19,19,49,0,0,0,0,0,0,0,0,0,0,0,78,1,6
Chase Claypool,WR,22,0,0,1,19,17,46,1,1,1,1,0,33,171,2,167,2184,12,5,,
Raekwon Davis,DT,23,0,0,3,19,19,46,0,0,0,0,0,0,0,0,0,0,0,44,,1.5
Antonio Gibson,RB,22,0,0,2,19,19,45,0,0,0,0,0,577,2378,21,124,894,5,1,,
Gabriel Davis,WR,21,0,0,2,19,19,47,0,0,0,0,0,1,0,0,118,1984,20,3,,
Darnell Savage Jr.,S,22,0,0,4,19,19,62,0,0,0,0,0,0,0,0,0,0,0,189,9,1
Byron Murphy,CB,21,0,0,3,19,19,56,0,0,0,0,0,0,0,0,0,0,0,184,5,3
Andrew Van Ginkel,LB,24,0,0,2,19,19,56,0,0,0,0,0,0,0,0,0,0,0,114,1,11
Isaiah Wynn,T,22,0,0,3,19,19,43,0,0,0,0,0,0,0,0,0,0,0,2,,
Mike Gesicki,TE,22,0,0,1,19,19,81,0,1,0,0,0,0,0,0,231,2617,18,1,,
Taron Johnson,CB,22,0,0,4,19,19,71,0,0,0,0,0,0,0,0,0,0,0,263,4,6
Jordan Mailata,T,21,0,0,3,19,19,45,0,0,0,0,0,0,0,0,0,0,0,1,,
Tyus Bowser,OLB,22,0,0,1,19,19,89,0,0,0,0,0,0,0,0,0,0,0,93,4,19.5
Tanoh Kpassagnon,DE,23,0,0,2,19,14,84,0,0,0,0,0,0,0,0,0,0,0,81,,13
Rasul Douglas,CB,23,0,0,2,19,7,89,0,0,0,0,0,0,0,0,0,0,0,266,14,1
Josh Reynolds,WR,22,0,0,2,19,10,90,0,0,0,0,0,8,36,0,180,2325,14,7,,
Carlos Watkins,DT,23,0,0,1,19,9,69,0,0,0,0,0,0,0,0,0,0,0,68,1,5
Damontae Kazee,CB,24,0,0,3,19,12,78,0,0,0,0,0,0,0,0,0,0,0,183,14,
Darron Lee,OLB,21,0,0,3,19,17,58,0,0,0,0,0,0,0,0,0,0,0,178,3,4
William Jackson III,CB,23,0,0,4,19,15,75,0,0,0,0,0,0,0,0,0,0,0,170,5,1
Daryl Worley,CB,21,0,0,4,19,11,78,0,0,0,0,0,0,0,0,0,0,0,222,5,2
Demarcus Robinson,WR,21,0,0,2,19,14,114,0,0,0,0,0,0,0,0,193,2137,16,10,,
Devontae Booker,RB,24,0,0,0,19,11,93,0,0,0,0,0,527,2119,11,162,1224,2,7,,
Trae Waynes,CB,23,0,0,3,19,19,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1
P.J. Williams,CB,22,0,0,2,19,19,89,0,0,0,0,0,0,0,0,0,0,0,201,8,4
Jay Ajayi,RB,22,0,1,2,19,14,45,0,0,0,0,0,572,2546,13,63,419,1,,,
Martavis Bryant,WR,22,0,0,1,19,17,44,0,0,0,0,0,17,94,1,145,2183,17,,,
Brent Urban,DT,23,0,0,2,19,13,92,0,0,0,0,0,0,0,0,0,0,0,70,,7
Tyler Eifert,TE,22,0,1,2,19,17,74,0,0,0,0,0,0,0,0,221,2501,26,,,
Sam Martin,P,23,0,0,1,19,15,155,2,2,27,0,0,3,3,0,0,0,0,4,,
Dustin Hopkins,K,22,0,0,0,19,,109,0,0,0,0,0,0,0,0,0,0,0,6,,
Trey Smith,OL,22,0,0,2,18,18,33,0,0,0,0,0,0,0,0,0,0,0,1,,
AJ Terrell,CB,21,0,0,3,18,18,44,0,0,0,0,0,0,0,0,0,0,0,149,4,1
Robert Hunt,G,24,0,0,3,18,18,50,0,0,0,0,0,1,0,0,0,0,0,,,
Antoine Winfield Jr.,S,22,0,1,3,18,18,42,0,0,0,0,0,0,0,0,0,0,0,190,4,9
Alex Highsmith,LB,23,0,0,2,18,18,49,0,0,0,0,0,0,0,0,0,0,0,114,1,22.5
Michael Onwenu,G,22,0,0,2,18,18,49,0,0,0,0,0,0,0,0,0,0,0,,,
Jon Runyan Jr.,T,23,0,0,2,18,18,50,0,0,0,0,0,0,0,0,0,0,0,,,
Noah Fant,TE,21,0,0,4,18,14,64,0,0,0,0,0,3,-12,0,220,2391,14,2,,
Taylor Rapp,S,21,0,0,3,18,18,57,0,0,0,0,0,0,0,0,0,0,0,216,9,1.5
Dre'Mont Jones,DT,22,0,0,2,18,18,56,0,0,0,0,0,0,0,0,0,0,0,76,1,22
Marcus Davenport,DE,22,0,0,2,18,18,63,0,0,0,0,0,0,0,0,0,0,0,78,,21.5
Billy Price,C,23,0,0,3,18,9,69,0,0,0,0,0,0,0,0,0,0,0,2,,
Ronald Jones II,RB,21,0,0,2,18,17,61,0,0,0,0,0,505,2244,19,77,593,1,1,,
DJ Chark,WR,21,0,1,3,18,13,54,0,0,0,0,0,2,20,0,177,2544,18,6,,
Ronnie Harrison,S,21,0,0,3,18,10,67,0,0,0,0,0,0,0,0,0,0,0,148,5,5.5
Kenny Young,LB,23,0,0,1,18,5,63,0,0,0,0,0,0,0,0,0,0,0,127,1,5.5
John Franklin-Myers,DE,21,0,0,2,18,2,64,0,0,0,0,0,0,0,0,0,0,0,47,1,16
Dalton Schultz,TE,22,0,0,3,18,18,75,0,0,0,0,0,0,0,0,211,2122,17,3,,
Tre Flowers,S,23,0,0,2,18,15,73,0,0,0,0,0,0,0,0,0,0,0,206,4,2
David Njoku,TE,21,0,0,3,18,18,79,0,0,0,0,0,4,-6,0,206,2382,19,2,,
Jourdan Lewis,CB,22,0,0,2,18,18,83,0,0,0,0,0,2,12,0,0,0,0,200,8,8.5
Carl Lawson,OLB,22,0,0,2,18,10,68,0,0,0,0,0,0,0,0,0,0,0,67,,27
Jamal Agnew,CB,22,1,1,0,18,13,71,0,1,0,0,0,29,265,1,63,521,4,29,,
Nathan Gerry,S,22,0,0,1,18,18,50,0,0,0,0,0,0,0,0,0,0,0,101,3,3.5
Vernon Hargreaves III,CB,21,0,0,4,18,10,69,0,0,0,0,0,0,0,0,0,0,0,245,4,
Sean Davis,CB,22,0,0,3,18,18,70,0,0,0,0,0,0,0,0,0,0,0,201,5,2.5
Rodney Gunter,DT,23,0,0,3,18,18,77,0,0,0,0,0,0,0,0,0,0,0,86,,11
Donte Moncrief,WR,21,0,0,3,18,15,83,0,0,0,0,0,6,20,0,205,2576,21,1,,
Alfred Blue,RB,23,0,0,1,18,18,73,0,0,0,0,0,673,2407,8,69,470,2,17,,
Margus Hunt,DE,26,0,0,1,18,4,114,0,0,0,0,0,0,0,0,0,0,0,84,,8.5
Jamar Taylor,DB,22,0,0,2,18,4,98,0,0,0,0,0,0,0,0,0,0,0,216,5,1.5
Gerald Hodges,LB,22,0,0,1,18,8,81,0,0,0,0,0,0,0,0,0,0,0,210,3,3.5
Kyle Juszczyk,RB,22,0,7,9,18,5,155,0,0,0,0,0,57,205,5,248,2345,14,14,,
Andre Ellington,RB,24,0,0,1,18,17,65,0,0,0,0,0,418,1752,10,151,1368,3,1,,
Nick Williams,DT,23,0,0,1,18,,83,0,0,0,0,0,0,0,0,0,0,0,67,,7.5
Gregory Rousseau,DL,21,0,0,2,17,17,30,0,0,0,0,0,0,0,0,0,0,0,69,1,12
Isaiah Simmons,LB,22,0,0,2,17,17,50,0,0,0,0,0,0,0,0,0,0,0,181,4,7.5
Jordyn Brooks,LB,22,0,0,2,17,17,47,0,0,0,0,0,0,0,0,0,0,0,247,,2
Ezra Cleveland,T,22,0,0,3,17,17,47,0,0,0,0,0,0,0,0,0,0,0,3,,
AJ Dillon,RB,22,0,0,0,17,17,45,0,0,0,0,0,419,1815,14,64,540,2,2,,
Logan Wilson,LB,24,0,0,2,17,17,40,0,0,0,0,0,0,0,0,0,0,0,163,7,4.5
Tyler Biadasz,C,22,0,1,2,17,17,45,0,0,0,0,0,0,0,0,0,0,0,2,,
Max Scharping,T,23,0,0,3,17,16,62,0,0,0,0,0,0,0,0,0,7,0,,,
Juan Thornhill,S,23,0,0,4,17,17,65,0,0,0,0,0,0,0,0,0,0,0,161,8,1
Daniel Carlson,K,23,1,0,1,17,-1,78,0,0,0,0,0,0,0,0,0,0,0,2,,
Zaire Franklin,LB,22,0,0,2,17,17,82,0,0,0,0,0,0,0,0,0,0,0,155,1,3
Solomon Thomas,DE,22,0,0,2,17,15,82,0,0,0,0,0,0,0,0,0,0,0,103,,10
Malik Hooker,S,21,0,0,3,17,13,67,0,0,0,0,0,0,0,0,0,0,0,155,11,
Chris Wormley,DE,23,0,0,3,17,8,80,0,0,0,0,0,0,0,0,0,0,0,80,,11
Fabian Moreau,CB,23,0,0,3,17,9,90,0,0,0,0,0,0,0,0,0,0,0,178,6,
Jake Elliott,K,22,0,1,1,17,,96,0,1,0,0,1,0,0,0,0,0,0,2,,
Al-Quadin Muhammad,DE,22,0,0,1,17,0,84,0,0,0,0,0,0,0,0,0,0,0,103,,12
Alex Collins,RB,22,0,0,2,17,5,50,0,0,0,0,0,483,1997,18,59,467,1,,,
Cedric Ogbuehi,T,23,0,0,2,17,11,67,0,0,0,0,0,0,0,0,0,0,0,,,
Mario Edwards,DT,21,0,0,1,17,11,99,0,0,0,0,0,0,0,0,0,0,0,95,,19.5
Ameer Abdullah,RB,22,0,0,2,17,10,108,0,0,0,0,0,413,1594,6,144,1076,8,13,,
Ty Montgomery,WR,22,0,0,1,17,13,79,0,0,0,0,0,260,1178,7,142,1119,4,9,,
Trevor Siemian,QB,23,0,0,2,17,13,35,621,1055,7027,42,28,73,211,2,0,0,0,,,
Jason Verrett,DB,23,0,1,2,17,13,40,0,0,0,0,0,0,0,0,0,0,0,125,7,
Marqise Lee,WR,22,0,0,2,17,17,59,1,2,20,1,0,16,100,0,174,2184,8,,,
Pierre Desir,DB,23,0,0,3,17,2,85,0,0,0,0,0,0,0,0,0,0,0,226,10,
Andre Hal,DB,22,0,0,3,17,17,69,0,0,0,0,0,0,0,0,0,0,0,130,12,1
Jarvis Jones,LB,23,0,0,1,17,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6
Spencer Ware,RB,21,0,0,1,17,0,43,0,0,0,0,0,357,1631,11,64,698,2,2,,
Rashawn Slater,OL,22,0,1,1,16,16,19,0,0,0,0,0,0,0,0,0,0,0,,,
Najee Harris,RB,23,0,1,2,16,16,34,1,1,4,0,0,579,2234,14,115,696,6,4,,
Landon Dickerson,OL,22,0,1,2,16,16,31,0,0,0,0,0,0,0,0,0,0,0,1,,
Jerry Jeudy,WR,21,0,0,2,16,16,41,0,0,0,0,0,6,43,0,157,2295,9,1,,
Kenneth Murray,LB,21,0,0,2,16,16,44,0,0,0,0,0,0,0,0,0,0,0,135,1,2
Cesar Ruiz,C,21,0,0,3,16,16,46,0,0,0,0,0,0,0,0,0,0,0,1,,
Donovan Peoples-Jones,WR,21,0,0,1,16,16,43,0,0,0,0,0,1,2,0,109,1740,8,2,,
Tae Crowder,LB,23,0,0,2,16,16,41,0,0,0,0,0,0,0,0,0,0,0,124,2,2
Jerry Tillery,DT,22,0,0,1,16,14,62,0,0,0,0,0,0,0,0,0,0,0,65,,10.5
Jahlani Tavai,LB,22,0,0,2,16,7,61,0,0,0,0,0,0,0,0,0,0,0,112,1,3.5
Zach Allen,DE,22,0,0,3,16,16,45,0,0,0,0,0,0,0,0,0,0,0,79,1,11.5
Dawson Knox,TE,22,0,1,4,16,16,57,0,0,0,0,0,1,13,0,149,1780,20,3,,
C.J. Gardner-Johnson,S,21,0,0,3,16,11,55,0,0,0,0,0,0,0,0,0,0,0,183,11,4
Hayden Hurst,TE,25,0,0,1,16,6,70,0,0,0,0,0,1,0,0,177,1718,14,2,,
Taven Bryan,DT,22,0,0,3,16,10,79,0,0,0,0,0,0,0,0,0,0,0,62,,8.5
Rasheem Green,DT,21,0,0,2,16,13,69,0,0,0,0,0,0,0,0,0,0,0,83,,17
Harrison Phillips,DT,22,0,0,1,16,9,62,0,0,0,0,0,0,0,0,0,0,0,88,,3
Brian Allen,C,22,0,0,2,16,16,45,0,0,0,0,0,0,0,0,0,0,0,,,
D.J. Reed,CB,21,0,0,3,16,2,72,0,0,0,0,0,0,0,0,0,0,0,212,5,1
Folorunso Fatukasi,DT,23,0,0,2,16,11,59,0,0,0,0,0,0,0,0,0,0,0,74,,4.5
Jason Sanders,K,22,1,0,1,16,16,82,0,0,0,0,0,0,0,0,1,1,1,2,,
Zach Sieler,DE,23,0,0,1,16,0,59,0,0,0,0,0,0,0,0,0,0,0,110,,10
Cameron Sutton,CB,22,0,0,2,16,16,84,0,0,0,0,0,0,0,0,0,0,0,143,8,2
Jonnu Smith,TE,22,0,0,5,16,11,90,0,0,0,0,0,16,127,1,169,1841,17,,,
Julie'n Davenport,T,22,0,0,2,16,10,60,0,0,0,0,0,0,0,0,0,0,0,,,
Jermaine Eluemunor,G,22,0,0,1,16,3,70,0,0,0,0,0,0,0,0,0,0,0,,,
Karl Joseph,S,22,0,0,4,16,14,65,0,0,0,0,0,0,0,0,0,0,0,221,5,3
Artie Burns,CB,21,0,0,1,16,14,72,0,0,0,0,0,0,0,0,0,0,0,140,4,
Jihad Ward,DE,22,0,0,2,16,6,85,0,0,0,0,0,0,0,0,0,0,0,69,,13
Kyler Fackrell,OLB,24,0,0,1,16,9,86,0,0,0,0,0,0,0,0,0,0,0,114,1,23.5
Jayron Kearse,S,22,0,0,3,16,4,103,0,0,0,0,0,0,0,0,0,0,0,222,4,3.5
Phillip Dorsett,WR,22,0,0,0,16,7,92,0,1,0,0,0,14,84,0,151,2001,12,,,
Kyle Emanuel,OLB,24,0,0,2,16,16,71,0,0,0,0,0,0,0,0,0,0,0,95,2,4
David Mayo,LB,22,0,0,1,16,4,115,0,0,0,0,0,0,0,0,0,0,0,143,,3
Aaron Colvin,DB,22,0,0,1,16,13,65,0,0,0,0,0,0,0,0,0,0,0,174,,5
Kevin Pamphile,T,23,0,0,2,16,15,56,0,0,0,0,0,0,0,0,0,0,0,,,
Jonathan Cooper,G,23,0,0,2,16,7,46,0,0,0,0,0,0,0,0,0,0,0,,,
D.J. Hayden,DB,23,0,0,2,16,8,92,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5
J.J. Wilcox,DB,22,0,0,2,16,15,77,0,0,0,0,0,0,0,0,0,0,0,173,6,
Hugh Thornton,G,22,0,0,3,16,16,37,0,0,0,0,0,0,0,0,0,0,0,,,
David Quessenberry,OL,23,0,0,2,16,0,51,0,0,0,0,0,0,0,0,1,1,1,1,,
Stacy McGee,DT,23,0,0,2,16,10,81,0,0,0,0,0,0,0,0,0,0,0,75,,4.5
Spencer Brown,OL,23,0,0,1,15,15,27,0,0,0,0,0,0,0,0,0,0,0,1,,
Dan Moore,OL,22,0,0,2,15,15,33,0,0,0,0,0,0,0,0,0,0,0,,,
Talanoa Hufanga,S,22,1,1,1,15,15,32,0,0,0,0,0,0,0,0,0,0,0,90,4,2
Clyde Edwards-Helaire,RB,21,0,0,1,15,15,33,0,0,0,0,0,371,1622,11,72,577,6,,,
Justin Madubuike,DT,22,0,0,2,15,15,42,0,0,0,0,0,0,0,0,0,0,0,60,,8.5
Lloyd Cushenberry III,C,22,0,0,2,15,15,40,0,0,0,0,0,0,0,0,0,0,0,,,
Rashan Gary,LB,21,0,0,2,15,15,56,0,0,0,0,0,0,0,0,0,0,0,80,,22.5
Cody Ford,T,22,0,0,1,15,13,49,0,0,0,0,0,0,0,0,0,0,0,1,,
Damien Harris,RB,22,0,0,3,15,15,38,0,0,0,0,0,449,2094,20,40,281,0,,,
Trey Pipkins,T,23,0,0,1,15,15,52,0,0,0,0,0,0,0,0,0,0,0,,,
Mack Wilson,LB,21,0,0,2,15,13,60,0,0,0,0,0,0,0,0,0,0,0,122,1,2.5
Tre'Quan Smith,WR,22,0,0,3,15,15,66,0,0,0,0,0,1,3,0,131,1764,18,5,,
Jermaine Carter Jr.,LB,23,0,0,2,15,14,72,0,0,0,0,0,0,0,0,0,0,0,96,,0.5
Takkarist McKinley,DE,21,0,0,2,15,13,64,0,0,0,0,0,0,0,0,0,0,0,63,,20
Kevin King,CB,22,0,0,3,15,15,51,0,0,0,0,0,0,0,0,0,0,0,158,7,1
Ahkello Witherspoon,CB,22,0,0,2,15,12,60,0,0,0,0,0,0,0,0,0,0,0,130,8,
Dawuane Smoot,DE,22,0,0,0,15,15,87,0,0,0,0,0,0,0,0,0,0,0,86,,22.5
Duke Riley,LB,23,0,0,2,15,7,90,0,0,0,0,0,0,0,0,0,0,0,134,1,1.5
Samaje Perine,RB,21,0,0,1,15,5,76,0,0,0,0,0,401,1592,7,101,736,6,15,,
Eric Murray,CB,22,0,0,3,15,5,101,0,0,0,0,0,0,0,0,0,0,0,211,2,4
Breshad Perriman,WR,21,0,0,1,15,4,80,0,0,0,0,0,11,16,0,145,2343,16,,,
T.J. Clemmings,T,23,0,0,2,15,13,41,0,0,0,0,0,0,0,0,0,0,0,,,
Jeremiah Attaochu,LB,21,0,0,1,15,8,82,0,0,0,0,0,0,0,0,0,0,0,116,,20.5
Dontae Johnson,DB,22,0,0,1,15,15,105,0,0,0,0,0,0,0,0,0,0,0,175,2,1
Kevin Pierre-Louis,LB,22,0,0,1,15,3,95,0,0,0,0,0,0,0,0,0,0,0,134,1,2
Pat O'Donnell,P,23,0,0,1,15,15,145,1,1,38,1,0,1,-12,0,0,0,0,7,,
John Jenkins,DT,24,0,0,1,15,10,116,0,0,0,0,0,0,0,0,0,0,0,112,,2.5
Jelani Jenkins,LB,21,0,0,3,15,14,60,0,0,0,0,0,0,0,0,0,0,0,172,,3.5
Earl Watford,G,23,0,0,1,15,11,71,0,0,0,0,0,0,0,0,0,0,0,1,,
Quinton Dial,DE,23,0,0,2,15,13,59,0,0,0,0,0,0,0,0,0,0,0,90,,4.5
Sauce Gardner,CB,22,1,1,1,14,14,17,0,0,0,0,0,0,0,0,0,0,0,51,2,
Davis Mills,QB,22,0,0,2,14,14,28,555,873,5782,33,25,50,152,2,0,0,0,2,,
Osa Odighizuwa,DL,23,0,0,2,14,14,33,0,0,0,0,0,0,0,0,0,0,0,48,,6
Rhamondre Stevenson,RB,23,0,0,0,14,14,29,0,0,0,0,0,343,1646,10,83,544,1,3,,
Austin Jackson,T,21,0,0,2,14,14,32,0,0,0,0,0,0,0,0,0,0,0,1,,
Kyle Dugger,S,24,0,0,2,14,14,44,0,0,0,0,0,0,0,0,0,0,0,163,7,1
Yetur Gross-Matos,DE,22,0,0,1,14,14,43,0,0,0,0,0,0,0,0,0,0,0,45,,8.5
Cole Kmet,TE,21,0,0,3,14,14,50,0,0,0,0,0,4,6,0,138,1399,9,1,,
Willie Gay Jr.,LB,22,0,0,3,14,14,41,0,0,0,0,0,0,0,0,0,0,0,106,3,4
Kamren Curl,S,21,0,0,3,14,14,44,0,0,0,0,0,0,0,0,0,0,0,183,3,4
Sean Murphy-Bunting,CB,22,0,0,1,14,14,53,0,0,0,0,0,0,0,0,0,0,0,139,6,1
Sione Takitaki,LB,24,0,0,1,14,14,57,0,0,0,0,0,0,0,0,0,0,0,112,1,2
Connor McGovern,G,21,0,0,1,14,14,45,0,0,0,0,0,0,0,0,0,0,0,1,,
Jamel Dean,CB,22,0,0,2,14,14,57,0,0,0,0,0,0,0,0,0,0,0,156,7,
Quincy Williams,S,23,0,0,3,14,3,49,0,0,0,0,0,0,0,0,0,0,0,182,,5
Alexander Mattison,RB,21,0,0,0,14,14,59,0,0,0,0,0,404,1670,11,70,526,3,,,
Ben Powers,G,22,0,0,3,14,14,47,0,0,0,0,0,0,0,0,0,0,0,,,
Drue Tranquill,LB,24,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,202,1,6.5
Matt Gay,K,25,0,1,1,14,3,57,0,0,0,0,0,0,0,0,0,0,0,2,,
David Long,LB,22,0,0,1,14,14,50,0,0,0,0,0,0,0,0,0,0,0,137,4,
Brandon Parker,T,22,0,0,2,14,14,54,0,0,0,0,0,0,0,0,0,0,0,2,,
Jordan Akins,TE,26,0,0,1,14,14,73,0,0,0,0,0,2,7,0,151,1755,8,1,,
Dorance Armstrong Jr.,DE,21,0,0,0,14,14,76,0,0,0,0,0,0,0,0,0,0,0,81,,16
Avonte Maddox,CB,22,0,0,1,14,14,60,0,0,0,0,0,0,0,0,0,0,0,183,4,3
Michael Dickson,P,22,1,1,1,14,14,82,0,0,0,0,0,3,-9,0,0,0,0,1,,
Marcell Harris,S,24,0,0,0,14,13,63,0,0,0,0,0,0,0,0,0,0,0,105,1,1
DeShon Elliott,S,21,0,0,2,14,10,42,0,0,0,0,0,0,0,0,0,0,0,149,2,3.5
Charles Harris,OLB,22,0,0,1,14,4,77,0,0,0,0,0,0,0,0,0,0,0,86,,15
Dede Westbrook,WR,23,0,0,1,14,13,55,0,1,0,0,0,14,125,0,170,1788,9,1,,
Isaiah McKenzie,WR,22,0,0,2,14,0,80,1,1,12,1,0,47,230,4,141,1345,11,4,,
Tavon Young,CB,22,0,0,1,14,14,50,0,0,0,0,0,0,0,0,0,0,0,111,4,4
Juston Burris,CB,23,0,0,2,14,3,80,0,0,0,0,0,0,0,0,0,0,0,123,6,1
Alex Lewis,T,24,0,0,2,14,8,44,0,0,0,0,0,0,0,0,0,0,0,,,
Jatavis Brown,OLB,22,0,0,2,14,14,56,0,0,0,0,0,0,0,0,0,0,0,187,,4.5
Jakeem Grant,WR,23,0,1,0,14,12,81,0,0,0,0,0,17,76,1,100,1140,7,4,,
Ty Sambrailo,T,23,0,0,0,14,4,71,0,0,0,0,0,0,0,0,1,35,1,,,
Ramik Wilson,ILB,23,0,0,1,14,12,46,0,0,0,0,0,0,0,0,0,0,0,114,1,
Javorius Allen,RB,24,0,0,0,14,14,64,0,0,0,0,0,350,1285,9,130,823,6,11,,
Jake Ryan,OLB,23,0,0,2,14,14,45,0,0,0,0,0,0,0,0,0,0,0,144,,1
C.J. Uzomah,TE,22,0,0,4,14,13,94,0,0,0,0,0,0,0,0,184,1823,15,12,,
Darius Philon,DT,21,0,0,0,14,12,65,0,0,0,0,0,0,0,0,0,0,0,65,,11.5
Paul Richardson,WR,22,0,0,3,14,11,64,0,0,0,0,0,4,14,0,143,1809,12,2,,
Richard Rodgers,TE,22,0,0,2,14,11,98,0,0,0,0,0,1,11,0,148,1533,15,2,,
Aaron Lynch,DE,21,0,0,1,14,10,81,0,0,0,0,0,0,0,0,0,0,0,86,1,21
Seantrel Henderson,OL,22,0,0,2,14,13,39,0,0,0,0,0,0,0,0,0,0,0,,,
Vance McDonald,TE,23,0,0,6,14,5,101,0,0,0,0,0,1,2,0,181,2036,15,6,,
Sio Moore,LB,23,0,0,2,14,9,46,0,0,0,0,0,0,0,0,0,0,0,164,,7.5
Brian Schwenke,C,22,0,0,2,14,14,60,0,0,0,0,0,0,0,0,1,6,0,,,
B.W. Webb,DB,23,0,0,2,14,1,80,0,0,0,0,0,0,0,0,0,0,0,142,4,1
Steven Means,DE,22,0,0,2,14,1,65,0,0,0,0,0,0,0,0,0,0,0,61,,6
Chris Jones,DT,23,0,0,0,14,,41,0,0,0,0,0,0,0,0,0,0,0,56,,9
Ryan Griffin,TE,23,0,0,5,14,10,134,0,0,0,0,0,0,0,0,210,2184,14,15,,
Marcus Cooper,DB,23,0,0,1,14,,75,0,0,0,0,0,0,0,0,0,0,0,145,7,
Kwity Paye,DL,22,0,0,2,13,13,27,0,0,0,0,0,0,0,0,0,0,0,48,,10
Nick Bolton,LB,21,0,0,2,13,13,33,0,0,0,0,0,0,0,0,0,0,0,178,2,2
Roy Lopez,DL,24,0,0,2,13,13,33,0,0,0,0,0,0,0,0,0,0,0,40,,2
Van Jefferson,WR,24,0,0,2,13,13,44,0,0,0,0,0,3,19,0,93,1391,10,1,,
Josh Jones,T,23,0,0,2,13,13,47,0,0,0,0,0,0,0,0,0,0,0,,,
DaVon Hamilton,DT,23,0,0,1,13,13,44,0,0,0,0,0,0,0,0,0,0,0,67,,4.5
L'Jarius Sneed,S,23,0,0,2,13,13,41,0,0,0,0,0,0,0,0,0,0,0,163,8,6.5
Rock Ya-Sin,CB,23,0,0,1,13,11,52,0,0,0,0,0,0,0,0,0,0,0,154,2,
Nasir Adderley,S,22,0,0,3,13,13,50,0,0,0,0,0,0,0,0,0,0,0,168,3,0.5
Darrell Henderson,RB,22,0,0,1,13,13,50,0,0,0,0,0,396,1742,13,66,474,4,1,,
Mike Edwards,S,23,0,0,1,13,13,58,0,0,0,0,0,0,0,0,0,0,0,125,7,2
Julian Love,CB,21,0,0,1,13,13,64,0,0,0,0,0,0,0,0,0,0,0,192,5,1.5
Greg Gaines,DT,23,0,0,2,13,13,59,0,0,0,0,0,0,0,0,0,0,0,59,,10.5
Dennis Daley,T,23,0,0,2,13,8,51,0,0,0,0,0,0,0,0,0,0,0,1,,
Myles Gaskin,RB,22,0,0,1,13,13,38,0,0,0,0,0,361,1355,7,101,701,6,,,
Rashaad Penny,RB,22,0,0,0,13,13,42,0,0,0,0,0,337,1918,13,27,222,1,,,
Scott Quessenberry,C,23,0,0,2,13,8,79,0,0,0,0,0,0,0,0,0,0,0,,,
Logan Cooke,P,23,0,0,1,13,13,78,3,3,20,0,0,0,0,0,0,0,0,2,,
O.J. Howard,TE,22,0,0,4,13,12,72,0,0,0,0,0,0,0,0,129,1882,17,,,
Raekwon McMillan,LB,21,0,0,2,13,9,61,0,0,0,0,0,0,0,0,0,0,0,147,,1
Tarell Basham,DE,23,0,0,1,13,1,82,0,0,0,0,0,0,0,0,0,0,0,70,1,11
D'Onta Foreman,RB,21,0,0,1,13,2,43,0,0,0,0,0,443,1901,10,23,265,2,,,
