Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Andy Dalton,33,9,4.2,2.4,69,6.3,10.0,197.3,46.1,5.56,5.34,2,3,DaltAn00
Ryan Fitzpatrick,38,7,4.9,3.0,70,7.5,11.4,232.3,70.9,7.21,6.85,1,1,FitzRy00
Mitchell Trubisky,26,9,5.4,2.7,53,6.8,10.3,205.5,53.8,6.13,6.00,1,1,TrubMi00
Dak Prescott,27,5,4.1,1.8,58,8.4,12.3,371.2,73.1,7.72,7.72,1,1,PresDa01
Nick Foles,31,7,3.2,2.6,50,5.4,9.2,205.8,36.0,5.17,4.69,2,2,FoleNi00
Tua Tagovailoa,22,9,3.8,1.7,35,6.2,9.8,181.4,44.8,5.41,5.40,2,2,TagoTu00
Alex Smith,36,6,2.4,3.2,68,5.3,9.4,197.8,28.2,5.27,4.39,1,1,SmitAl03
Dwayne Haskins,23,6,2.1,2.9,50,5.1,9.7,205.6,24.8,4.97,4.15,1,1,HaskDw00
Jimmy Garoppolo,29,6,5.0,3.6,76,7.2,11.7,182.7,54.0,6.75,6.19,,,GaroJi00
Mike Glennon,31,5,3.9,2.8,46,5.5,9.7,214.4,29.8,5.42,4.97,,,GlenMi00
Jalen Hurts,22,4,4.1,2.7,81,6.8,13.8,70.7,33.8,6.22,5.85,,,HurtJa00
Taysom Hill,30,8,3.3,1.7,44,7.6,10.5,58.0,51.1,6.23,6.16,,,HillTa00
Brandon Allen,28,5,3.5,2.8,72,6.0,10.3,185.0,37.5,5.87,5.33,1,1,AlleBr00
Joe Flacco,35,4,4.5,2.2,52,6.3,11.7,172.8,50.3,5.64,5.53,,,FlacJo00
C.J. Beathard,27,2,5.8,0.0,49,8.7,11.9,131.2,46.0,6.34,7.40,,,BeatC.00
Jake Luton,24,3,1.8,5.5,73,3.6,10.4,208.0,32.8,4.89,2.92,,,LutoJa00
Kyle Allen,24,4,4.6,1.1,52,7.4,10.2,152.5,68.2,6.02,6.39,,,AlleKy00
Jeff Driskel,27,1,4.7,3.1,45,6.3,12.3,144.0,36.1,4.45,4.05,,,DrisJe00
Colt McCoy,34,2,1.5,1.5,35,5.3,9.4,93.8,29.7,4.94,4.59,,,McCoCo00
P.J. Walker,25,1,1.8,8.9,52,2.9,11.5,92.0,9.6,5.62,2.20,,,WalkPh00
Mason Rudolph,25,1,4.7,2.3,47,7.4,13.0,64.8,72.7,7.18,7.07,,,RudoMa00
Brett Rypien,24,1,5.0,10.0,48,3.9,10.9,98.3,50.3,7.20,3.78,1,1,RypiBr00
Chase Daniel,34,0,2.3,4.7,28,4.5,9.1,66.0,15.9,5.11,3.59,,,DaniCh00
Jarrett Stidham,24,0,4.5,6.8,38,3.7,11.6,51.2,12.2,4.90,2.92,,,StidJa00
Chad Henne,35,1,5.3,0.0,37,7.6,8.9,82.7,26.3,6.10,7.10,,,HennCh01
Garrett Gilbert,29,1,2.6,2.6,32,5.7,11.6,243.0,56.8,5.50,4.88,,,GilbGa01
John Wolford,25,1,0.0,2.6,38,4.9,10.5,231.0,68.5,5.58,4.45,,,WolfJo00
Marcus Mariota,27,0,3.6,3.6,35,7.2,13.3,226.0,97.4,8.07,7.18,,,MariMa01
Ben DiNucci,24,1,0.0,0.0,32,5.1,9.5,73.0,10.2,2.92,2.92,,,DiNuBe00
Tyrod Taylor,31,1,0.0,0.0,37,6.9,13.0,104.0,16.6,6.47,6.47,1,1,TaylTy00
Matt Barkley,30,0,4.8,4.8,56,8.2,17.9,39.4,27.4,8.64,7.50,,,BarkMa00
Ryan Finley,26,1,3.1,6.3,30,2.9,9.6,32.8,41.4,2.46,0.76,,,FinlRy00
Blaine Gabbert,31,0,12.5,0.0,35,11.4,15.9,35.8,53.1,8.00,10.35,,,GabbBl00
Taylor Heinicke,27,0,5.3,0.0,29,8.3,11.4,137.0,40.7,6.50,7.50,,,HeinTa00
Brian Hoyer,35,1,0.0,4.2,25,3.5,8.7,130.0,22.4,4.31,2.58,,,HoyeBr00
Chris Streveler,25,0,6.3,6.3,19,5.0,9.5,21.0,29.6,5.28,3.89,,,StreCh00
Trace McSorley,25,0,10.0,0.0,70,11.0,30.0,45.0,28.9,9.00,11.00,,,McSoTr00
Jameis Winston,26,0,0.0,0.0,19,6.8,10.7,18.8,12.0,4.92,4.92,,,WinsJa00
Jarvis Landry,28,14,25.0,0.0,37,23.5,18.5,4.9,100.0,18.50,23.50,,,LandJa00
David Blough,25,0,0.0,10.0,20,0.4,8.2,49.0,11.2,3.55,-0.55,,,BlouDa00
Case Keenum,32,0,0.0,0.0,24,4.6,9.2,23.0,34.7,4.60,4.60,,,KeenCa00
Jamison Crowder,27,7,100.0,0.0,43,63.0,43.0,3.6,100.0,43.00,63.00,,,CrowJa00
Jakobi Meyers,24,9,100.0,0.0,24,41.5,21.5,3.1,100.0,21.50,41.50,,,MeyeJa01
Robert Griffin III,30,1,0.0,14.3,9,-3.4,5.3,10.5,20.2,1.29,-4.00,,,GrifRo01
Russell Gage,24,8,50.0,0.0,39,29.5,39.0,2.4,100.0,19.50,29.50,,,GageRu00
Julian Edelman,34,1,0.0,0.0,22,19.0,19.0,6.3,98.0,19.00,19.00,,,EdelJu00
Geno Smith,30,0,0.0,0.0,14,6.6,8.3,33.0,3.9,5.00,5.00,,,SmitGe00
Lynn Bowden Jr.,23,4,0.0,0.0,32,16.0,32.0,3.2,32.9,16.00,16.00,,,BowdLy00
Nate Sudfeld,27,0,0.0,8.3,10,-1.1,6.4,32.0,1.6,1.14,-2.07,,,SudfNa00
Zay Jones,25,2,0.0,0.0,29,29.0,29.0,1.8,100.0,29.00,29.00,,,JoneZa00
Joseph Charlton,23,0,0.0,0.0,28,28.0,28.0,1.8,99.9,11.50,11.50,,,CharJo01
Logan Thomas,29,15,0.0,0.0,28,28.0,28.0,1.8,40.1,28.00,28.00,,,ThomLo00
Andy Lee,38,0,0.0,0.0,26,26.0,26.0,1.6,,26.00,26.00,,,LeexAn20
Nathan Peterman,26,0,0.0,0.0,12,5.0,8.3,25.0,24.3,1.29,1.29,,,PeteNa00
Cedrick Wilson Jr.,25,0,50.0,0.0,12,21.5,11.5,1.4,99.3,11.50,21.50,,,WilsCe01
Cole Beasley,31,10,100.0,0.0,20,40.0,20.0,1.3,100.0,20.00,40.00,,,BeasCo00
A.J. McCarron,30,0,0.0,0.0,20,20.0,20.0,10.0,0.0,4.00,4.00,,,McCaA.00
Odell Beckham Jr.,28,7,0.0,0.0,18,18.0,18.0,2.6,98.9,18.00,18.00,,,BeckOd00
Tyler Bray,29,0,0.0,0.0,18,3.6,18.0,18.0,7.5,3.60,3.60,,,BrayTy00
Golden Tate,32,4,0.0,0.0,18,9.0,18.0,1.5,4.8,9.00,9.00,,,TateGo00
Jacoby Brissett,28,0,0.0,0.0,13,2.1,8.5,1.5,58.3,0.20,0.20,,,BrisJa00
Tyler Boyd,26,8,0.0,0.0,16,8.0,16.0,1.1,48.0,8.00,8.00,,,BoydTy00
Tyler Huntley,22,0,0.0,0.0,8,3.0,5.0,7.5,1.4,3.00,3.00,,,HuntTy01
Sam Koch,38,0,0.0,0.0,15,15.0,15.0,1.0,,15.00,15.00,,,KochSa20
Greg Ward,25,10,0.0,0.0,15,15.0,15.0,0.9,0.7,15.00,15.00,,,WardGr02
Kendall Hinton,23,0,0.0,22.2,13,-8.6,13.0,13.0,0.1,1.20,-7.80,,,HintKe00
Jaquan Johnson,25,0,0.0,0.0,13,13.0,13.0,0.9,,13.00,13.00,,,JohnJa11
Tommy Townsend,24,0,0.0,0.0,13,13.0,13.0,0.8,10.6,13.00,13.00,,,TownTo01
Isaiah McKenzie,25,7,100.0,0.0,12,32.0,12.0,0.8,88.2,12.00,32.00,,,McKeIs00
Logan Woodside,25,0,0.0,0.0,7,2.3,7.0,1.2,65.1,2.33,2.33,,,WoodLo00
Travis Kelce,31,15,0.0,0.0,4,2.0,4.0,0.3,55.2,2.00,2.00,,,KelcTr00
Easton Stick,25,0,0.0,0.0,4,4.0,4.0,4.0,1.3,4.00,4.00,,,SticEa00
Joshua Dobbs,25,0,0.0,0.0,3,0.4,0.5,2.0,48.7,0.40,0.40,,,DobbJo00
Jamal Agnew,25,2,0.0,0.0,0,0.0,,0.0,0.9,0.00,0.00,,,AgneJa00
Keenan Allen,28,13,0.0,0.0,0,0.0,,0.0,1.4,0.00,0.00,,,AlleKe00
Randall Cobb,30,2,0.0,0.0,0,0.0,,0.0,2.8,0.00,0.00,,,CobbRa00
Riley Dixon,27,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,DixoRi00
Alex Erickson,28,2,0.0,0.0,0,0.0,,0.0,8.4,0.00,0.00,,,EricAl01
Chris Jones,31,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,JoneCh02
Brett Kern,34,0,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,KernBr20
D.J. Moore,23,14,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,MoorD.00
Zach Pascal,26,14,0.0,0.0,0,0.0,,0.0,1.8,0.00,0.00,,,PascZa00
Sammy Watkins,27,9,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,WatkSa00
Isaiah Wright,23,6,0.0,0.0,0,0.0,,0.0,2.8,0.00,0.00,,,WrigIs01
