"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"K.J. Osborn","MIN","WR","7.2","8.2","-0.9999999999999991","7.2","8.2","-1","1","5","4.04","47","60.4","0","0.0288","0","0","0","0"
"Alexander Mattison","MIN","RB","5.2","13","-7.8","5.2","13","-7.8","1","2","2.5","3","14.92","0","0.6816","39","32.634","0","0.49"
"Emanuel Wilson","GB","RB","3.7","3","0.7000000000000002","3.7","3","0.7","1","2","1.89","8","10.67","0","0.0096","19","9.1826","0","0"
"Jeff Wilson Jr.","MIA","RB","0.9","1","-0.09999999999999998","0.9","1","-0.1","1","1","0.76","4","5.96","0","0.0096","0","0","0","0"
"A.J. Brown","PHI","WR","24.7","20.2","4.5","24.7","20.2","4.5","1","10","9.31","137","121.51","1","0.5664","0","0","0","0"
"Courtland Sutton","DEN","WR","16.6","8.6","8.000000000000002","16.6","8.6","8","1","6","3.48","76","41.42","1","0.4512","0","0","0","0"
"Nate Adkins","DEN","TE","0.8","1.1","-0.30000000000000004","0.8","1.1","-0.3","1","1","0.9","3","6.27","0","0","0","0","0","0"
"Calvin Austin III","PIT","WR","0.1","0.5","-0.4","0.1","0.5","-0.4","1","0","0","0","0","0","0","1","4.655","0","0"
"Elijah Mitchell","SF","RB","-0.1","0.5","-0.6","-0.1","0.5","-0.6","1","0","0","0","0","0","0","-1","4.5766","0","0.01"
"Khalil Shakir","BUF","WR","5.5","4.5","1","5.5","4.5","1","1","4","2.72","35","26.38","0","0.0864","0","0","0","0"
"Brandon Aiyuk","SF","WR","8.2","8","0.1999999999999993","8.2","8","0.2","1","5","4.4","57","55.16","0","0.048","0","0","0","0"
"Derius Davis","LAC","WR","2.9","3.9","-1","2.9","3.9","-1","1","1","1.58","10","17.52","0","0","14","13.524","0","0"
"Jordan Addison","MIN","WR","27.8","17","10.8","27.8","17","10.8","1","7","6.13","123","67.19","2","1.2","0","0","0","0"
"Keith Smith","ATL","RB","0.4","2","-1.6","0.4","2","-1.6","1","1","0.9","-1","3.38","0","0.2016","0","0","0","0"
