"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"482","Steelers DST","PIT","dst","6","SF","5.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.41","0.0322","0.8917","0.8457","0.4229","0.058","79.6341","0.0528","0.008","0.0272","0.0984","0.2074","0.2732","0.2248","0.1611","0","0","0","0","0","0","0","0","0","0"
"483","Bills DST","BUF","dst","13","@NYJ","5.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4704","0.0366","0.5203","0.7351","0.3675","0.0644","38.6963","0.0276","0.023","0.0542","0.1472","0.2395","0.2538","0.1753","0.107","0","0","0","0","0","0","0","0","0","0"
"484","Colts DST","IND","dst","11","JAX","5.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8371","0.033","0.7542","1.0786","0.5393","0.0614","77.2202","0.0557","0.0132","0.0394","0.1262","0.2341","0.2715","0.1966","0.119","0","0","0","0","0","0","0","0","0","0"
"485","Patriots DST","NE","dst","11","PHI","5.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2036","0.0322","0.7045","1.0282","0.5141","0.1198","63.6756","0.0441","0.008","0.0272","0.0984","0.2074","0.2732","0.2248","0.1611","0","0","0","0","0","0","0","0","0","0"
"486","Raiders DST","LV","dst","13","@DEN","5.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5934","0.0388","0.6307","0.8596","0.4298","0.0366","57.1799","0.0471","0.0141","0.0381","0.117","0.2165","0.2609","0.2049","0.1485","0","0","0","0","0","0","0","0","0","0"
"487","Giants DST","NYG","dst","13","DAL","5.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9059","0.0326","0.6549","0.854","0.427","0.1546","47.9753","0.0368","0.0102","0.0325","0.1111","0.2206","0.2735","0.2119","0.1401","0","0","0","0","0","0","0","0","0","0"
"488","Texans DST","HST","dst","7","@BLT","5.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5936","0.0471","0.6783","1.0504","0.5252","0.0583","61.1568","0.0445","0.007","0.0227","0.0817","0.1789","0.2552","0.2371","0.2174","0","0","0","0","0","0","0","0","0","0"
"489","Titans DST","TEN","dst","7","@NO","5.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.052","0.0404","0.5521","1.0234","0.5117","0.1359","61.6369","0.0423","0.0107","0.0312","0.1022","0.2022","0.2606","0.2189","0.1741","0","0","0","0","0","0","0","0","0","0"
"490","Buccaneers DST","TB","dst","5","@MIN","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.974","0.042","0.8366","0.9097","0.4548","0.0622","71.7468","0.0599","0.0094","0.0284","0.0958","0.1953","0.2596","0.2248","0.1866","0","0","0","0","0","0","0","0","0","0"
"491","Panthers DST","CAR","dst","7","@ATL","5.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2248","0.0393","0.4998","1.0307","0.5153","0.0388","52.2288","0.0452","0.0137","0.0375","0.1157","0.2152","0.261","0.2062","0.1507","0","0","0","0","0","0","0","0","0","0"
"492","Lions DST","DET","dst","9","@KC","3.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.621","0.0449","0.5597","0.9395","0.4698","0.0501","67.4927","0.0521","0.0029","0.0115","0.05","0.1326","0.2293","0.2584","0.3153","0","0","0","0","0","0","0","0","0","0"
