Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Geno Smith,31,3,5.3,1.1,84,8.0,10.8,175.5,45.8,5.42,5.93,,,SmitGe00
Cam Newton,32,5,3.2,4.0,64,4.3,9.9,85.5,25.5,4.42,3.35,,,NewtCa00
Josh Johnson,35,1,5.9,2.4,28,7.6,11.2,159.5,51.7,6.99,7.10,,,JohnJo05
Trey Lance,21,2,7.0,2.8,76,8.6,14.7,100.5,33.4,7.84,7.97,,,LancTr00
Tim Boyle,27,3,3.2,6.4,42,3.4,8.6,105.2,26.4,5.60,3.36,,,BoylTi00
Case Keenum,33,2,4.2,1.4,34,6.6,9.8,66.0,36.9,5.62,5.82,,,KeenCa00
Gardner Minshew II,25,2,6.7,1.7,36,7.9,10.7,109.8,60.6,6.28,6.82,,,MinsGa00
Cooper Rush,28,1,6.4,2.1,73,9.3,14.1,84.4,41.8,8.06,8.36,1,1,RushCo00
Jordan Love,23,1,3.2,4.8,62,5.1,11.4,68.5,31.4,5.97,4.51,,,LoveJo03
P.J. Walker,26,1,1.5,4.5,24,3.7,10.1,72.4,19.3,4.32,2.74,,,WalkPh00
Joe Flacco,36,1,7.1,0.0,62,9.5,12.5,169.0,43.5,7.39,8.75,,,FlacJo00
Mason Rudolph,26,1,1.7,1.7,36,4.3,7.9,138.5,39.5,4.78,4.34,1,0,RudoMa00
Nick Foles,32,1,2.9,0.0,30,7.7,10.4,250.0,45.6,5.87,6.38,1,1,FoleNi00
Brian Hoyer,36,0,9.1,0.0,48,22.5,25.2,45.4,97.4,20.64,22.45,,,HoyeBr00
Jake Fromm,23,2,1.7,5.0,36,1.6,7.8,70.0,15.4,2.68,0.94,,,FromJa00
Garrett Gilbert,30,1,0.0,0.0,46,6.3,9.7,194.0,39.6,5.27,5.27,,,GilbGa01
Sean Mannion,29,1,2.8,0.0,30,5.8,8.6,189.0,33.5,4.58,5.11,,,MannSe00
Brandon Allen,29,1,5.9,0.0,26,5.6,8.8,24.8,8.4,3.05,4.11,0,1,AlleBr00
Nick Mullens,26,1,3.3,0.0,25,5.6,7.4,147.0,77.6,4.90,5.57,,,MullNi00
