Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Eli Manning,38,4,4.1,3.4,55,6.4,11.5,260.5,36.2,6.57,5.88,,,MannEl00
Drew Lock,23,5,4.5,1.9,48,6.6,10.2,204.0,50.2,6.17,6.20,1,2,LockDr00
David Blough,24,5,2.3,3.4,75,4.6,10.5,196.8,34.0,4.68,3.67,,,BlouDa00
Nick Foles,30,4,2.6,1.7,39,6.0,9.6,184.0,35.5,5.41,5.17,,,FoleNi00
Jeff Driskel,26,3,3.8,3.8,47,5.6,11.0,228.3,49.9,5.51,4.65,,,DrisJe00
Matt Moore,35,2,4.4,0.0,57,8.1,11.2,109.8,57.5,6.00,6.81,1,1,MoorMa01
Matt Schaub,38,1,4.5,1.5,35,8.9,11.6,96.7,80.2,8.13,8.35,,,SchaMa00
Cam Newton,30,2,0.0,1.1,44,5.9,11.4,286.0,22.5,5.57,5.09,,,NewtCa00
Josh Rosen,22,3,0.9,4.6,40,3.3,9.8,94.5,19.7,3.79,2.15,,,RoseJo01
Brandon Allen,27,3,3.6,2.4,75,5.8,13.2,171.7,40.1,4.90,4.58,,,AlleBr00
Ryan Finley,25,3,2.3,2.3,47,4.9,11.6,158.0,25.0,3.89,3.38,,,FinlRy00
Chase Daniel,33,1,4.7,3.1,37,6.3,9.7,145.0,59.6,5.45,5.03,,,DaniCh00
Luke Falk,25,2,0.0,4.1,36,3.8,8.9,138.7,9.6,3.60,2.08,,,FalkLu00
Brian Hoyer,34,1,6.2,6.2,23,4.2,10.6,93.0,17.4,4.64,3.21,,,HoyeBr00
Matt Barkley,29,0,0.0,5.9,41,4.4,13.3,179.5,10.3,6.58,4.04,,,BarkMa00
Ben Roethlisberger,37,2,0.0,1.6,45,4.9,10.0,175.5,28.8,5.38,4.67,,,RoetBe00
Will Grier,24,2,0.0,7.7,28,0.9,8.1,114.0,2.8,3.17,0.07,,,GrieWi00
Robert Griffin III,29,1,2.6,5.3,39,4.1,9.8,32.1,54.9,4.79,3.16,,,GrifRo01
A.J. McCarron,29,1,0.0,2.7,21,4.9,10.7,112.5,27.1,4.33,3.26,,,McCaA.00
Sean Mannion,27,1,0.0,9.5,35,1.7,10.5,42.0,26.4,6.00,1.71,,,MannSe00
Colt McCoy,33,1,0.0,3.7,22,2.9,6.8,122.0,14.9,2.36,1.00,,,McCoCo00
Mike Glennon,30,0,10.0,0.0,19,7.6,9.3,28.0,25.2,5.60,7.60,,,GlenMi00
Taysom Hill,29,5,0.0,0.0,20,9.2,18.3,3.4,84.9,6.57,6.57,,,HillTa00
Brett Hundley,26,0,0.0,0.0,28,4.5,9.8,16.3,80.6,2.92,2.92,,,HundBr00
Julian Edelman,33,13,50.0,0.0,32,33.5,23.5,2.9,100.0,23.50,33.50,,,EdelJu00
Courtland Sutton*,24,14,0.0,0.0,38,38.0,38.0,2.4,100.0,38.00,38.00,,,SuttCo00
Jaylen Samuels,23,4,0.0,20.0,21,-2.0,8.8,2.5,1.0,7.00,-2.00,,,SamuJa00
Emmanuel Sanders,32,16,100.0,0.0,35,55.0,35.0,2.1,100.0,35.00,55.00,,,SandEm00
James White,27,1,0.0,0.0,35,35.0,35.0,2.3,99.9,35.00,35.00,,,WhitJa02
Tyrod Taylor,30,0,16.7,0.0,14,8.8,8.3,4.1,3.3,5.50,8.83,,,TaylTy00
John Brown,29,15,100.0,0.0,28,48.0,28.0,1.9,100.0,28.00,48.00,,,BrowJo02
Johnny Hekker,29,0,0.0,33.3,23,-5.7,14.0,1.8,3.8,9.33,-5.67,,,HekkJo00
Alex Erickson,27,6,0.0,0.0,26,26.0,26.0,1.6,99.9,26.00,26.00,,,EricAl01
Andy Lee,37,0,0.0,0.0,26,26.0,26.0,1.7,,26.00,26.00,,,LeexAn20
Josh McCown,40,0,0.0,0.0,13,4.8,8.0,8.0,54.3,4.80,4.80,,,McCoJo01
Odell Beckham Jr.,27,15,0.0,0.0,20,10.0,20.0,1.3,81.0,10.00,10.00,,,BeckOd00
Albert Wilson,27,4,0.0,0.0,20,10.0,20.0,1.5,17.6,3.33,3.33,,,WilsAl02
Danny Amendola,34,10,100.0,0.0,19,39.0,19.0,1.3,100.0,19.00,39.00,,,AmenDa00
Ryan Griffin,30,0,0.0,0.0,13,4.5,9.0,9.0,32.4,4.50,4.50,,,GrifRy01
Logan Cooke,24,0,0.0,0.0,9,8.0,8.0,1.0,,-1.00,-1.00,,,CookLo00
Dante Pettis,24,4,0.0,0.0,16,16.0,16.0,1.5,57.3,16.00,16.00,,,PettDa00
Tim Boyle,25,0,0.0,0.0,7,3.8,5.0,5.0,96.7,3.75,3.75,,,BoylTi00
Jarrett Stidham,23,0,0.0,25.0,11,-7.8,7.0,4.7,0.1,1.40,-7.60,,,StidJa00
Alvin Kamara,24,9,0.0,0.0,13,13.0,13.0,0.9,58.7,13.00,13.00,,,KamaAl00
Michael Palardy,27,0,0.0,0.0,12,12.0,12.0,0.8,,12.00,12.00,,,PalaMi00
Kelvin Harmon,23,8,0.0,0.0,11,11.0,11.0,0.7,99.9,11.00,11.00,,,HarmKe00
Brett Kern,33,0,0.0,0.0,11,5.5,11.0,0.7,,5.50,5.50,,,KernBr20
Andrew Beck,23,6,0.0,0.0,6,6.0,6.0,0.4,100.0,6.00,6.00,,,BeckAn01
DeAndre Hopkins,27,15,50.0,50.0,6,-9.5,6.0,0.4,0.0,3.00,-9.50,,,HopkDe00
Kenjon Barner,30,0,0.0,0.0,3,3.0,3.0,0.2,31.7,3.00,3.00,,,BarnKe00
Blake Bortles,27,0,0.0,0.0,3,1.5,3.0,1.0,0.1,1.50,1.50,,,BortBl00
Trevor Siemian,28,1,0.0,0.0,3,0.5,1.0,3.0,1.2,-1.75,-1.75,,,SiemTr00
Matt Haack,25,0,50.0,0.0,1,10.5,1.0,0.1,0.0,0.50,10.50,,,HaacMa00
Alex Tanney,32,0,0.0,0.0,1,1.0,1.0,1.0,1.4,1.00,1.00,,,TannAl00
Randall Cobb,29,6,0.0,0.0,0,0.0,,0.0,5.4,0.00,0.00,,,CobbRa00
Dustin Colquitt,37,0,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,ColqDu20
Stefon Diggs,26,15,0.0,0.0,0,0.0,,0.0,0.2,0.00,0.00,,,DiggSt00
Jake Elliott,24,0,0.0,100.0,0,-45.0,,0.0,,0.00,-45.00,,,ElliJa03
Garrett Gilbert,28,0,0.0,0.0,0,0.0,,0.0,22.8,0.00,0.00,,,GilbGa01
Josh Gordon,28,7,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,GordJo02
Cooper Kupp,26,14,0.0,0.0,0,0.0,,0.0,0.0,0.00,0.00,,,KuppCo00
Christian McCaffrey,23,16,0.0,0.0,0,0.0,,0.0,0.2,0.00,0.00,,,McCaCh01
Zach Pascal,25,13,0.0,0.0,0,0.0,,0.0,0.8,0.00,0.00,,,PascZa00
Bilal Powell,31,1,0.0,0.0,0,0.0,,0.0,1.9,0.00,0.00,,,PoweBi00
Steven Sims,22,2,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,SimsSt00
Sam Koch,37,0,0.0,0.0,-2,-2.0,-2.0,-0.1,100.0,-2.00,-2.00,,,KochSa20
